Pair (294,315): aE=24592km eE=0.734 iE=0.019
               aL=3067km eL=0.000 iL=0.472
Plane change needed: ~27° (Moon at iL from synodic XY)

Lambert seed magnitudes (nondim, *1023 = m/s):
  tof  ea_dep  ea_arr  |dv0|nondim  |dv0| m/s  r_arr_diff_km
    5   0.000   0.000       9.8510      10080          52215
    5   0.000   1.571       9.8231      10051          52642
    5   0.000   3.142       9.8612      10090          52671
    5   0.000   4.712       9.8890      10119          52240
    5   1.571   0.000       7.1988       7366          28200
    5   1.571   1.571       7.2030       7370          27490
    5   1.571   3.142       7.1865       7354          27689
    5   1.571   4.712       7.1824       7349          29463
    5   3.142   0.000       2.8110       2876          43428
    5   3.142   1.571       2.8091       2874          39325
    5   3.142   3.142       2.8003       2865            nan
    5   3.142   4.712       2.8022       2867            nan
    5   4.712   0.000       3.1713       3245          38897
    5   4.712   1.571       3.1649       3238          37319
    5   4.712   3.142       3.1876       3262          38149
    5   4.712   4.712       3.1943       3268          40897
    8   0.000   0.000       6.8931       7053         111368
    8   0.000   1.571       6.8655       7025         112045
    8   0.000   3.142       6.9068       7067         112359
    8   0.000   4.712       6.9345       7096         111675
    8   1.571   0.000       8.0784       8266            nan
    8   1.571   1.571       8.0855       8273            nan
    8   1.571   3.142       8.0740       8262            nan
    8   1.571   4.712       8.0669       8254            nan
    8   3.142   0.000       3.1477       3221          29847
    8   3.142   1.571       3.1492       3222          27902
    8   3.142   3.142       3.1401       3213            nan
    8   3.142   4.712       3.1387       3212          33287
    8   4.712   0.000       2.2320       2284          25461
    8   4.712   1.571       2.2254       2277          25348
    8   4.712   3.142       2.2437       2296          24741
    8   4.712   4.712       2.2504       2303          25242
   11   0.000   0.000       3.7487       3836         205780
   11   0.000   1.571       3.7192       3806         206928
   11   0.000   3.142       3.7644       3852         207279
   11   0.000   4.712       3.7948       3883         206120
   11   1.571   0.000       3.4359       3516          64675
   11   1.571   1.571       3.4230       3503          65341
   11   1.571   3.142       3.4362       3516          65150
   11   1.571   4.712       3.4491       3529          64476
   11   3.142   0.000       3.7317       3818            nan
   11   3.142   1.571       3.7363       3823            nan
   11   3.142   3.142       3.7274       3814            nan
   11   3.142   4.712       3.7228       3809            nan
   11   4.712   0.000       1.5005       1535          45217
   11   4.712   1.571       1.4986       1533          45906
   11   4.712   3.142       1.5014       1536          45101
   11   4.712   4.712       1.5035       1538          44428
   15   0.000   0.000       1.0864       1112         397913
   15   0.000   1.571       1.1363       1163         399263
   15   0.000   3.142       1.0739       1099         400131
   15   0.000   4.712       1.0362       1060         398759
   15   1.571   0.000       1.9497       1995         166820
   15   1.571   1.571       1.9422       1987         167550
   15   1.571   3.142       1.9529       1998         167908
   15   1.571   4.712       1.9605       2006         167161
   15   3.142   0.000       4.1454       4242         126388
   15   3.142   1.571       4.1408       4237         126872
   15   3.142   3.142       4.1456       4242         127226
   15   3.142   4.712       4.1503       4247         126728
   15   4.712   0.000       2.6663       2728            nan
   15   4.712   1.571       2.6802       2742            nan
   15   4.712   3.142       2.6623       2724            nan
   15   4.712   4.712       2.6485       2710            nan

Best seed: tof=15d, ea=(0.000,4.712), |dv0|=1060m/s

Probing 3-D DC with this seed:
  3-D DC: None
  6-D DC: None
