[i] n=25000 bank=33338.1840 sel=4465 k_free=400 block_time=45.0s seed=31
[r10] best=33338.1840 gains=0 vars~544 t=1s status=OPTIMAL obj_int=2988850
[r20] best=33338.1840 gains=0 vars~523 t=1s status=OPTIMAL obj_int=2928148
[r30] best=33338.1840 gains=0 vars~534 t=2s status=OPTIMAL obj_int=3007152
[r40] best=33338.1840 gains=0 vars~532 t=2s status=OPTIMAL obj_int=3008116
[r50] best=33338.1840 gains=0 vars~514 t=3s status=OPTIMAL obj_int=2984475
[r60] best=33338.1840 gains=0 vars~535 t=3s status=OPTIMAL obj_int=3001090
[r70] best=33338.1840 gains=0 vars~531 t=4s status=OPTIMAL obj_int=3005798
[r80] best=33338.1840 gains=0 vars~518 t=4s status=OPTIMAL obj_int=2942346
[r90] best=33338.1840 gains=0 vars~522 t=4s status=OPTIMAL obj_int=3042754
[r100] best=33338.1840 gains=0 vars~522 t=5s status=OPTIMAL obj_int=2988100
[r110] best=33338.1840 gains=0 vars~539 t=6s status=OPTIMAL obj_int=2994507
[r120] best=33338.1840 gains=0 vars~522 t=6s status=OPTIMAL obj_int=2932977
[r130] best=33338.1840 gains=0 vars~541 t=7s status=OPTIMAL obj_int=2967439
[r140] best=33338.1840 gains=0 vars~528 t=7s status=OPTIMAL obj_int=2963514
[r150] best=33338.1840 gains=0 vars~528 t=8s status=OPTIMAL obj_int=3023480
[r160] best=33338.1840 gains=0 vars~530 t=8s status=OPTIMAL obj_int=2982670
[r170] best=33338.1840 gains=0 vars~529 t=9s status=OPTIMAL obj_int=3005155
[r180] best=33338.1840 gains=0 vars~539 t=9s status=OPTIMAL obj_int=2972387
[r190] best=33338.1840 gains=0 vars~502 t=10s status=OPTIMAL obj_int=2984284
[r200] best=33338.1840 gains=0 vars~531 t=10s status=OPTIMAL obj_int=2999602
[r210] best=33338.1840 gains=0 vars~525 t=11s status=OPTIMAL obj_int=2967535
[r220] best=33338.1840 gains=0 vars~534 t=11s status=OPTIMAL obj_int=2955792
[r230] best=33338.1840 gains=0 vars~531 t=11s status=OPTIMAL obj_int=2984213
[r240] best=33338.1840 gains=0 vars~523 t=12s status=OPTIMAL obj_int=2999853
[r250] best=33338.1840 gains=0 vars~530 t=12s status=OPTIMAL obj_int=3008301
