error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[ii] n=92103 bank=72204.2930 sel=9110 k_free=1500 block_time=90.0s seed=21
[r10] best=72204.2930 gains=0 vars~2455 t=3s status=OPTIMAL obj_int=11901165
[r20] best=72204.2930 gains=0 vars~2443 t=5s status=OPTIMAL obj_int=11902527
[r30] best=72204.2930 gains=0 vars~2420 t=7s status=OPTIMAL obj_int=11787863
[r40] best=72204.2930 gains=0 vars~2466 t=10s status=OPTIMAL obj_int=11855744
[r50] best=72204.2930 gains=0 vars~2425 t=12s status=OPTIMAL obj_int=11940328
[r60] best=72204.2930 gains=0 vars~2431 t=14s status=OPTIMAL obj_int=12041487
[r70] best=72204.2930 gains=0 vars~2463 t=16s status=OPTIMAL obj_int=11784556
[r80] best=72204.2930 gains=0 vars~2430 t=18s status=OPTIMAL obj_int=11912076
[r90] best=72204.2930 gains=0 vars~2348 t=20s status=OPTIMAL obj_int=11907456
[r100] best=72204.2930 gains=0 vars~2457 t=21s status=OPTIMAL obj_int=11892604
[r110] best=72204.2930 gains=0 vars~2403 t=23s status=OPTIMAL obj_int=11918440
[r120] best=72204.2930 gains=0 vars~2439 t=25s status=OPTIMAL obj_int=11907510
[r130] best=72204.2930 gains=0 vars~2466 t=27s status=OPTIMAL obj_int=11888118
[r140] best=72204.2930 gains=0 vars~2456 t=29s status=OPTIMAL obj_int=11885407
[r150] best=72204.2930 gains=0 vars~2445 t=30s status=OPTIMAL obj_int=11743095
[r160] best=72204.2930 gains=0 vars~2444 t=32s status=OPTIMAL obj_int=11875186
[r170] best=72204.2930 gains=0 vars~2432 t=34s status=OPTIMAL obj_int=11869729
[r180] best=72204.2930 gains=0 vars~2448 t=36s status=OPTIMAL obj_int=11805323
[r190] best=72204.2930 gains=0 vars~2393 t=38s status=OPTIMAL obj_int=11788929
[r200] best=72204.2930 gains=0 vars~2394 t=40s status=OPTIMAL obj_int=11877283
[r210] best=72204.2930 gains=0 vars~2471 t=42s status=OPTIMAL obj_int=12003646
[r220] best=72204.2930 gains=0 vars~2467 t=43s status=OPTIMAL obj_int=11871461
[r230] best=72204.2930 gains=0 vars~2472 t=45s status=OPTIMAL obj_int=11925456
[r240] best=72204.2930 gains=0 vars~2448 t=47s status=OPTIMAL obj_int=11903315
[r250] best=72204.2930 gains=0 vars~2498 t=49s status=OPTIMAL obj_int=11903368
[r260] best=72204.2930 gains=0 vars~2432 t=51s status=OPTIMAL obj_int=11911325
[r270] best=72204.2930 gains=0 vars~2423 t=53s status=OPTIMAL obj_int=11982404
[r280] best=72204.2930 gains=0 vars~2443 t=55s status=OPTIMAL obj_int=11934079
[r290] best=72204.2930 gains=0 vars~2451 t=57s status=OPTIMAL obj_int=11915110
[r300] best=72204.2930 gains=0 vars~2457 t=59s status=OPTIMAL obj_int=11838285
[r310] best=72204.2930 gains=0 vars~2462 t=61s status=OPTIMAL obj_int=11844738
[r320] best=72204.2930 gains=0 vars~2449 t=63s status=OPTIMAL obj_int=11908149
[r330] best=72204.2930 gains=0 vars~2431 t=66s status=OPTIMAL obj_int=11911850
[r340] best=72204.2930 gains=0 vars~2464 t=69s status=OPTIMAL obj_int=11857729
[r350] best=72204.2930 gains=0 vars~2432 t=71s status=OPTIMAL obj_int=11852090
[r360] best=72204.2930 gains=0 vars~2430 t=74s status=OPTIMAL obj_int=11911001
[r370] best=72204.2930 gains=0 vars~2464 t=76s status=OPTIMAL obj_int=11831739
[r380] best=72204.2930 gains=0 vars~2426 t=78s status=OPTIMAL obj_int=11890380
[r390] best=72204.2930 gains=0 vars~2435 t=80s status=OPTIMAL obj_int=11814653
[r400] best=72204.2930 gains=0 vars~2423 t=83s status=OPTIMAL obj_int=11875046
[r410] best=72204.2930 gains=0 vars~2414 t=85s status=OPTIMAL obj_int=11941881
[r420] best=72204.2930 gains=0 vars~2421 t=87s status=OPTIMAL obj_int=11943085
[r430] best=72204.2930 gains=0 vars~2419 t=89s status=OPTIMAL obj_int=11919536
[r440] best=72204.2930 gains=0 vars~2419 t=91s status=OPTIMAL obj_int=11725144
[r450] best=72204.2930 gains=0 vars~2456 t=93s status=OPTIMAL obj_int=11870427
[r460] best=72204.2930 gains=0 vars~2415 t=95s status=OPTIMAL obj_int=11824961
[r470] best=72204.2930 gains=0 vars~2437 t=97s status=OPTIMAL obj_int=11827592
[r480] best=72204.2930 gains=0 vars~2461 t=99s status=OPTIMAL obj_int=11899566
[r490] best=72204.2930 gains=0 vars~2462 t=101s status=OPTIMAL obj_int=11857995
[r500] best=72204.2930 gains=0 vars~2419 t=103s status=OPTIMAL obj_int=11904143
[r510] best=72204.2930 gains=0 vars~2423 t=106s status=OPTIMAL obj_int=11843809
[r520] best=72204.2930 gains=0 vars~2434 t=108s status=OPTIMAL obj_int=11962993
[r530] best=72204.2930 gains=0 vars~2448 t=109s status=OPTIMAL obj_int=11946001
[r540] best=72204.2930 gains=0 vars~2420 t=110s status=OPTIMAL obj_int=11943588
[r550] best=72204.2930 gains=0 vars~2407 t=112s status=OPTIMAL obj_int=11801855
[r560] best=72204.2930 gains=0 vars~2457 t=113s status=OPTIMAL obj_int=11727827
[r570] best=72204.2930 gains=0 vars~2440 t=114s status=OPTIMAL obj_int=11875704
[r580] best=72204.2930 gains=0 vars~2428 t=115s status=OPTIMAL obj_int=11841583
[r590] best=72204.2930 gains=0 vars~2446 t=117s status=OPTIMAL obj_int=11916824
[r600] best=72204.2930 gains=0 vars~2405 t=118s status=OPTIMAL obj_int=12043804
[r610] best=72204.2930 gains=0 vars~2441 t=119s status=OPTIMAL obj_int=11857410
[r620] best=72204.2930 gains=0 vars~2440 t=120s status=OPTIMAL obj_int=11894310
[r630] best=72204.2930 gains=0 vars~2469 t=122s status=OPTIMAL obj_int=11897548
[r640] best=72204.2930 gains=0 vars~2445 t=123s status=OPTIMAL obj_int=11815514
[r650] best=72204.2930 gains=0 vars~2428 t=124s status=OPTIMAL obj_int=11900845
[r660] best=72204.2930 gains=0 vars~2455 t=125s status=OPTIMAL obj_int=11862889
[r670] best=72204.2930 gains=0 vars~2444 t=127s status=OPTIMAL obj_int=11837368
[r680] best=72204.2930 gains=0 vars~2444 t=128s status=OPTIMAL obj_int=11921155
[r690] best=72204.2930 gains=0 vars~2449 t=129s status=OPTIMAL obj_int=11916649
[r700] best=72204.2930 gains=0 vars~2417 t=131s status=OPTIMAL obj_int=11857229
[r710] best=72204.2930 gains=0 vars~2452 t=132s status=OPTIMAL obj_int=11755156
[r720] best=72204.2930 gains=0 vars~2471 t=133s status=OPTIMAL obj_int=11797071
[r730] best=72204.2930 gains=0 vars~2485 t=134s status=OPTIMAL obj_int=11979817
[r740] best=72204.2930 gains=0 vars~2414 t=136s status=OPTIMAL obj_int=11915474
[r750] best=72204.2930 gains=0 vars~2413 t=137s status=OPTIMAL obj_int=11833807
[r760] best=72204.2930 gains=0 vars~2413 t=138s status=OPTIMAL obj_int=11922084
[r770] best=72204.2930 gains=0 vars~2458 t=139s status=OPTIMAL obj_int=11811469
[r780] best=72204.2930 gains=0 vars~2457 t=141s status=OPTIMAL obj_int=11866517
[r790] best=72204.2930 gains=0 vars~2467 t=142s status=OPTIMAL obj_int=12003354
[r800] best=72204.2930 gains=0 vars~2403 t=143s status=OPTIMAL obj_int=11853902
[r810] best=72204.2930 gains=0 vars~2449 t=144s status=OPTIMAL obj_int=11864458
[r820] best=72204.2930 gains=0 vars~2410 t=146s status=OPTIMAL obj_int=11862817
[r830] best=72204.2930 gains=0 vars~2466 t=147s status=OPTIMAL obj_int=11849754
[r840] best=72204.2930 gains=0 vars~2437 t=148s status=OPTIMAL obj_int=11825483
[r850] best=72204.2930 gains=0 vars~2388 t=150s status=OPTIMAL obj_int=11887333
[r860] best=72204.2930 gains=0 vars~2481 t=151s status=OPTIMAL obj_int=11875173
[r870] best=72204.2930 gains=0 vars~2452 t=152s status=OPTIMAL obj_int=11963584
[r880] best=72204.2930 gains=0 vars~2502 t=153s status=OPTIMAL obj_int=11826967
[r890] best=72204.2930 gains=0 vars~2411 t=155s status=OPTIMAL obj_int=11814109
[r900] best=72204.2930 gains=0 vars~2479 t=156s status=OPTIMAL obj_int=11817547
[r910] best=72204.2930 gains=0 vars~2425 t=157s status=OPTIMAL obj_int=11974415
[r920] best=72204.2930 gains=0 vars~2411 t=158s status=OPTIMAL obj_int=11845137
[r930] best=72204.2930 gains=0 vars~2426 t=160s status=OPTIMAL obj_int=11900457
[r940] best=72204.2930 gains=0 vars~2492 t=161s status=OPTIMAL obj_int=12047584
[r950] best=72204.2930 gains=0 vars~2414 t=162s status=OPTIMAL obj_int=11924301
[r960] best=72204.2930 gains=0 vars~2450 t=163s status=OPTIMAL obj_int=11850443
[r970] best=72204.2930 gains=0 vars~2389 t=165s status=OPTIMAL obj_int=11947328
[r980] best=72204.2930 gains=0 vars~2471 t=166s status=OPTIMAL obj_int=11963737
[r990] best=72204.2930 gains=0 vars~2428 t=167s status=OPTIMAL obj_int=11932373
[r1000] best=72204.2930 gains=0 vars~2443 t=169s status=OPTIMAL obj_int=12024500
[r1010] best=72204.2930 gains=0 vars~2393 t=170s status=OPTIMAL obj_int=11770038
[r1020] best=72204.2930 gains=0 vars~2404 t=171s status=OPTIMAL obj_int=11925689
[r1030] best=72204.2930 gains=0 vars~2435 t=173s status=OPTIMAL obj_int=11895424
[r1040] best=72204.2930 gains=0 vars~2458 t=174s status=OPTIMAL obj_int=11887231
[r1050] best=72204.2930 gains=0 vars~2501 t=175s status=OPTIMAL obj_int=11851881
[r1060] best=72204.2930 gains=0 vars~2468 t=176s status=OPTIMAL obj_int=11975692
[r1070] best=72204.2930 gains=0 vars~2425 t=178s status=OPTIMAL obj_int=11771578
[r1080] best=72204.2930 gains=0 vars~2457 t=179s status=OPTIMAL obj_int=11968843
[r1090] best=72204.2930 gains=0 vars~2425 t=180s status=OPTIMAL obj_int=11930392
[r1100] best=72204.2930 gains=0 vars~2464 t=181s status=OPTIMAL obj_int=12002802
[r1110] best=72204.2930 gains=0 vars~2445 t=183s status=OPTIMAL obj_int=11922767
[r1120] best=72204.2930 gains=0 vars~2421 t=184s status=OPTIMAL obj_int=11864056
[r1130] best=72204.2930 gains=0 vars~2443 t=185s status=OPTIMAL obj_int=11869015
[r1140] best=72204.2930 gains=0 vars~2464 t=187s status=OPTIMAL obj_int=11954269
[r1150] best=72204.2930 gains=0 vars~2449 t=188s status=OPTIMAL obj_int=11835745
[r1160] best=72204.2930 gains=0 vars~2450 t=189s status=OPTIMAL obj_int=11729620
[r1170] best=72204.2930 gains=0 vars~2425 t=190s status=OPTIMAL obj_int=11852458
[r1180] best=72204.2930 gains=0 vars~2428 t=192s status=OPTIMAL obj_int=11888213
[r1190] best=72204.2930 gains=0 vars~2446 t=193s status=OPTIMAL obj_int=11954743
[r1200] best=72204.2930 gains=0 vars~2460 t=194s status=OPTIMAL obj_int=11920376
[r1210] best=72204.2930 gains=0 vars~2407 t=195s status=OPTIMAL obj_int=11921371
[r1220] best=72204.2930 gains=0 vars~2443 t=197s status=OPTIMAL obj_int=11868737
[r1230] best=72204.2930 gains=0 vars~2443 t=198s status=OPTIMAL obj_int=11947759
[r1240] best=72204.2930 gains=0 vars~2441 t=199s status=OPTIMAL obj_int=11913468
[r1250] best=72204.2930 gains=0 vars~2435 t=201s status=OPTIMAL obj_int=11942713
[r1260] best=72204.2930 gains=0 vars~2454 t=202s status=OPTIMAL obj_int=11886582
[r1270] best=72204.2930 gains=0 vars~2480 t=203s status=OPTIMAL obj_int=11859297
[r1280] best=72204.2930 gains=0 vars~2412 t=204s status=OPTIMAL obj_int=11949524
[r1290] best=72204.2930 gains=0 vars~2371 t=206s status=OPTIMAL obj_int=11807662
[r1300] best=72204.2930 gains=0 vars~2407 t=207s status=OPTIMAL obj_int=11794718
[r1310] best=72204.2930 gains=0 vars~2494 t=208s status=OPTIMAL obj_int=11861864
[r1320] best=72204.2930 gains=0 vars~2393 t=209s status=OPTIMAL obj_int=11887265
