[ii] n=92103 bank=72204.2930 mode=bfs target=6000 block_time=60.0s seed=7
[r10] best=72204.2930 gains=0 lat=0 region~6001 free~944 t=0s status=OPTIMAL
[r20] best=72204.2930 gains=0 lat=0 region~6000 free~953 t=1s status=OPTIMAL
[r30] best=72204.2930 gains=0 lat=0 region~6001 free~955 t=1s status=OPTIMAL
[r40] best=72204.2930 gains=0 lat=0 region~6001 free~935 t=2s status=OPTIMAL
[r50] best=72204.2930 gains=0 lat=0 region~6000 free~952 t=2s status=OPTIMAL
[r60] best=72204.2930 gains=0 lat=0 region~6000 free~924 t=3s status=OPTIMAL
[r70] best=72204.2930 gains=0 lat=0 region~6000 free~947 t=3s status=OPTIMAL
[r80] best=72204.2930 gains=0 lat=0 region~6000 free~946 t=3s status=OPTIMAL
[r90] best=72204.2930 gains=0 lat=0 region~6000 free~926 t=4s status=OPTIMAL
[r100] best=72204.2930 gains=0 lat=0 region~6000 free~936 t=4s status=OPTIMAL
[r110] best=72204.2930 gains=0 lat=0 region~6001 free~948 t=5s status=OPTIMAL
[r120] best=72204.2930 gains=0 lat=0 region~6001 free~908 t=5s status=OPTIMAL
[r130] best=72204.2930 gains=0 lat=0 region~6000 free~959 t=5s status=OPTIMAL
[r140] best=72204.2930 gains=0 lat=0 region~6001 free~944 t=6s status=OPTIMAL
[r150] best=72204.2930 gains=0 lat=0 region~6000 free~947 t=6s status=OPTIMAL
[r160] best=72204.2930 gains=0 lat=0 region~6000 free~947 t=7s status=OPTIMAL
[r170] best=72204.2930 gains=0 lat=0 region~6001 free~940 t=7s status=OPTIMAL
[r180] best=72204.2930 gains=0 lat=0 region~6000 free~917 t=8s status=OPTIMAL
[r190] best=72204.2930 gains=0 lat=0 region~6001 free~967 t=8s status=OPTIMAL
[r200] best=72204.2930 gains=0 lat=0 region~6000 free~914 t=9s status=OPTIMAL
[r210] best=72204.2930 gains=0 lat=0 region~6000 free~956 t=9s status=OPTIMAL
[r220] best=72204.2930 gains=0 lat=0 region~6000 free~944 t=10s status=OPTIMAL
[r230] best=72204.2930 gains=0 lat=0 region~6001 free~916 t=10s status=OPTIMAL
[r240] best=72204.2930 gains=0 lat=0 region~6001 free~931 t=10s status=OPTIMAL
[r250] best=72204.2930 gains=0 lat=0 region~6000 free~946 t=11s status=OPTIMAL
[r260] best=72204.2930 gains=0 lat=0 region~6001 free~930 t=11s status=OPTIMAL
[r270] best=72204.2930 gains=0 lat=0 region~6000 free~953 t=12s status=OPTIMAL
[r280] best=72204.2930 gains=0 lat=0 region~6001 free~954 t=12s status=OPTIMAL
[r290] best=72204.2930 gains=0 lat=0 region~6000 free~937 t=13s status=OPTIMAL
[r300] best=72204.2930 gains=0 lat=0 region~6000 free~909 t=13s status=OPTIMAL
[r310] best=72204.2930 gains=0 lat=0 region~6001 free~942 t=14s status=OPTIMAL
[r320] best=72204.2930 gains=0 lat=0 region~6000 free~937 t=14s status=OPTIMAL
[r330] best=72204.2930 gains=0 lat=0 region~6000 free~948 t=15s status=OPTIMAL
[r340] best=72204.2930 gains=0 lat=0 region~6001 free~925 t=15s status=OPTIMAL
[r350] best=72204.2930 gains=0 lat=0 region~6000 free~933 t=16s status=OPTIMAL
[r360] best=72204.2930 gains=0 lat=0 region~6000 free~905 t=16s status=OPTIMAL
[r370] best=72204.2930 gains=0 lat=0 region~6001 free~925 t=16s status=OPTIMAL
[r380] best=72204.2930 gains=0 lat=0 region~6000 free~937 t=17s status=OPTIMAL
[r390] best=72204.2930 gains=0 lat=0 region~6000 free~926 t=17s status=OPTIMAL
[r400] best=72204.2930 gains=0 lat=0 region~6000 free~929 t=18s status=OPTIMAL
[r410] best=72204.2930 gains=0 lat=0 region~6000 free~924 t=18s status=OPTIMAL
[r420] best=72204.2930 gains=0 lat=0 region~6001 free~916 t=19s status=OPTIMAL
[r430] best=72204.2930 gains=0 lat=0 region~6001 free~951 t=19s status=OPTIMAL
[r440] best=72204.2930 gains=0 lat=0 region~6001 free~937 t=20s status=OPTIMAL
[r450] best=72204.2930 gains=0 lat=0 region~6000 free~923 t=20s status=OPTIMAL
[r460] best=72204.2930 gains=0 lat=0 region~6000 free~941 t=21s status=OPTIMAL
[r470] best=72204.2930 gains=0 lat=0 region~6000 free~954 t=21s status=OPTIMAL
[r480] best=72204.2930 gains=0 lat=0 region~6001 free~928 t=21s status=OPTIMAL
[r490] best=72204.2930 gains=0 lat=0 region~6000 free~923 t=22s status=OPTIMAL
[r500] best=72204.2930 gains=0 lat=0 region~6000 free~929 t=22s status=OPTIMAL
[r510] best=72204.2930 gains=0 lat=0 region~6001 free~925 t=23s status=OPTIMAL
[r520] best=72204.2930 gains=0 lat=0 region~6001 free~917 t=23s status=OPTIMAL
[r530] best=72204.2930 gains=0 lat=0 region~6000 free~948 t=24s status=OPTIMAL
[r540] best=72204.2930 gains=0 lat=0 region~6000 free~935 t=24s status=OPTIMAL
[r550] best=72204.2930 gains=0 lat=0 region~6000 free~916 t=25s status=OPTIMAL
[r560] best=72204.2930 gains=0 lat=0 region~6001 free~944 t=25s status=OPTIMAL
[r570] best=72204.2930 gains=0 lat=0 region~6000 free~933 t=26s status=OPTIMAL
[r580] best=72204.2930 gains=0 lat=0 region~6000 free~924 t=26s status=OPTIMAL
[r590] best=72204.2930 gains=0 lat=0 region~6001 free~919 t=26s status=OPTIMAL
[r600] best=72204.2930 gains=0 lat=0 region~6001 free~934 t=27s status=OPTIMAL
[r610] best=72204.2930 gains=0 lat=0 region~6001 free~926 t=27s status=OPTIMAL
[r620] best=72204.2930 gains=0 lat=0 region~6001 free~927 t=28s status=OPTIMAL
[r630] best=72204.2930 gains=0 lat=0 region~6000 free~919 t=28s status=OPTIMAL
[r640] best=72204.2930 gains=0 lat=0 region~6001 free~932 t=29s status=OPTIMAL
[r650] best=72204.2930 gains=0 lat=0 region~6000 free~926 t=29s status=OPTIMAL
[r660] best=72204.2930 gains=0 lat=0 region~6000 free~953 t=30s status=OPTIMAL
[r670] best=72204.2930 gains=0 lat=0 region~6001 free~951 t=30s status=OPTIMAL
[r680] best=72204.2930 gains=0 lat=0 region~6000 free~941 t=31s status=OPTIMAL
[r690] best=72204.2930 gains=0 lat=0 region~6000 free~910 t=31s status=OPTIMAL
[r700] best=72204.2930 gains=0 lat=0 region~6001 free~951 t=31s status=OPTIMAL
[r710] best=72204.2930 gains=0 lat=0 region~6001 free~938 t=32s status=OPTIMAL
[r720] best=72204.2930 gains=0 lat=0 region~6000 free~942 t=32s status=OPTIMAL
