[ii] n=92103 bank=72204.2930 mode=multi target=4000 block_time=60.0s seed=11
[r10] best=72204.2930 gains=0 lat=0 region~3980 free~599 t=0s status=OPTIMAL
[r20] best=72204.2930 gains=0 lat=0 region~3977 free~614 t=1s status=OPTIMAL
[r30] best=72204.2930 gains=0 lat=0 region~3954 free~603 t=1s status=OPTIMAL
[r40] best=72204.2930 gains=0 lat=0 region~3932 free~600 t=1s status=OPTIMAL
[r50] best=72204.2930 gains=0 lat=0 region~3945 free~608 t=2s status=OPTIMAL
[r60] best=72204.2930 gains=0 lat=0 region~3936 free~606 t=2s status=OPTIMAL
[r70] best=72204.2930 gains=0 lat=0 region~3975 free~596 t=2s status=OPTIMAL
[r80] best=72204.2930 gains=0 lat=0 region~3956 free~604 t=3s status=OPTIMAL
[r90] best=72204.2930 gains=0 lat=0 region~3962 free~592 t=3s status=OPTIMAL
[r100] best=72204.2930 gains=0 lat=0 region~3970 free~591 t=3s status=OPTIMAL
[r110] best=72204.2930 gains=0 lat=0 region~3949 free~608 t=4s status=OPTIMAL
[r120] best=72204.2930 gains=0 lat=0 region~3961 free~593 t=4s status=OPTIMAL
[r130] best=72204.2930 gains=0 lat=0 region~3979 free~593 t=4s status=OPTIMAL
[r140] best=72204.2930 gains=0 lat=0 region~3922 free~622 t=4s status=OPTIMAL
[r150] best=72204.2930 gains=0 lat=0 region~3965 free~601 t=5s status=OPTIMAL
[r160] best=72204.2930 gains=0 lat=0 region~3963 free~595 t=5s status=OPTIMAL
[r170] best=72204.2930 gains=0 lat=0 region~3749 free~557 t=5s status=OPTIMAL
[r180] best=72204.2930 gains=0 lat=0 region~3962 free~588 t=6s status=OPTIMAL
[r190] best=72204.2930 gains=0 lat=0 region~3954 free~609 t=6s status=OPTIMAL
[r200] best=72204.2930 gains=0 lat=0 region~3968 free~584 t=6s status=OPTIMAL
[r210] best=72204.2930 gains=0 lat=0 region~3931 free~590 t=7s status=OPTIMAL
[r220] best=72204.2930 gains=0 lat=0 region~3962 free~613 t=7s status=OPTIMAL
