E-626 matching-i: bank=33338.1840 leader=33555.6150 budget=1800.0s nw=4
[coop seed=3 f=0.30] r=25 best=33338.2 t=0s
[coop seed=0 f=0.30] r=25 best=33338.2 t=0s
[coop seed=1 f=0.45] r=25 best=33338.2 t=1s
[coop seed=2 f=0.65] r=25 best=33338.2 t=4s
[coop seed=3 f=0.65] r=50 best=33338.2 t=15s
[coop seed=0 f=0.65] r=50 best=33338.2 t=16s
[coop seed=1 f=0.65] r=50 best=33338.2 t=25s
[coop seed=2 f=0.65] r=50 best=33338.2 t=34s
[coop seed=3 f=0.65] r=75 best=33338.2 t=46s
[coop seed=0 f=0.65] r=75 best=33338.2 t=46s
[coop seed=1 f=0.65] r=75 best=33338.2 t=57s
[coop seed=2 f=0.65] r=75 best=33338.2 t=65s
[coop seed=3 f=0.65] r=100 best=33338.2 t=77s
[coop seed=0 f=0.65] r=100 best=33338.2 t=77s
[coop seed=1 f=0.65] r=100 best=33338.2 t=87s
[coop seed=2 f=0.65] r=100 best=33338.2 t=94s
[coop seed=3 f=0.65] r=125 best=33338.2 t=105s
[coop seed=0 f=0.65] r=125 best=33338.2 t=105s
[coop seed=1 f=0.65] r=125 best=33338.2 t=116s
[coop seed=2 f=0.65] r=125 best=33338.2 t=122s
[coop seed=3 f=0.65] r=150 best=33338.2 t=134s
[coop seed=0 f=0.65] r=150 best=33338.2 t=135s
[coop seed=1 f=0.65] r=150 best=33338.2 t=145s
[coop seed=2 f=0.65] r=150 best=33338.2 t=151s
[coop seed=3 f=0.65] r=175 best=33338.2 t=162s
[coop seed=0 f=0.65] r=175 best=33338.2 t=163s
[coop seed=1 f=0.65] r=175 best=33338.2 t=174s
[coop seed=2 f=0.65] r=175 best=33338.2 t=179s
[coop seed=3 f=0.65] r=200 best=33338.2 t=192s
[coop seed=0 f=0.65] r=200 best=33338.2 t=192s
[coop seed=1 f=0.65] r=200 best=33338.2 t=202s
[coop seed=2 f=0.65] r=200 best=33338.2 t=208s
[coop seed=3 f=0.65] r=225 best=33338.2 t=221s
[coop seed=0 f=0.65] r=225 best=33338.2 t=221s
[coop seed=1 f=0.65] r=225 best=33338.2 t=232s
[coop seed=2 f=0.65] r=225 best=33338.2 t=238s
[coop seed=0 f=0.65] r=250 best=33338.2 t=249s
[coop seed=3 f=0.65] r=250 best=33338.2 t=249s
[coop seed=1 f=0.65] r=250 best=33338.2 t=261s
[coop seed=2 f=0.65] r=250 best=33338.2 t=267s
[coop seed=3 f=0.65] r=275 best=33338.2 t=278s
[coop seed=0 f=0.65] r=275 best=33338.2 t=278s
[coop seed=1 f=0.65] r=275 best=33338.2 t=290s
[coop seed=2 f=0.65] r=275 best=33338.2 t=295s
[coop seed=3 f=0.65] r=300 best=33338.2 t=306s
[coop seed=0 f=0.65] r=300 best=33338.2 t=307s
[coop seed=1 f=0.65] r=300 best=33338.2 t=319s
[coop seed=2 f=0.65] r=300 best=33338.2 t=324s
[coop seed=3 f=0.65] r=325 best=33338.2 t=335s
[coop seed=0 f=0.65] r=325 best=33338.2 t=335s
[coop seed=1 f=0.65] r=325 best=33338.2 t=348s
[coop seed=2 f=0.65] r=325 best=33338.2 t=353s
[coop seed=3 f=0.65] r=350 best=33338.2 t=364s
[coop seed=0 f=0.65] r=350 best=33338.2 t=364s
[coop seed=1 f=0.65] r=350 best=33338.2 t=377s
[coop seed=2 f=0.65] r=350 best=33338.2 t=382s
[coop seed=3 f=0.65] r=375 best=33338.2 t=393s
[coop seed=0 f=0.65] r=375 best=33338.2 t=393s
[coop seed=1 f=0.65] r=375 best=33338.2 t=406s
[coop seed=2 f=0.65] r=375 best=33338.2 t=410s
[coop seed=3 f=0.65] r=400 best=33338.2 t=422s
[coop seed=0 f=0.65] r=400 best=33338.2 t=422s
[coop seed=1 f=0.65] r=400 best=33338.2 t=434s
[coop seed=2 f=0.65] r=400 best=33338.2 t=439s
[coop seed=3 f=0.65] r=425 best=33338.2 t=450s
[coop seed=0 f=0.65] r=425 best=33338.2 t=450s
[coop seed=1 f=0.65] r=425 best=33338.2 t=463s
[coop seed=2 f=0.65] r=425 best=33338.2 t=468s
[coop seed=3 f=0.65] r=450 best=33338.2 t=478s
[coop seed=0 f=0.65] r=450 best=33338.2 t=478s
[coop seed=1 f=0.65] r=450 best=33338.2 t=492s
[coop seed=2 f=0.65] r=450 best=33338.2 t=497s
[coop seed=3 f=0.65] r=475 best=33338.2 t=507s
[coop seed=0 f=0.65] r=475 best=33338.2 t=507s
[coop seed=1 f=0.65] r=475 best=33338.2 t=521s
[coop seed=2 f=0.65] r=475 best=33338.2 t=526s
[coop seed=3 f=0.65] r=500 best=33338.2 t=535s
[coop seed=0 f=0.65] r=500 best=33338.2 t=536s
[coop seed=1 f=0.65] r=500 best=33338.2 t=550s
[coop seed=2 f=0.65] r=500 best=33338.2 t=555s
[coop seed=3 f=0.65] r=525 best=33338.2 t=563s
[coop seed=0 f=0.65] r=525 best=33338.2 t=564s
[coop seed=1 f=0.65] r=525 best=33338.2 t=579s
[coop seed=2 f=0.65] r=525 best=33338.2 t=583s
[coop seed=3 f=0.65] r=550 best=33338.2 t=592s
[coop seed=0 f=0.65] r=550 best=33338.2 t=593s
[coop seed=1 f=0.65] r=550 best=33338.2 t=607s
[coop seed=2 f=0.65] r=550 best=33338.2 t=612s
[coop seed=3 f=0.65] r=575 best=33338.2 t=621s
[coop seed=0 f=0.65] r=575 best=33338.2 t=622s
[coop seed=1 f=0.65] r=575 best=33338.2 t=637s
[coop seed=2 f=0.65] r=575 best=33338.2 t=641s
[coop seed=3 f=0.65] r=600 best=33338.2 t=650s
[coop seed=0 f=0.65] r=600 best=33338.2 t=651s
[coop seed=1 f=0.65] r=600 best=33338.2 t=666s
[coop seed=2 f=0.65] r=600 best=33338.2 t=670s
[coop seed=3 f=0.65] r=625 best=33338.2 t=679s
[coop seed=0 f=0.65] r=625 best=33338.2 t=680s
[coop seed=1 f=0.65] r=625 best=33338.2 t=695s
[coop seed=2 f=0.65] r=625 best=33338.2 t=699s
[coop seed=3 f=0.65] r=650 best=33338.2 t=708s
[coop seed=0 f=0.65] r=650 best=33338.2 t=708s
[coop seed=1 f=0.65] r=650 best=33338.2 t=723s
[coop seed=2 f=0.65] r=650 best=33338.2 t=728s
[coop seed=3 f=0.65] r=675 best=33338.2 t=737s
[coop seed=0 f=0.65] r=675 best=33338.2 t=737s
[coop seed=0 f=0.10] r=700 best=33338.7 t=743s
[coop seed=0 f=0.30] r=725 best=33338.7 t=743s
[coop seed=1 f=0.65] r=675 best=33338.2 t=753s
[coop seed=2 f=0.65] r=675 best=33338.2 t=757s
[coop seed=1 f=0.30] r=700 best=33338.7 t=759s
[coop seed=1 f=0.20] r=725 best=33338.7 t=764s
[coop seed=0 f=0.65] r=750 best=33338.7 t=764s
[coop seed=2 f=0.20] r=700 best=33338.7 t=764s
[coop seed=3 f=0.10] r=700 best=33338.7 t=765s
[coop seed=3 f=0.30] r=725 best=33338.7 t=765s
[coop seed=3 f=0.15] r=750 best=33339.7 t=767s
[coop seed=1 f=0.15] r=750 best=33338.9 t=768s
[coop seed=2 f=0.65] r=725 best=33338.7 t=768s
[coop seed=0 f=0.20] r=775 best=33338.9 t=769s
[coop seed=3 f=0.45] r=775 best=33339.7 t=770s
[coop seed=1 f=0.45] r=775 best=33338.9 t=770s
[coop seed=1 f=0.30] r=800 best=33340.0 t=776s
[coop seed=2 f=0.45] r=750 best=33338.9 t=777s
[coop seed=0 f=0.10] r=800 best=33338.9 t=778s
[coop seed=0 f=0.30] r=825 best=33338.9 t=779s
[coop seed=2 f=0.30] r=775 best=33340.0 t=790s
[coop seed=1 f=0.65] r=825 best=33340.0 t=790s
[coop seed=0 f=0.10] r=850 best=33340.0 t=792s
[coop seed=0 f=0.30] r=875 best=33340.0 t=793s
[coop seed=3 f=0.10] r=800 best=33340.0 t=797s
[coop seed=3 f=0.30] r=825 best=33340.0 t=797s
[coop seed=2 f=0.65] r=800 best=33340.0 t=805s
[coop seed=0 f=0.65] r=900 best=33340.0 t=808s
[coop seed=3 f=0.65] r=850 best=33340.0 t=812s
[coop seed=1 f=0.65] r=850 best=33340.0 t=819s
[coop seed=2 f=0.65] r=825 best=33340.0 t=833s
[coop seed=0 f=0.65] r=925 best=33340.0 t=837s
[coop seed=3 f=0.65] r=875 best=33340.0 t=842s
[coop seed=1 f=0.65] r=875 best=33340.0 t=847s
[coop seed=2 f=0.65] r=850 best=33340.0 t=862s
[coop seed=0 f=0.65] r=950 best=33340.0 t=865s
[coop seed=3 f=0.65] r=900 best=33340.0 t=870s
[coop seed=1 f=0.65] r=900 best=33340.0 t=876s
[coop seed=2 f=0.65] r=875 best=33340.0 t=890s
[coop seed=0 f=0.65] r=975 best=33340.0 t=894s
[coop seed=3 f=0.65] r=925 best=33340.0 t=899s
[coop seed=1 f=0.65] r=925 best=33340.0 t=905s
[coop seed=2 f=0.65] r=900 best=33340.0 t=919s
[coop seed=0 f=0.65] r=1000 best=33340.0 t=923s
[coop seed=3 f=0.65] r=950 best=33340.0 t=927s
[coop seed=1 f=0.65] r=950 best=33340.0 t=933s
[coop seed=2 f=0.65] r=925 best=33340.0 t=948s
[coop seed=0 f=0.65] r=1025 best=33340.0 t=952s
[coop seed=3 f=0.65] r=975 best=33340.0 t=956s
[coop seed=1 f=0.65] r=975 best=33340.0 t=962s
[coop seed=2 f=0.65] r=950 best=33340.0 t=976s
[coop seed=0 f=0.65] r=1050 best=33340.0 t=981s
[coop seed=3 f=0.65] r=1000 best=33340.0 t=984s
[coop seed=1 f=0.65] r=1000 best=33340.0 t=990s
[coop seed=2 f=0.65] r=975 best=33340.0 t=1004s
[coop seed=0 f=0.65] r=1075 best=33340.0 t=1009s
[coop seed=3 f=0.65] r=1025 best=33340.0 t=1013s
[coop seed=1 f=0.65] r=1025 best=33340.0 t=1019s
[coop seed=2 f=0.65] r=1000 best=33340.0 t=1032s
[coop seed=0 f=0.65] r=1100 best=33340.0 t=1038s
[coop seed=3 f=0.65] r=1050 best=33340.0 t=1042s
[coop seed=1 f=0.65] r=1050 best=33340.0 t=1047s
[coop seed=2 f=0.65] r=1025 best=33340.0 t=1061s
[coop seed=0 f=0.65] r=1125 best=33340.0 t=1066s
[coop seed=3 f=0.65] r=1075 best=33340.0 t=1071s
[coop seed=1 f=0.65] r=1075 best=33340.0 t=1075s
[coop seed=2 f=0.65] r=1050 best=33340.0 t=1089s
[coop seed=0 f=0.65] r=1150 best=33340.0 t=1095s
[coop seed=3 f=0.65] r=1100 best=33340.0 t=1100s
[coop seed=1 f=0.65] r=1100 best=33340.0 t=1104s
[coop seed=2 f=0.65] r=1075 best=33340.0 t=1118s
[coop seed=0 f=0.65] r=1175 best=33340.0 t=1124s
[coop seed=3 f=0.65] r=1125 best=33340.0 t=1129s
[coop seed=1 f=0.65] r=1125 best=33340.0 t=1133s
[coop seed=2 f=0.65] r=1100 best=33340.0 t=1146s
[coop seed=0 f=0.65] r=1200 best=33340.0 t=1152s
[coop seed=3 f=0.65] r=1150 best=33340.0 t=1157s
[coop seed=1 f=0.65] r=1150 best=33340.0 t=1161s
[coop seed=2 f=0.65] r=1125 best=33340.0 t=1175s
[coop seed=0 f=0.65] r=1225 best=33340.0 t=1182s
[coop seed=3 f=0.65] r=1175 best=33340.0 t=1185s
[coop seed=1 f=0.65] r=1175 best=33340.0 t=1190s
[coop seed=2 f=0.65] r=1150 best=33340.0 t=1204s
[coop seed=0 f=0.65] r=1250 best=33340.0 t=1211s
[coop seed=3 f=0.65] r=1200 best=33340.0 t=1214s
[coop seed=1 f=0.65] r=1200 best=33340.0 t=1219s
[coop seed=3 f=0.15] r=1225 best=33340.5 t=1231s
[coop seed=3 f=0.10] r=1250 best=33340.7 t=1231s
[coop seed=3 f=0.45] r=1275 best=33340.7 t=1232s
[coop seed=2 f=0.65] r=1175 best=33340.0 t=1232s
[coop seed=3 f=0.20] r=1300 best=33340.9 t=1234s
[coop seed=3 f=0.10] r=1325 best=33341.5 t=1238s
