E-646: 24 uncovered idE (incl 56-84deg); 99 free idL
solving 96 real pairs (4 incl-matched idL per idE), ~24min
  [1/96] idE 101 (i=70) -> idL 48: 337 kg
  [2/96] idE 101 (i=70) -> idL 4: 355 kg
  [3/96] idE 101 (i=70) -> idL 70: 345 kg
  [4/96] idE 101 (i=70) -> idL 127: 333 kg
  [5/96] idE 102 (i=80) -> idL 77: 341 kg
  [6/96] idE 102 (i=80) -> idL 100: 350 kg
  [7/96] idE 102 (i=80) -> idL 149: 374 kg
  [8/96] idE 102 (i=80) -> idL 97: 342 kg
  [9/96] idE 123 (i=75) -> idL 24: 94 kg
  [10/96] idE 123 (i=75) -> idL 5: 87 kg
  [11/96] idE 123 (i=75) -> idL 48: 97 kg
  [12/96] idE 123 (i=75) -> idL 127: 88 kg
  [13/96] idE 127 (i=71) -> idL 48: 417 kg
  [14/96] idE 127 (i=71) -> idL 70: 427 kg
  [15/96] idE 127 (i=71) -> idL 4: 438 kg
  [16/96] idE 127 (i=71) -> idL 127: 413 kg
  [17/96] idE 135 (i=84) -> idL 123: 342 kg
  [18/96] idE 135 (i=84) -> idL 77: 318 kg
  [19/96] idE 135 (i=84) -> idL 97: 331 kg
  [20/96] idE 135 (i=84) -> idL 100: 327 kg
  [21/96] idE 146 (i=61) -> idL 99: 474 kg
  [22/96] idE 146 (i=61) -> idL 4: 359 kg
  [23/96] idE 146 (i=61) -> idL 70: 348 kg
  [24/96] idE 146 (i=61) -> idL 1: 516 kg
  [25/96] idE 157 (i=73) -> idL 48: 98 kg
  [26/96] idE 157 (i=73) -> idL 127: 88 kg
  [27/96] idE 157 (i=73) -> idL 5: 87 kg
  [28/96] idE 157 (i=73) -> idL 70: 84 kg
  [29/96] idE 165 (i=84) -> idL 123: 156 kg
  [30/96] idE 165 (i=84) -> idL 97: 118 kg
  [31/96] idE 165 (i=84) -> idL 77: 119 kg
  [32/96] idE 165 (i=84) -> idL 100: 113 kg
  [33/96] idE 185 (i=80) -> idL 100: 99 kg
  [34/96] idE 185 (i=80) -> idL 149: 94 kg
  [35/96] idE 185 (i=80) -> idL 77: 104 kg
  [36/96] idE 185 (i=80) -> idL 97: 103 kg
  [37/96] idE 197 (i=71) -> idL 70: 314 kg
  [38/96] idE 197 (i=71) -> idL 4: 324 kg
  [39/96] idE 197 (i=71) -> idL 48: 306 kg
  [40/96] idE 197 (i=71) -> idL 127: 303 kg
  [41/96] idE 208 (i=68) -> idL 48: 405 kg
  [42/96] idE 208 (i=68) -> idL 70: 414 kg
  [43/96] idE 208 (i=68) -> idL 4: 425 kg
  [44/96] idE 208 (i=68) -> idL 127: 401 kg
  [45/96] idE 211 (i=71) -> idL 70: 423 kg
  [46/96] idE 211 (i=71) -> idL 48: 413 kg
  [47/96] idE 211 (i=71) -> idL 4: 434 kg
  [48/96] idE 211 (i=71) -> idL 127: 409 kg
  [49/96] idE 224 (i=70) -> idL 4: 90 kg
  [50/96] idE 224 (i=70) -> idL 70: 90 kg
  [51/96] idE 224 (i=70) -> idL 48: 104 kg
  [52/96] idE 224 (i=70) -> idL 127: 94 kg
  [53/96] idE 226 (i=56) -> idL 99: 443 kg
  [54/96] idE 226 (i=56) -> idL 121: 508 kg
  [56/96] idE 226 (i=56) -> idL 73: 528 kg
  [57/96] idE 228 (i=71) -> idL 70: 68 kg
  [58/96] idE 228 (i=71) -> idL 48: 81 kg
  [59/96] idE 228 (i=71) -> idL 4: 68 kg
  [60/96] idE 228 (i=71) -> idL 127: 72 kg
  [61/96] idE 235 (i=77) -> idL 24: 304 kg
  [62/96] idE 235 (i=77) -> idL 149: 287 kg
  [63/96] idE 235 (i=77) -> idL 5: 313 kg
  [64/96] idE 235 (i=77) -> idL 127: 312 kg
  [65/96] idE 243 (i=74) -> idL 5: 210 kg
  [66/96] idE 243 (i=74) -> idL 127: 210 kg
  [67/96] idE 243 (i=74) -> idL 48: 213 kg
  [68/96] idE 243 (i=74) -> idL 24: 301 kg
  [69/96] idE 326 (i=76) -> idL 24: 84 kg
