[E-701 FILL] restarts=5 gen=180 shard=1/3
[E-701 FILL] 74 matched empty-slot triples (|iE-iL| range 0.013..1.179 rad)
[PC] WARNING: easiest triple (301,32) did not validate at low budget (may need full budget) — continuing
  [1/25] (173,116) |di|=0.120 -> no valid transfer [322s]
  [2/25] FILL (336,94,d379) |di|=0.200 -> dv=4283 mass=573 kg [707s]
  [3/25] FILL (305,73,d369) |di|=0.283 -> dv=4329 mass=337 kg [1037s]
  [4/25] FILL (115,376,d334) |di|=0.435 -> dv=4404 mass=169 kg [1426s]
  [5/25] FILL (377,334,d393) |di|=0.480 -> dv=4408 mass=647 kg [1780s]
  [6/25] FILL (197,356,d354) |di|=0.540 -> dv=4166 mass=231 kg [2143s]
  [7/25] FILL (59,124,d323) |di|=0.579 -> dv=4650 mass=265 kg [2409s]
  [8/25] FILL (367,381,d390) |di|=0.633 -> dv=4343 mass=704 kg [2728s]
  [9/25] FILL (326,392,d377) |di|=0.649 -> dv=4374 mass=691 kg [2935s]
  [10/25] FILL (392,394,d398) |di|=0.683 -> dv=4117 mass=796 kg [3278s]
  [11/25] FILL (349,391,d382) |di|=0.694 -> dv=4205 mass=760 kg [3597s]
  [12/25] FILL (388,125,d397) |di|=0.757 -> dv=4196 mass=357 kg [3935s]
  [13/25] FILL (383,314,d395) |di|=0.818 -> dv=5316 mass=67 kg [4138s]
  [14/25] FILL (355,355,d385) |di|=0.839 -> dv=4421 mass=673 kg [4331s]
  [15/25] FILL (350,343,d383) |di|=0.853 -> dv=5344 mass=367 kg [4622s]
  [16/25] FILL (399,395,d399) |di|=0.887 -> dv=4377 mass=691 kg [4881s]
  [17/25] FILL (359,28,d387) |di|=0.907 -> dv=4316 mass=575 kg [5176s]
  [18/25] FILL (310,64,d370) |di|=0.919 -> dv=4554 mass=623 kg [5443s]
  [19/25] FILL (123,146,d336) |di|=0.955 -> dv=4428 mass=288 kg [5747s]
  [20/25] FILL (216,129,d357) |di|=0.994 -> dv=4072 mass=343 kg [6033s]
  [21/25] FILL (382,67,d394) |di|=1.014 -> dv=4702 mass=15 kg [6403s]
  [22/25] FILL (357,82,d386) |di|=1.025 -> dv=4561 mass=593 kg [6718s]
  [23/25] FILL (338,10,d380) |di|=1.035 -> dv=4300 mass=483 kg [6990s]
  [24/25] FILL (323,57,d376) |di|=1.106 -> dv=4237 mass=328 kg [7309s]
