error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s421] LP-rounded start=69503.05 sel=8589 | bank=73253.48 leader=73714.03 | random-destroy 0.3
[E-678 s421] best=70605.08 (+-2648.40 vs bank) it=0 acc=0 [1s]
[E-678 s421] best=70971.40 (+-2282.08 vs bank) it=1 acc=1 [1s]
[E-678 s421] best=71209.96 (+-2043.52 vs bank) it=2 acc=2 [2s]
[E-678 s421] best=71375.38 (+-1878.10 vs bank) it=3 acc=3 [2s]
[E-678 s421] best=71491.68 (+-1761.80 vs bank) it=4 acc=4 [3s]
[E-678 s421] best=71632.97 (+-1620.51 vs bank) it=5 acc=5 [3s]
[E-678 s421] best=71710.44 (+-1543.04 vs bank) it=6 acc=6 [4s]
[E-678 s421] best=71746.94 (+-1506.54 vs bank) it=7 acc=7 [4s]
[E-678 s421] best=71800.78 (+-1452.70 vs bank) it=8 acc=8 [5s]
[E-678 s421] best=71830.61 (+-1422.87 vs bank) it=9 acc=9 [5s]
[E-678 s421] best=71860.90 (+-1392.57 vs bank) it=10 acc=10 [6s]
[E-678 s421] best=71886.88 (+-1366.60 vs bank) it=11 acc=11 [6s]
[E-678 s421] best=71915.61 (+-1337.87 vs bank) it=12 acc=12 [7s]
[E-678 s421] best=71958.10 (+-1295.38 vs bank) it=13 acc=13 [7s]
[E-678 s421] best=71991.63 (+-1261.85 vs bank) it=14 acc=14 [8s]
[E-678 s421] best=72026.31 (+-1227.17 vs bank) it=15 acc=15 [8s]
[E-678 s421] best=72042.73 (+-1210.75 vs bank) it=16 acc=16 [9s]
[E-678 s421] best=72082.93 (+-1170.55 vs bank) it=17 acc=17 [9s]
[E-678 s421] best=72108.49 (+-1144.99 vs bank) it=18 acc=18 [10s]
[E-678 s421] best=72120.20 (+-1133.28 vs bank) it=19 acc=19 [10s]
[E-678 s421] best=72136.60 (+-1116.88 vs bank) it=20 acc=20 [11s]
[E-678 s421] best=72143.34 (+-1110.14 vs bank) it=21 acc=21 [11s]
[E-678 s421] best=72157.80 (+-1095.68 vs bank) it=22 acc=22 [12s]
[E-678 s421] best=72172.22 (+-1081.26 vs bank) it=23 acc=23 [12s]
