error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s32] LP-rounded start=32020.61 sel=4203 | bank=33470.92 leader=33555.62 | random-destroy 0.4
[E-678 s32] best=32481.37 (+-989.55 vs bank) it=0 acc=0 [0s]
[E-678 s32] best=32663.92 (+-807.00 vs bank) it=1 acc=1 [1s]
[E-678 s32] best=32769.72 (+-701.20 vs bank) it=2 acc=2 [1s]
[E-678 s32] best=32838.30 (+-632.62 vs bank) it=3 acc=3 [1s]
[E-678 s32] best=32876.04 (+-594.88 vs bank) it=4 acc=4 [1s]
[E-678 s32] best=32928.77 (+-542.15 vs bank) it=5 acc=5 [1s]
[E-678 s32] best=32951.79 (+-519.13 vs bank) it=6 acc=6 [2s]
[E-678 s32] best=32971.86 (+-499.06 vs bank) it=7 acc=7 [2s]
[E-678 s32] best=32978.64 (+-492.28 vs bank) it=8 acc=8 [2s]
[E-678 s32] best=33010.56 (+-460.36 vs bank) it=9 acc=9 [2s]
[E-678 s32] best=33022.35 (+-448.57 vs bank) it=10 acc=10 [2s]
[E-678 s32] best=33045.20 (+-425.72 vs bank) it=11 acc=11 [3s]
[E-678 s32] best=33059.54 (+-411.38 vs bank) it=12 acc=12 [3s]
[E-678 s32] best=33083.72 (+-387.20 vs bank) it=13 acc=13 [3s]
[E-678 s32] best=33101.60 (+-369.32 vs bank) it=14 acc=14 [3s]
[E-678 s32] best=33105.37 (+-365.55 vs bank) it=15 acc=15 [4s]
[E-678 s32] best=33109.83 (+-361.09 vs bank) it=17 acc=17 [4s]
[E-678 s32] best=33121.74 (+-349.18 vs bank) it=18 acc=18 [4s]
[E-678 s32] best=33126.16 (+-344.76 vs bank) it=19 acc=19 [4s]
[E-678 s32] best=33134.57 (+-336.35 vs bank) it=20 acc=20 [5s]
[E-678 s32] best=33135.31 (+-335.61 vs bank) it=21 acc=21 [5s]
[E-678 s32] best=33139.22 (+-331.70 vs bank) it=22 acc=22 [5s]
[E-678 s32] best=33144.75 (+-326.17 vs bank) it=23 acc=23 [5s]
[E-678 s32] best=33145.27 (+-325.65 vs bank) it=24 acc=24 [5s]
[E-678 s32] best=33148.22 (+-322.70 vs bank) it=25 acc=25 [6s]
