error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s201] LP-rounded start=69503.05 sel=8589 | bank=73253.48 leader=73714.03 | random-destroy 0.5
[E-678 s201] best=70194.55 (+-3058.93 vs bank) it=2 acc=2 [30s]
[E-678 s201] best=70478.79 (+-2774.69 vs bank) it=3 acc=3 [40s]
[E-678 s201] best=70874.97 (+-2378.51 vs bank) it=5 acc=5 [61s]
[E-678 s201] best=72085.98 (+-1167.50 vs bank) it=6 acc=6 [70s]
[E-678 s201] best=72172.69 (+-1080.79 vs bank) it=7 acc=7 [74s]
[E-678 s201] best=72275.20 (+-978.28 vs bank) it=8 acc=8 [79s]
[E-678 s201] best=72353.21 (+-900.27 vs bank) it=9 acc=9 [84s]
[E-678 s201] best=72413.44 (+-840.04 vs bank) it=10 acc=10 [87s]
[E-678 s201] best=72468.42 (+-785.06 vs bank) it=11 acc=11 [91s]
[E-678 s201] best=72505.45 (+-748.03 vs bank) it=12 acc=12 [94s]
[E-678 s201] best=72540.67 (+-712.81 vs bank) it=13 acc=13 [98s]
[E-678 s201] best=72583.37 (+-670.11 vs bank) it=14 acc=14 [101s]
[E-678 s201] best=72613.71 (+-639.77 vs bank) it=15 acc=15 [104s]
[E-678 s201] best=72637.60 (+-615.88 vs bank) it=16 acc=16 [108s]
[E-678 s201] best=72662.00 (+-591.48 vs bank) it=17 acc=17 [112s]
[E-678 s201] best=72669.20 (+-584.28 vs bank) it=18 acc=18 [115s]
[E-678 s201] best=72686.64 (+-566.84 vs bank) it=19 acc=19 [118s]
[E-678 s201] best=72703.33 (+-550.15 vs bank) it=20 acc=20 [121s]
[E-678 s201] best=72722.68 (+-530.80 vs bank) it=21 acc=21 [124s]
[E-678 s201] best=72743.02 (+-510.46 vs bank) it=22 acc=22 [128s]
[E-678 s201] best=72758.86 (+-494.62 vs bank) it=23 acc=23 [131s]
[E-678 s201] best=72769.98 (+-483.50 vs bank) it=24 acc=24 [135s]
[E-678 s201] best=72780.16 (+-473.32 vs bank) it=25 acc=25 [139s]
[E-678 s201] best=72793.24 (+-460.24 vs bank) it=26 acc=26 [142s]
[E-678 s201] best=72801.31 (+-452.17 vs bank) it=27 acc=27 [146s]
