[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[100,400] 6000s seed7
[E-756rr] it50: cur 33489.294 best 33490.458 (+0.000) T=2.926 acc50 [1s]
[E-756rr] it100: cur 33489.294 best 33490.458 (+0.000) T=2.854 acc100 [2s]
[E-756rr] it150: cur 33489.523 best 33490.458 (+0.000) T=2.783 acc149 [2s]
[E-756rr] it200: cur 33488.301 best 33490.458 (+0.000) T=2.714 acc198 [3s]
[E-756rr] it250: cur 33487.419 best 33490.458 (+0.000) T=2.647 acc247 [4s]
[E-756rr] it300: cur 33488.530 best 33490.458 (+0.000) T=2.582 acc296 [5s]
[E-756rr] it350: cur 33488.301 best 33490.458 (+0.000) T=2.518 acc344 [6s]
[E-756rr] it400: cur 33487.077 best 33490.458 (+0.000) T=2.456 acc393 [7s]
[E-756rr] it450: cur 33487.959 best 33490.458 (+0.000) T=2.395 acc443 [7s]
[E-756rr] it500: cur 33487.959 best 33490.458 (+0.000) T=2.336 acc492 [8s]
[E-756rr] it550: cur 33487.491 best 33490.458 (+0.000) T=2.279 acc542 [9s]
[E-756rr] it600: cur 33487.720 best 33490.458 (+0.000) T=2.222 acc592 [10s]
[E-756rr] it650: cur 33487.720 best 33490.458 (+0.000) T=2.167 acc641 [11s]
[E-756rr] it700: cur 33487.491 best 33490.458 (+0.000) T=2.114 acc691 [12s]
[E-756rr] it750: cur 33487.491 best 33490.458 (+0.000) T=2.062 acc740 [13s]
[E-756rr] it800: cur 33487.720 best 33490.458 (+0.000) T=2.011 acc789 [13s]
[E-756rr] it850: cur 33487.491 best 33490.458 (+0.000) T=1.961 acc839 [14s]
[E-756rr] it900: cur 33486.838 best 33490.458 (+0.000) T=1.913 acc889 [15s]
[E-756rr] it950: cur 33487.720 best 33490.458 (+0.000) T=1.865 acc939 [16s]
[E-756rr] it1000: cur 33487.491 best 33490.458 (+0.000) T=1.819 acc989 [17s]
[E-756rr] it1050: cur 33487.491 best 33490.458 (+0.000) T=1.774 acc1038 [18s]
[E-756rr] it1100: cur 33486.609 best 33490.458 (+0.000) T=1.731 acc1087 [18s]
[E-756rr] it1150: cur 33487.720 best 33490.458 (+0.000) T=1.688 acc1137 [19s]
[E-756rr] it1200: cur 33486.838 best 33490.458 (+0.000) T=1.646 acc1187 [20s]
[E-756rr] it1250: cur 33487.720 best 33490.458 (+0.000) T=1.606 acc1236 [21s]
[E-756rr] it1300: cur 33487.720 best 33490.458 (+0.000) T=1.566 acc1285 [22s]
[E-756rr] it1350: cur 33487.720 best 33490.458 (+0.000) T=1.527 acc1335 [23s]
[E-756rr] it1400: cur 33487.720 best 33490.458 (+0.000) T=1.489 acc1385 [24s]
[E-756rr] it1450: cur 33487.491 best 33490.458 (+0.000) T=1.453 acc1434 [24s]
[E-756rr] it1500: cur 33487.491 best 33490.458 (+0.000) T=1.417 acc1484 [25s]
[E-756rr] it1550: cur 33487.720 best 33490.458 (+0.000) T=1.382 acc1533 [26s]
[E-756rr] it1600: cur 33487.720 best 33490.458 (+0.000) T=1.348 acc1583 [27s]
[E-756rr] it1650: cur 33487.720 best 33490.458 (+0.000) T=1.314 acc1633 [28s]
[E-756rr] it1700: cur 33487.323 best 33490.458 (+0.000) T=1.282 acc1683 [29s]
[E-756rr] it1750: cur 33487.463 best 33490.458 (+0.000) T=1.250 acc1732 [30s]
[E-756rr] it1800: cur 33487.094 best 33490.458 (+0.000) T=1.219 acc1782 [30s]
[E-756rr] it1850: cur 33487.094 best 33490.458 (+0.000) T=1.189 acc1831 [31s]
[E-756rr] it1900: cur 33487.094 best 33490.458 (+0.000) T=1.160 acc1880 [32s]
[E-756rr] it1950: cur 33487.094 best 33490.458 (+0.000) T=1.131 acc1930 [33s]
[E-756rr] it2000: cur 33487.323 best 33490.458 (+0.000) T=1.103 acc1980 [34s]
[E-756rr] it2050: cur 33487.323 best 33490.458 (+0.000) T=1.076 acc2029 [35s]
[E-756rr] it2100: cur 33487.323 best 33490.458 (+0.000) T=1.050 acc2078 [36s]
[E-756rr] it2150: cur 33487.323 best 33490.458 (+0.000) T=1.024 acc2128 [36s]
[E-756rr] it2200: cur 33487.323 best 33490.458 (+0.000) T=0.998 acc2177 [37s]
[E-756rr] it2250: cur 33487.323 best 33490.458 (+0.000) T=0.974 acc2224 [38s]
[E-756rr] it2300: cur 33487.323 best 33490.458 (+0.000) T=0.950 acc2271 [39s]
[E-756rr] it2350: cur 33487.094 best 33490.458 (+0.000) T=0.926 acc2319 [40s]
[E-756rr] it2400: cur 33487.094 best 33490.458 (+0.000) T=0.903 acc2366 [41s]
[E-756rr] it2450: cur 33487.094 best 33490.458 (+0.000) T=0.881 acc2416 [42s]
[E-756rr] it2500: cur 33487.323 best 33490.458 (+0.000) T=0.859 acc2464 [42s]
[E-756rr] it2550: cur 33487.094 best 33490.458 (+0.000) T=0.838 acc2508 [43s]
[E-756rr] it2600: cur 33487.094 best 33490.458 (+0.000) T=0.817 acc2555 [44s]
[E-756rr] it2650: cur 33487.323 best 33490.458 (+0.000) T=0.797 acc2604 [45s]
[E-756rr] it2700: cur 33487.094 best 33490.458 (+0.000) T=0.777 acc2653 [46s]
[E-756rr] it2750: cur 33487.094 best 33490.458 (+0.000) T=0.758 acc2702 [47s]
[E-756rr] it2800: cur 33487.323 best 33490.458 (+0.000) T=0.740 acc2752 [47s]
[E-756rr] it2850: cur 33487.323 best 33490.458 (+0.000) T=0.721 acc2800 [48s]
[E-756rr] it2900: cur 33487.323 best 33490.458 (+0.000) T=0.703 acc2849 [49s]
[E-756rr] it2950: cur 33487.323 best 33490.458 (+0.000) T=0.686 acc2899 [50s]
[E-756rr] it3000: cur 33487.094 best 33490.458 (+0.000) T=0.669 acc2947 [51s]
[E-756rr] it3050: cur 33487.094 best 33490.458 (+0.000) T=0.653 acc2996 [51s]
[E-756rr] it3100: cur 33487.094 best 33490.458 (+0.000) T=0.636 acc3044 [52s]
[E-756rr] it3150: cur 33487.094 best 33490.458 (+0.000) T=0.621 acc3093 [53s]
[E-756rr] it3200: cur 33487.323 best 33490.458 (+0.000) T=0.605 acc3141 [54s]
[E-756rr] it3250: cur 33487.094 best 33490.458 (+0.000) T=0.590 acc3190 [55s]
[E-756rr] it3300: cur 33487.323 best 33490.458 (+0.000) T=0.576 acc3237 [55s]
[E-756rr] it3350: cur 33487.323 best 33490.458 (+0.000) T=0.562 acc3285 [56s]
[E-756rr] it3400: cur 33487.094 best 33490.458 (+0.000) T=0.548 acc3335 [57s]
[E-756rr] it3450: cur 33487.094 best 33490.458 (+0.000) T=0.534 acc3385 [58s]
[E-756rr] it3500: cur 33487.323 best 33490.458 (+0.000) T=0.521 acc3433 [59s]
[E-756rr] it3550: cur 33487.094 best 33490.458 (+0.000) T=0.508 acc3482 [60s]
[E-756rr] it3600: cur 33487.094 best 33490.458 (+0.000) T=0.496 acc3530 [60s]
[E-756rr] it3650: cur 33487.094 best 33490.458 (+0.000) T=0.483 acc3578 [61s]
[E-756rr] it3700: cur 33487.094 best 33490.458 (+0.000) T=0.471 acc3626 [62s]
[E-756rr] it3750: cur 33487.323 best 33490.458 (+0.000) T=0.460 acc3673 [63s]
[E-756rr] it3800: cur 33487.323 best 33490.458 (+0.000) T=0.448 acc3723 [64s]
[E-756rr] it3850: cur 33487.323 best 33490.458 (+0.000) T=0.437 acc3772 [65s]
[E-756rr] it3900: cur 33487.323 best 33490.458 (+0.000) T=0.427 acc3821 [66s]
[E-756rr] it3950: cur 33487.323 best 33490.458 (+0.000) T=0.416 acc3871 [67s]
[E-756rr] it4000: cur 33487.323 best 33490.458 (+0.000) T=0.406 acc3919 [68s]
[E-756rr] it4050: cur 33487.323 best 33490.458 (+0.000) T=0.396 acc3968 [68s]
[E-756rr] it4100: cur 33487.094 best 33490.458 (+0.000) T=0.386 acc4017 [69s]
[E-756rr] it4150: cur 33487.094 best 33490.458 (+0.000) T=0.376 acc4067 [70s]
[E-756rr] it4200: cur 33487.323 best 33490.458 (+0.000) T=0.367 acc4117 [71s]
[E-756rr] it4250: cur 33487.094 best 33490.458 (+0.000) T=0.358 acc4167 [72s]
[E-756rr] it4300: cur 33487.323 best 33490.458 (+0.000) T=0.349 acc4216 [73s]
[E-756rr] it4350: cur 33487.323 best 33490.458 (+0.000) T=0.341 acc4263 [74s]
[E-756rr] it4400: cur 33487.323 best 33490.458 (+0.000) T=0.332 acc4309 [74s]
[E-756rr] it4450: cur 33486.752 best 33490.458 (+0.000) T=0.324 acc4355 [75s]
[E-756rr] it4500: cur 33486.752 best 33490.458 (+0.000) T=0.316 acc4403 [76s]
[E-756rr] it4550: cur 33487.516 best 33490.458 (+0.000) T=0.308 acc4453 [77s]
[E-756rr] it4600: cur 33487.516 best 33490.458 (+0.000) T=0.301 acc4503 [78s]
[E-756rr] it4650: cur 33487.745 best 33490.458 (+0.000) T=0.293 acc4551 [79s]
[E-756rr] it4700: cur 33487.376 best 33490.458 (+0.000) T=0.286 acc4598 [79s]
[E-756rr] it4750: cur 33487.605 best 33490.458 (+0.000) T=0.279 acc4646 [80s]
[E-756rr] it4800: cur 33487.605 best 33490.458 (+0.000) T=0.272 acc4695 [81s]
[E-756rr] it4850: cur 33487.605 best 33490.458 (+0.000) T=0.265 acc4741 [82s]
[E-756rr] it4900: cur 33487.605 best 33490.458 (+0.000) T=0.259 acc4788 [83s]
[E-756rr] it4950: cur 33487.376 best 33490.458 (+0.000) T=0.252 acc4837 [84s]
[E-756rr] it5000: cur 33487.376 best 33490.458 (+0.000) T=0.246 acc4887 [84s]
[E-756rr] it5050: cur 33487.376 best 33490.458 (+0.000) T=0.240 acc4932 [85s]
[E-756rr] it5100: cur 33487.516 best 33490.458 (+0.000) T=0.234 acc4980 [86s]
[E-756rr] it5150: cur 33487.516 best 33490.458 (+0.000) T=0.228 acc5028 [87s]
[E-756rr] it5200: cur 33487.745 best 33490.458 (+0.000) T=0.223 acc5076 [88s]
[E-756rr] it5250: cur 33487.516 best 33490.458 (+0.000) T=0.217 acc5124 [88s]
[E-756rr] it5300: cur 33487.516 best 33490.458 (+0.000) T=0.212 acc5173 [89s]
[E-756rr] it5350: cur 33487.605 best 33490.458 (+0.000) T=0.207 acc5217 [90s]
[E-756rr] it5400: cur 33487.605 best 33490.458 (+0.000) T=0.201 acc5266 [91s]
[E-756rr] it5450: cur 33487.605 best 33490.458 (+0.000) T=0.197 acc5311 [92s]
[E-756rr] it5500: cur 33487.605 best 33490.458 (+0.000) T=0.192 acc5357 [92s]
[E-756rr] it5550: cur 33487.605 best 33490.458 (+0.000) T=0.187 acc5403 [93s]
[E-756rr] it5600: cur 33487.947 best 33490.458 (+0.000) T=0.182 acc5452 [94s]
[E-756rr] it5650: cur 33487.605 best 33490.458 (+0.000) T=0.178 acc5500 [95s]
[E-756rr] it5700: cur 33487.605 best 33490.458 (+0.000) T=0.173 acc5548 [96s]
[E-756rr] it5750: cur 33487.605 best 33490.458 (+0.000) T=0.169 acc5598 [96s]
[E-756rr] it5800: cur 33487.605 best 33490.458 (+0.000) T=0.165 acc5641 [97s]
[E-756rr] it5850: cur 33487.605 best 33490.458 (+0.000) T=0.161 acc5687 [98s]
[E-756rr] it5900: cur 33487.745 best 33490.458 (+0.000) T=0.157 acc5735 [99s]
[E-756rr] it5950: cur 33487.745 best 33490.458 (+0.000) T=0.153 acc5781 [100s]
[E-756rr] it6000: cur 33487.605 best 33490.458 (+0.000) T=0.149 acc5829 [100s]
[E-756rr] it6050: cur 33487.745 best 33490.458 (+0.000) T=0.146 acc5878 [101s]
[E-756rr] it6100: cur 33487.745 best 33490.458 (+0.000) T=0.142 acc5927 [102s]
[E-756rr] it6150: cur 33487.605 best 33490.458 (+0.000) T=0.138 acc5976 [103s]
[E-756rr] it6200: cur 33487.605 best 33490.458 (+0.000) T=0.135 acc6025 [104s]
[E-756rr] it6250: cur 33487.605 best 33490.458 (+0.000) T=0.132 acc6075 [105s]
[E-756rr] it6300: cur 33487.376 best 33490.458 (+0.000) T=0.128 acc6124 [105s]
[E-756rr] it6350: cur 33487.605 best 33490.458 (+0.000) T=0.125 acc6174 [106s]
[E-756rr] it6400: cur 33487.605 best 33490.458 (+0.000) T=0.122 acc6222 [107s]
[E-756rr] it6450: cur 33487.376 best 33490.458 (+0.000) T=0.119 acc6270 [108s]
[E-756rr] it6500: cur 33487.516 best 33490.458 (+0.000) T=0.116 acc6316 [108s]
[E-756rr] it6550: cur 33487.516 best 33490.458 (+0.000) T=0.113 acc6362 [109s]
[E-756rr] it6600: cur 33488.087 best 33490.458 (+0.000) T=0.111 acc6409 [110s]
[E-756rr] it6650: cur 33488.316 best 33490.458 (+0.000) T=0.108 acc6456 [111s]
[E-756rr] it6700: cur 33488.316 best 33490.458 (+0.000) T=0.105 acc6499 [112s]
[E-756rr] it6750: cur 33488.316 best 33490.458 (+0.000) T=0.103 acc6541 [112s]
[E-756rr] it6800: cur 33488.316 best 33490.458 (+0.000) T=0.100 acc6587 [113s]
[E-756rr] it6850: cur 33488.316 best 33490.458 (+0.000) T=0.098 acc6635 [114s]
[E-756rr] it6900: cur 33488.316 best 33490.458 (+0.000) T=0.095 acc6680 [115s]
[E-756rr] it6950: cur 33488.316 best 33490.458 (+0.000) T=0.093 acc6730 [116s]
[E-756rr] it7000: cur 33488.316 best 33490.458 (+0.000) T=0.091 acc6776 [116s]
[E-756rr] it7050: cur 33488.316 best 33490.458 (+0.000) T=0.088 acc6823 [117s]
[E-756rr] it7100: cur 33488.316 best 33490.458 (+0.000) T=0.086 acc6870 [118s]
[E-756rr] it7150: cur 33488.316 best 33490.458 (+0.000) T=0.084 acc6917 [119s]
[E-756rr] it7200: cur 33488.316 best 33490.458 (+0.000) T=0.082 acc6964 [120s]
[E-756rr] it7250: cur 33488.176 best 33490.458 (+0.000) T=0.080 acc7009 [121s]
[E-756rr] it7300: cur 33488.176 best 33490.458 (+0.000) T=0.078 acc7058 [122s]
[E-756rr] it7350: cur 33488.176 best 33490.458 (+0.000) T=0.076 acc7105 [123s]
[E-756rr] it7400: cur 33488.176 best 33490.458 (+0.000) T=0.074 acc7153 [123s]
[E-756rr] it7450: cur 33488.176 best 33490.458 (+0.000) T=0.072 acc7200 [124s]
[E-756rr] it7500: cur 33488.176 best 33490.458 (+0.000) T=0.070 acc7248 [125s]
[E-756rr] it7550: cur 33488.176 best 33490.458 (+0.000) T=0.069 acc7295 [126s]
[E-756rr] it7600: cur 33488.176 best 33490.458 (+0.000) T=0.067 acc7343 [127s]
[E-756rr] it7650: cur 33488.518 best 33490.458 (+0.000) T=0.065 acc7391 [128s]
[E-756rr] it7700: cur 33488.518 best 33490.458 (+0.000) T=0.064 acc7439 [129s]
[E-756rr] it7750: cur 33488.518 best 33490.458 (+0.000) T=0.062 acc7485 [130s]
[E-756rr] it7800: cur 33488.518 best 33490.458 (+0.000) T=0.061 acc7532 [131s]
[E-756rr] it7850: cur 33488.518 best 33490.458 (+0.000) T=0.059 acc7581 [132s]
[E-756rr] it7900: cur 33488.518 best 33490.458 (+0.000) T=0.058 acc7629 [133s]
[E-756rr] it7950: cur 33488.518 best 33490.458 (+0.000) T=0.056 acc7676 [134s]
[E-756rr] it8000: cur 33488.518 best 33490.458 (+0.000) T=0.055 acc7726 [135s]
[E-756rr] it8050: cur 33488.518 best 33490.458 (+0.000) T=0.054 acc7771 [136s]
[E-756rr] it8100: cur 33488.518 best 33490.458 (+0.000) T=0.052 acc7818 [137s]
[E-756rr] it8150: cur 33488.518 best 33490.458 (+0.000) T=0.051 acc7868 [138s]
