[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[400,1000] 5000s seed13
[E-756rr] it50: cur 33487.928 best 33490.458 (+0.000) T=2.926 acc49 [2s]
[E-756rr] it100: cur 33487.376 best 33490.458 (+0.000) T=2.854 acc96 [4s]
[E-756rr] it150: cur 33487.376 best 33490.458 (+0.000) T=2.783 acc146 [7s]
[E-756rr] it200: cur 33486.738 best 33490.458 (+0.000) T=2.714 acc196 [9s]
[E-756rr] it250: cur 33484.993 best 33490.458 (+0.000) T=2.647 acc245 [11s]
[E-756rr] it300: cur 33484.764 best 33490.458 (+0.000) T=2.582 acc289 [14s]
[E-756rr] it350: cur 33484.764 best 33490.458 (+0.000) T=2.518 acc338 [16s]
[E-756rr] it400: cur 33484.764 best 33490.458 (+0.000) T=2.456 acc388 [18s]
[E-756rr] it450: cur 33486.484 best 33490.458 (+0.000) T=2.395 acc438 [21s]
[E-756rr] it500: cur 33486.853 best 33490.458 (+0.000) T=2.336 acc487 [23s]
[E-756rr] it550: cur 33486.484 best 33490.458 (+0.000) T=2.279 acc536 [25s]
[E-756rr] it600: cur 33486.484 best 33490.458 (+0.000) T=2.222 acc586 [28s]
[E-756rr] it650: cur 33486.624 best 33490.458 (+0.000) T=2.167 acc634 [30s]
[E-756rr] it700: cur 33485.860 best 33490.458 (+0.000) T=2.114 acc684 [33s]
[E-756rr] it750: cur 33485.631 best 33490.458 (+0.000) T=2.062 acc734 [36s]
[E-756rr] it800: cur 33485.631 best 33490.458 (+0.000) T=2.011 acc783 [38s]
[E-756rr] it850: cur 33486.713 best 33490.458 (+0.000) T=1.961 acc832 [41s]
[E-756rr] it900: cur 33486.853 best 33490.458 (+0.000) T=1.913 acc880 [43s]
[E-756rr] it950: cur 33485.986 best 33490.458 (+0.000) T=1.865 acc930 [46s]
[E-756rr] it1000: cur 33485.757 best 33490.458 (+0.000) T=1.819 acc977 [48s]
[E-756rr] it1050: cur 33485.846 best 33490.458 (+0.000) T=1.774 acc1025 [51s]
[E-756rr] it1100: cur 33485.617 best 33490.458 (+0.000) T=1.731 acc1072 [53s]
