[E-582] matching-i |T|=25000 nodes=5001/5001/5001 bank=33490.458 start(tightened)=33490.458 T0=2.0 cool=0.9999 tabuK=200 fill_every=20000 seed=1
  it=20000 t=0s T=0.271 cur~33464.6 tightened=33487.582 best=33490.458 acc=16 worse=12
  it=40000 t=1s T=0.050 cur~33467.4 tightened=33487.582 best=33490.458 acc=18 worse=12
  it=60000 t=1s T=0.050 cur~33477.7 tightened=33483.667 best=33490.458 acc=21 worse=12
  it=80000 t=1s T=0.050 cur~33477.6 tightened=33483.667 best=33490.458 acc=22 worse=13
  it=100000 t=2s T=0.050 cur~33477.7 tightened=33483.667 best=33490.458 acc=23 worse=13
  it=120000 t=2s T=0.050 cur~33486.7 tightened=33488.723 best=33490.458 acc=26 worse=13
  it=140000 t=2s T=0.050 cur~33486.7 tightened=33488.723 best=33490.458 acc=26 worse=13
  it=160000 t=3s T=0.050 cur~33486.7 tightened=33488.723 best=33490.458 acc=28 worse=14
  it=180000 t=3s T=0.050 cur~33486.7 tightened=33488.723 best=33490.458 acc=28 worse=14
  it=200000 t=3s T=0.050 cur~33486.9 tightened=33488.937 best=33490.458 acc=29 worse=14
  it=220000 t=4s T=0.050 cur~33486.9 tightened=33488.937 best=33490.458 acc=29 worse=14
  it=240000 t=4s T=0.050 cur~33486.8 tightened=33488.819 best=33490.458 acc=30 worse=15
  it=260000 t=4s T=0.050 cur~33486.8 tightened=33488.819 best=33490.458 acc=30 worse=15
  it=280000 t=5s T=0.050 cur~33486.8 tightened=33488.819 best=33490.458 acc=30 worse=15
  it=300000 t=5s T=0.050 cur~33487.7 tightened=33488.819 best=33490.458 acc=31 worse=15
  it=320000 t=6s T=0.050 cur~33487.7 tightened=33488.819 best=33490.458 acc=31 worse=15
  it=340000 t=6s T=0.050 cur~33488.2 tightened=33488.819 best=33490.458 acc=33 worse=16
  it=360000 t=6s T=0.050 cur~33488.2 tightened=33488.819 best=33490.458 acc=33 worse=16
  it=380000 t=7s T=0.050 cur~33488.2 tightened=33488.819 best=33490.458 acc=33 worse=16
  it=400000 t=7s T=0.050 cur~33488.2 tightened=33488.819 best=33490.458 acc=34 worse=17
  [reheat] T<-2.0 resume best=33490.458
  it=420000 t=7s T=0.271 cur~33470.7 tightened=33481.760 best=33490.458 acc=49 worse=29
  it=440000 t=8s T=0.050 cur~33474.4 tightened=33485.226 best=33490.458 acc=50 worse=29
  it=460000 t=8s T=0.050 cur~33478.8 tightened=33485.226 best=33490.458 acc=52 worse=29
  it=480000 t=8s T=0.050 cur~33478.9 tightened=33484.390 best=33490.458 acc=53 worse=29
  it=500000 t=9s T=0.050 cur~33478.9 tightened=33484.390 best=33490.458 acc=53 worse=29
  it=520000 t=9s T=0.050 cur~33478.9 tightened=33484.390 best=33490.458 acc=53 worse=29
  it=540000 t=9s T=0.050 cur~33480.8 tightened=33487.748 best=33490.458 acc=55 worse=29
  it=560000 t=10s T=0.050 cur~33480.8 tightened=33487.748 best=33490.458 acc=55 worse=29
  it=580000 t=10s T=0.050 cur~33480.8 tightened=33487.748 best=33490.458 acc=55 worse=29
  it=600000 t=10s T=0.050 cur~33482.3 tightened=33489.236 best=33490.458 acc=56 worse=29
  it=620000 t=11s T=0.050 cur~33482.3 tightened=33489.236 best=33490.458 acc=56 worse=29
  it=640000 t=11s T=0.050 cur~33482.3 tightened=33489.236 best=33490.458 acc=56 worse=29
  it=660000 t=11s T=0.050 cur~33482.3 tightened=33489.236 best=33490.458 acc=56 worse=29
  it=680000 t=12s T=0.050 cur~33484.9 tightened=33489.236 best=33490.458 acc=57 worse=29
  it=700000 t=12s T=0.050 cur~33484.9 tightened=33489.236 best=33490.458 acc=57 worse=29
  it=720000 t=13s T=0.050 cur~33484.9 tightened=33489.236 best=33490.458 acc=57 worse=29
  it=740000 t=13s T=0.050 cur~33484.9 tightened=33489.236 best=33490.458 acc=57 worse=29
  it=760000 t=13s T=0.050 cur~33487.0 tightened=33489.622 best=33490.458 acc=59 worse=29
  it=780000 t=14s T=0.050 cur~33487.8 tightened=33490.458 best=33490.458 acc=60 worse=29
  it=800000 t=14s T=0.050 cur~33487.8 tightened=33490.458 best=33490.458 acc=60 worse=29
  [reheat] T<-2.0 resume best=33490.458
  it=820000 t=14s T=0.271 cur~33469.3 tightened=33478.525 best=33490.458 acc=67 worse=36
  it=840000 t=15s T=0.050 cur~33469.3 tightened=33478.525 best=33490.458 acc=67 worse=36
  it=860000 t=15s T=0.050 cur~33477.5 tightened=33483.872 best=33490.458 acc=69 worse=36
  it=880000 t=16s T=0.050 cur~33477.5 tightened=33483.872 best=33490.458 acc=69 worse=36
  it=900000 t=16s T=0.050 cur~33485.9 tightened=33485.980 best=33490.458 acc=74 worse=37
  it=920000 t=16s T=0.050 cur~33485.9 tightened=33485.980 best=33490.458 acc=74 worse=37
  it=940000 t=17s T=0.050 cur~33485.9 tightened=33485.980 best=33490.458 acc=74 worse=37
  it=960000 t=17s T=0.050 cur~33485.9 tightened=33485.980 best=33490.458 acc=74 worse=37
  it=980000 t=17s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1000000 t=17s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1020000 t=18s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1040000 t=18s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1060000 t=18s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1080000 t=19s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
  it=1100000 t=19s T=0.050 cur~33486.2 tightened=33486.175 best=33490.458 acc=76 worse=37
