[E-758] re-solve v_inf-rank [12,42) transfers, restarts=8 (free TOF 2.2-52d)
  (E=197,L=356,D=7) v_inf=1888 bank_m=776 -> resolve VALID mass=913 (dv2 989) <<WIN +137 [808s]
  (E=222,L=20,D=187) v_inf=1877 bank_m=737 -> resolve VALID mass=816 (dv2 1162) <<WIN +78 [1431s]
  (E=361,L=327,D=394) v_inf=1874 bank_m=688 -> resolve VALID mass=688 (dv2 1212)  [2182s]
  (E=178,L=59,D=153) v_inf=1872 bank_m=757 -> resolve INVALID [2704s]
  (E=20,L=374,D=110) v_inf=1856 bank_m=779 -> resolve VALID mass=902 (dv2 912) <<WIN +123 [3266s]
  (E=131,L=169,D=221) v_inf=1851 bank_m=779 -> resolve INVALID [4069s]
  (E=345,L=55,D=369) v_inf=1838 bank_m=681 -> resolve VALID mass=681 (dv2 1343)  [4569s]
  (E=170,L=89,D=146) v_inf=1833 bank_m=757 -> resolve VALID mass=992 (dv2 875) <<WIN +235 [5207s]
  (E=151,L=110,D=362) v_inf=1833 bank_m=672 -> resolve VALID mass=594 (dv2 996)  [5951s]
  (E=220,L=44,D=334) v_inf=1814 bank_m=515 -> resolve INVALID [6465s]
  (E=332,L=380,D=379) v_inf=1810 bank_m=681 -> resolve VALID mass=681 (dv2 1156)  [7219s]
  (E=334,L=312,D=395) v_inf=1808 bank_m=666 -> resolve VALID mass=666 (dv2 1121)  [7831s]
  (E=254,L=101,D=206) v_inf=1805 bank_m=748 -> resolve VALID mass=825 (dv2 1123) <<WIN +77 [15233s]
  (E=167,L=300,D=345) v_inf=1803 bank_m=776 -> resolve VALID mass=863 (dv2 1096) <<WIN +87 [15970s]
  (E=100,L=90,D=91) v_inf=1802 bank_m=772 -> resolve INVALID [16562s]
  (E=210,L=383,D=306) v_inf=1792 bank_m=684 -> resolve VALID mass=684 (dv2 1166)  [17118s]
  (E=85,L=321,D=343) v_inf=1789 bank_m=690 -> resolve VALID mass=685 (dv2 1308)  [17738s]
  (E=204,L=118,D=366) v_inf=1780 bank_m=797 -> resolve VALID mass=827 (dv2 929) <<WIN +31 [18538s]
  (E=102,L=100,D=136) v_inf=1778 bank_m=763 -> resolve INVALID [18912s]
  (E=223,L=360,D=388) v_inf=1778 bank_m=748 -> resolve VALID mass=744 (dv2 1267)  [19561s]
  (E=235,L=398,D=20) v_inf=1776 bank_m=798 -> resolve VALID mass=836 (dv2 1172) <<WIN +38 [20409s]
  (E=47,L=368,D=118) v_inf=1774 bank_m=785 -> resolve VALID mass=877 (dv2 1105) <<WIN +92 [21124s]
  (E=221,L=45,D=184) v_inf=1772 bank_m=768 -> resolve VALID mass=959 (dv2 860) <<WIN +191 [21625s]
  (E=83,L=148,D=76) v_inf=1770 bank_m=796 -> resolve VALID mass=840 (dv2 1184) <<WIN +44 [22359s]
  (E=116,L=86,D=360) v_inf=1769 bank_m=671 -> resolve VALID mass=671 (dv2 1139)  [22896s]
  (E=177,L=138,D=11) v_inf=1766 bank_m=745 -> resolve VALID mass=805 (dv2 1193) <<WIN +60 [23490s]
  (E=325,L=342,D=303) v_inf=1764 bank_m=736 -> resolve VALID mass=781 (dv2 1137) <<WIN +46 [23828s]
  (E=228,L=389,D=302) v_inf=1763 bank_m=613 -> resolve INVALID [24150s]
  (E=383,L=314,D=307) v_inf=1759 bank_m=684 -> resolve VALID mass=605 (dv2 1453)  [24633s]
  (E=368,L=92,D=361) v_inf=1755 bank_m=689 -> resolve VALID mass=648 (dv2 1138)  [25109s]
[E-758] DONE 13/30 wins, +1240 kg [25109s]. LEVER REAL -> v_inf was a basin miss; scale fleet
