[E-758] re-solve v_inf-rank [42,72) transfers, restarts=8 (free TOF 2.2-52d)
  (E=127,L=5,D=116) v_inf=1750 bank_m=785 -> resolve VALID mass=901 (dv2 1008) <<WIN +116 [600s]
  (E=211,L=4,D=176) v_inf=1748 bank_m=770 -> resolve VALID mass=824 (dv2 1150) <<WIN +54 [1177s]
  (E=317,L=29,D=350) v_inf=1741 bank_m=571 -> resolve VALID mass=571 (dv2 1191)  [1977s]
  (E=153,L=317,D=9) v_inf=1741 bank_m=730 -> resolve VALID mass=739 (dv2 1221) <<WIN +9 [2521s]
  (E=324,L=328,D=301) v_inf=1740 bank_m=743 -> resolve VALID mass=791 (dv2 1116) <<WIN +48 [3194s]
  (E=115,L=376,D=6) v_inf=1738 bank_m=825 -> resolve INVALID [3835s]
  (E=357,L=82,D=382) v_inf=1737 bank_m=735 -> resolve VALID mass=745 (dv2 1235) <<WIN +10 [4589s]
  (E=360,L=74,D=393) v_inf=1735 bank_m=678 -> resolve INVALID [5073s]
  (E=11,L=30,D=106) v_inf=1732 bank_m=757 -> resolve VALID mass=780 (dv2 1198) <<WIN +23 [5863s]
  (E=217,L=25,D=363) v_inf=1731 bank_m=672 -> resolve VALID mass=671 (dv2 1217)  [6604s]
  (E=179,L=15,D=154) v_inf=1730 bank_m=777 -> resolve VALID mass=806 (dv2 1211) <<WIN +29 [7452s]
  (E=312,L=131,D=349) v_inf=1725 bank_m=660 -> resolve VALID mass=660 (dv2 1226)  [7969s]
  (E=66,L=108,D=63) v_inf=1722 bank_m=801 -> resolve INVALID [8605s]
  (E=351,L=390,D=317) v_inf=1722 bank_m=747 -> resolve VALID mass=782 (dv2 1142) <<WIN +35 [9018s]
  (E=81,L=37,D=74) v_inf=1721 bank_m=736 -> resolve VALID mass=945 (dv2 849) <<WIN +208 [9636s]
  (E=304,L=318,D=376) v_inf=1720 bank_m=741 -> resolve VALID mass=825 (dv2 1072) <<WIN +84 [10352s]
  (E=76,L=149,D=69) v_inf=1720 bank_m=792 -> resolve INVALID [11031s]
  (E=234,L=357,D=380) v_inf=1717 bank_m=679 -> resolve VALID mass=523 (dv2 1667)  [11687s]
  (E=239,L=302,D=346) v_inf=1711 bank_m=680 -> resolve VALID mass=610 (dv2 1412)  [12101s]
  (E=103,L=320,D=96) v_inf=1709 bank_m=824 -> resolve VALID mass=863 (dv2 1117) <<WIN +39 [12796s]
  (E=41,L=337,D=43) v_inf=1708 bank_m=809 -> resolve VALID mass=841 (dv2 1153) <<WIN +32 [13442s]
  (E=186,L=65,D=158) v_inf=1708 bank_m=842 -> resolve VALID mass=842 (dv2 1160)  [14113s]
  (E=108,L=306,D=112) v_inf=1704 bank_m=798 -> resolve VALID mass=839 (dv2 1181) <<WIN +41 [14875s]
  (E=149,L=49,D=34) v_inf=1702 bank_m=781 -> resolve INVALID [15671s]
  (E=323,L=57,D=29) v_inf=1702 bank_m=746 -> resolve VALID mass=766 (dv2 1188) <<WIN +20 [16191s]
  (E=380,L=133,D=323) v_inf=1701 bank_m=646 -> resolve VALID mass=673 (dv2 1235) <<WIN +27 [16468s]
  (E=238,L=141,D=194) v_inf=1700 bank_m=797 -> resolve INVALID [17032s]
  (E=329,L=7,D=271) v_inf=1697 bank_m=755 -> resolve VALID mass=873 (dv2 1008) <<WIN +118 [17791s]
  (E=94,L=6,D=86) v_inf=1696 bank_m=800 -> resolve VALID mass=812 (dv2 1225) <<WIN +11 [18475s]
  (E=101,L=127,D=133) v_inf=1696 bank_m=786 -> resolve VALID mass=821 (dv2 1201) <<WIN +35 [19078s]
[E-758] DONE 18/30 wins, +940 kg [19078s]. LEVER REAL -> v_inf was a basin miss; scale fleet
