[E-758] re-solve v_inf-rank [72,102) transfers, restarts=8 (free TOF 2.2-52d)
  (E=59,L=124,D=18) v_inf=1696 bank_m=683 -> resolve VALID mass=832 (dv2 904) <<WIN +149 [579s]
  (E=93,L=303,D=386) v_inf=1695 bank_m=784 -> resolve VALID mass=857 (dv2 959) <<WIN +73 [1236s]
  (E=331,L=359,D=310) v_inf=1694 bank_m=762 -> resolve INVALID [1832s]
  (E=327,L=18,D=268) v_inf=1694 bank_m=730 -> resolve VALID mass=752 (dv2 1177) <<WIN +22 [2565s]
  (E=233,L=40,D=192) v_inf=1692 bank_m=789 -> resolve VALID mass=839 (dv2 1160) <<WIN +51 [3036s]
  (E=156,L=83,D=341) v_inf=1692 bank_m=690 -> resolve VALID mass=688 (dv2 1110)  [3823s]
  (E=338,L=10,D=12) v_inf=1691 bank_m=740 -> resolve VALID mass=748 (dv2 1220) <<WIN +8 [4304s]
  (E=236,L=115,D=193) v_inf=1688 bank_m=784 -> resolve VALID mass=695 (dv2 1385)  [4817s]
  (E=82,L=46,D=64) v_inf=1688 bank_m=783 -> resolve VALID mass=790 (dv2 1217) <<WIN +7 [5776s]
  (E=73,L=358,D=375) v_inf=1687 bank_m=686 -> resolve VALID mass=686 (dv2 1257)  [6324s]
  (E=158,L=371,D=138) v_inf=1685 bank_m=726 -> resolve INVALID [6998s]
  (E=147,L=97,D=129) v_inf=1683 bank_m=808 -> resolve VALID mass=992 (dv2 902) <<WIN +183 [7528s]
  (E=376,L=119,D=289) v_inf=1683 bank_m=733 -> resolve VALID mass=100 (dv2 977)  [8064s]
  (E=340,L=315,D=312) v_inf=1680 bank_m=742 -> resolve VALID mass=683 (dv2 1336)  [8814s]
  (E=137,L=382,D=356) v_inf=1678 bank_m=736 -> resolve VALID mass=796 (dv2 1121) <<WIN +59 [9445s]
  (E=191,L=102,D=164) v_inf=1671 bank_m=774 -> resolve VALID mass=925 (dv2 928) <<WIN +151 [10040s]
  (E=95,L=136,D=87) v_inf=1669 bank_m=794 -> resolve VALID mass=809 (dv2 1193) <<WIN +14 [10611s]
  (E=229,L=34,D=189) v_inf=1669 bank_m=832 -> resolve VALID mass=887 (dv2 905) <<WIN +54 [11200s]
  (E=148,L=38,D=130) v_inf=1669 bank_m=776 -> resolve INVALID [11735s]
  (E=320,L=326,D=297) v_inf=1668 bank_m=703 -> resolve VALID mass=498 (dv2 1440)  [12261s]
  (E=363,L=349,D=319) v_inf=1668 bank_m=760 -> resolve VALID mass=768 (dv2 1164) <<WIN +8 [12972s]
  (E=378,L=87,D=291) v_inf=1668 bank_m=757 -> resolve INVALID [13695s]
  (E=84,L=126,D=73) v_inf=1667 bank_m=811 -> resolve VALID mass=863 (dv2 1120) <<WIN +51 [14340s]
  (E=216,L=129,D=8) v_inf=1664 bank_m=829 -> resolve VALID mass=838 (dv2 1195) <<WIN +9 [14956s]
  (E=359,L=28,D=385) v_inf=1662 bank_m=726 -> resolve VALID mass=715 (dv2 1256)  [15545s]
  (E=358,L=1,D=281) v_inf=1659 bank_m=750 -> resolve INVALID [16101s]
  (E=364,L=397,D=364) v_inf=1657 bank_m=673 -> resolve VALID mass=673 (dv2 1126)  [16628s]
  (E=202,L=346,D=185) v_inf=1657 bank_m=788 -> resolve VALID mass=794 (dv2 1164) <<WIN +7 [17318s]
  (E=105,L=313,D=342) v_inf=1655 bank_m=799 -> resolve INVALID [17822s]
  (E=160,L=310,D=147) v_inf=1654 bank_m=823 -> resolve VALID mass=834 (dv2 1154) <<WIN +11 [18463s]
[E-758] DONE 16/30 wins, +859 kg [18463s]. LEVER REAL -> v_inf was a basin miss; scale fleet
