[E-758] re-solve v_inf-rank [102,132) transfers, restarts=8 (free TOF 2.2-52d)
  (E=305,L=73,D=36) v_inf=1628 bank_m=724 -> resolve VALID mass=708 (dv2 1233)  [524s]
  (E=160,L=310,D=147) v_inf=1628 bank_m=834 -> resolve VALID mass=850 (dv2 1111) <<WIN +16 [1159s]
  (E=41,L=337,D=43) v_inf=1627 bank_m=841 -> resolve VALID mass=847 (dv2 1125) <<WIN +6 [1927s]
  (E=199,L=77,D=168) v_inf=1625 bank_m=775 -> resolve INVALID [2414s]
  (E=257,L=2,D=3) v_inf=1624 bank_m=734 -> resolve VALID mass=721 (dv2 1218)  [3042s]
  (E=323,L=57,D=29) v_inf=1623 bank_m=766 -> resolve VALID mass=771 (dv2 1179)  [3593s]
  (E=388,L=125,D=94) v_inf=1622 bank_m=763 -> resolve VALID mass=870 (dv2 964) <<WIN +107 [4326s]
  (E=384,L=58,D=95) v_inf=1621 bank_m=750 -> resolve VALID mass=744 (dv2 1229)  [4864s]
  (E=174,L=8,D=151) v_inf=1619 bank_m=796 -> resolve VALID mass=791 (dv2 1205)  [5328s]
  (E=273,L=61,D=225) v_inf=1617 bank_m=1541 -> resolve VALID mass=1894 (dv2 1043) <<WIN +353 [5923s]
  (E=119,L=109,D=105) v_inf=1617 bank_m=808 -> resolve VALID mass=802 (dv2 1190)  [6434s]
  (E=80,L=362,D=79) v_inf=1616 bank_m=821 -> resolve VALID mass=810 (dv2 1145)  [7353s]
  (E=215,L=324,D=226) v_inf=1616 bank_m=825 -> resolve INVALID [8002s]
  (E=195,L=84,D=169) v_inf=1616 bank_m=739 -> resolve VALID mass=760 (dv2 1134) <<WIN +21 [8734s]
  (E=78,L=24,D=71) v_inf=1616 bank_m=810 -> resolve VALID mass=951 (dv2 943) <<WIN +142 [9347s]
  (E=165,L=88,D=22) v_inf=1616 bank_m=756 -> resolve VALID mass=711 (dv2 1196)  [9852s]
  (E=120,L=13,D=384) v_inf=1614 bank_m=736 -> resolve INVALID [10432s]
  (E=367,L=381,D=368) v_inf=1614 bank_m=741 -> resolve VALID mass=713 (dv2 1168)  [11118s]
  (E=337,L=177,D=273) v_inf=1613 bank_m=771 -> resolve VALID mass=757 (dv2 1217)  [11783s]
  (E=183,L=112,D=157) v_inf=1613 bank_m=797 -> resolve VALID mass=966 (dv2 895) <<WIN +169 [12412s]
  (E=241,L=50,D=195) v_inf=1611 bank_m=709 -> resolve VALID mass=697 (dv2 1210)  [13047s]
  (E=351,L=390,D=317) v_inf=1611 bank_m=782 -> resolve INVALID [13387s]
  (E=226,L=66,D=188) v_inf=1610 bank_m=779 -> resolve INVALID [14243s]
  (E=346,L=332,D=316) v_inf=1610 bank_m=777 -> resolve VALID mass=775 (dv2 1145)  [14993s]
  (E=97,L=81,D=89) v_inf=1608 bank_m=799 -> resolve VALID mass=817 (dv2 1147) <<WIN +18 [15600s]
  (E=168,L=350,D=148) v_inf=1608 bank_m=811 -> resolve VALID mass=861 (dv2 1098) <<WIN +50 [16184s]
  (E=40,L=21,D=40) v_inf=1607 bank_m=840 -> resolve VALID mass=852 (dv2 1154) <<WIN +12 [16752s]
  (E=3,L=340,D=389) v_inf=1607 bank_m=853 -> resolve VALID mass=868 (dv2 1117) <<WIN +16 [17376s]
  (E=322,L=93,D=17) v_inf=1607 bank_m=730 -> resolve VALID mass=722 (dv2 1196)  [17882s]
  (E=209,L=23,D=367) v_inf=1605 bank_m=656 -> resolve VALID mass=656 (dv2 1267)  [18363s]
[E-758] DONE 11/30 wins, +909 kg [18363s]. LEVER REAL -> v_inf was a basin miss; scale fleet
