[E-758] re-solve v_inf-rank [132,162) transfers, restarts=8 (free TOF 2.2-52d)
  (E=327,L=18,D=268) v_inf=1602 bank_m=752 -> resolve VALID mass=777 (dv2 1122) <<WIN +25 [542s]
  (E=87,L=107,D=80) v_inf=1602 bank_m=816 -> resolve VALID mass=807 (dv2 1194)  [1271s]
  (E=258,L=80,D=208) v_inf=1602 bank_m=817 -> resolve VALID mass=790 (dv2 1202)  [1919s]
  (E=33,L=323,D=35) v_inf=1601 bank_m=750 -> resolve VALID mass=742 (dv2 1149)  [2628s]
  (E=55,L=33,D=50) v_inf=1600 bank_m=825 -> resolve VALID mass=824 (dv2 1175)  [3317s]
  (E=398,L=56,D=355) v_inf=1597 bank_m=765 -> resolve VALID mass=592 (dv2 926)  [3911s]
  (E=53,L=134,D=5) v_inf=1596 bank_m=703 -> resolve INVALID [4400s]
  (E=198,L=339,D=178) v_inf=1595 bank_m=843 -> resolve VALID mass=858 (dv2 1106) <<WIN +14 [5285s]
  (E=308,L=319,D=288) v_inf=1595 bank_m=792 -> resolve VALID mass=851 (dv2 1063) <<WIN +59 [5833s]
  (E=336,L=94,D=182) v_inf=1588 bank_m=728 -> resolve VALID mass=717 (dv2 1202)  [6331s]
  (E=98,L=307,D=315) v_inf=1586 bank_m=546 -> resolve VALID mass=546 (dv2 1162)  [7074s]
  (E=222,L=20,D=187) v_inf=1586 bank_m=816 -> resolve INVALID [7668s]
  (E=173,L=116,D=399) v_inf=1582 bank_m=711 -> resolve VALID mass=738 (dv2 1145) <<WIN +27 [8311s]
  (E=207,L=304,D=214) v_inf=1580 bank_m=858 -> resolve VALID mass=859 (dv2 1126)  [9208s]
  (E=137,L=382,D=356) v_inf=1579 bank_m=796 -> resolve VALID mass=902 (dv2 856) <<WIN +107 [9919s]
  (E=233,L=40,D=192) v_inf=1579 bank_m=839 -> resolve VALID mass=977 (dv2 886) <<WIN +138 [10436s]
  (E=139,L=31,D=241) v_inf=1578 bank_m=739 -> resolve INVALID [11071s]
  (E=2,L=168,D=51) v_inf=1576 bank_m=754 -> resolve VALID mass=664 (dv2 1385)  [11786s]
  (E=37,L=79,D=387) v_inf=1575 bank_m=672 -> resolve VALID mass=672 (dv2 1179)  [12267s]
  (E=214,L=344,D=218) v_inf=1574 bank_m=852 -> resolve VALID mass=856 (dv2 1105)  [13096s]
  (E=103,L=320,D=96) v_inf=1574 bank_m=863 -> resolve INVALID [13734s]
  (E=247,L=231,D=200) v_inf=1573 bank_m=820 -> resolve VALID mass=960 (dv2 912) <<WIN +140 [14385s]
  (E=324,L=328,D=301) v_inf=1572 bank_m=791 -> resolve VALID mass=646 (dv2 1473)  [15183s]
  (E=230,L=191,D=196) v_inf=1567 bank_m=2214 -> resolve VALID mass=2216 (dv2 1148)  [16277s]
  (E=166,L=128,D=143) v_inf=1563 bank_m=865 -> resolve VALID mass=853 (dv2 1129)  [16839s]
  (E=354,L=305,D=318) v_inf=1563 bank_m=740 -> resolve INVALID [20211s]
  (E=12,L=366,D=15) v_inf=1563 bank_m=806 -> resolve VALID mass=818 (dv2 1097) <<WIN +12 [21118s]
  (E=374,L=316,D=326) v_inf=1562 bank_m=773 -> resolve VALID mass=761 (dv2 1149)  [21813s]
  (E=162,L=194,D=141) v_inf=1558 bank_m=706 -> resolve VALID mass=653 (dv2 1347)  [22336s]
  (E=169,L=253,D=145) v_inf=1557 bank_m=759 -> resolve VALID mass=789 (dv2 1011) <<WIN +30 [23078s]
[E-758] DONE 9/30 wins, +551 kg [23078s]. LEVER REAL -> v_inf was a basin miss; scale fleet
