[E-758] re-solve v_inf-rank [162,192) transfers, restarts=8 (free TOF 2.2-52d)
  (E=362,L=71,D=285) v_inf=1553 bank_m=762 -> resolve VALID mass=721 (dv2 1254)  [690s]
  (E=369,L=399,D=322) v_inf=1551 bank_m=764 -> resolve VALID mass=709 (dv2 1237)  [1305s]
  (E=5,L=192,D=4) v_inf=1551 bank_m=851 -> resolve VALID mass=861 (dv2 1117) <<WIN +10 [1807s]
  (E=373,L=345,D=325) v_inf=1548 bank_m=799 -> resolve VALID mass=778 (dv2 1153)  [2543s]
  (E=307,L=78,D=280) v_inf=1548 bank_m=775 -> resolve VALID mass=801 (dv2 1099) <<WIN +27 [3234s]
  (E=128,L=95,D=252) v_inf=1548 bank_m=722 -> resolve VALID mass=698 (dv2 1206)  [3848s]
  (E=122,L=333,D=107) v_inf=1545 bank_m=829 -> resolve VALID mass=770 (dv2 1236)  [4512s]
  (E=256,L=335,D=320) v_inf=1545 bank_m=818 -> resolve VALID mass=756 (dv2 1217)  [5099s]
  (E=309,L=122,D=260) v_inf=1544 bank_m=762 -> resolve VALID mass=756 (dv2 1139)  [5586s]
  (E=203,L=336,D=212) v_inf=1543 bank_m=853 -> resolve VALID mass=838 (dv2 1143)  [6373s]
  (E=72,L=338,D=78) v_inf=1543 bank_m=763 -> resolve VALID mass=743 (dv2 1139)  [6932s]
  (E=141,L=367,D=131) v_inf=1542 bank_m=851 -> resolve INVALID [7739s]
  (E=244,L=105,D=197) v_inf=1542 bank_m=723 -> resolve VALID mass=711 (dv2 1173)  [8389s]
  (E=213,L=19,D=180) v_inf=1541 bank_m=743 -> resolve VALID mass=715 (dv2 1215)  [8997s]
  (E=167,L=300,D=345) v_inf=1540 bank_m=863 -> resolve INVALID [9770s]
  (E=71,L=384,D=75) v_inf=1539 bank_m=761 -> resolve VALID mass=724 (dv2 1190)  [10339s]
  (E=79,L=76,D=72) v_inf=1538 bank_m=868 -> resolve VALID mass=834 (dv2 1254)  [10896s]
  (E=301,L=32,D=295) v_inf=1538 bank_m=764 -> resolve VALID mass=942 (dv2 821) <<WIN +178 [11710s]
  (E=32,L=3,D=32) v_inf=1537 bank_m=801 -> resolve VALID mass=800 (dv2 1145)  [12424s]
  (E=45,L=139,D=42) v_inf=1536 bank_m=774 -> resolve VALID mass=746 (dv2 1153)  [12983s]
  (E=175,L=361,D=155) v_inf=1535 bank_m=779 -> resolve VALID mass=772 (dv2 1104)  [13413s]
  (E=353,L=140,D=279) v_inf=1531 bank_m=769 -> resolve VALID mass=749 (dv2 1158)  [14235s]
  (E=200,L=120,D=170) v_inf=1530 bank_m=744 -> resolve VALID mass=734 (dv2 1154)  [14780s]
  (E=385,L=43,D=296) v_inf=1530 bank_m=728 -> resolve VALID mass=709 (dv2 1230)  [15211s]
  (E=391,L=388,D=330) v_inf=1529 bank_m=786 -> resolve VALID mass=677 (dv2 802)  [15888s]
  (E=50,L=51,D=47) v_inf=1529 bank_m=764 -> resolve VALID mass=772 (dv2 1123) <<WIN +8 [16587s]
  (E=74,L=308,D=10) v_inf=1527 bank_m=748 -> resolve INVALID [16978s]
  (E=344,L=52,D=16) v_inf=1522 bank_m=734 -> resolve VALID mass=700 (dv2 1211)  [17675s]
  (E=180,L=27,D=156) v_inf=1520 bank_m=869 -> resolve VALID mass=864 (dv2 1143)  [18328s]
  (E=389,L=142,D=298) v_inf=1520 bank_m=778 -> resolve VALID mass=767 (dv2 1187)  [19238s]
[E-758] DONE 4/30 wins, +222 kg [19238s]. LEVER REAL -> v_inf was a basin miss; scale fleet
