[E-758] re-solve v_inf-rank [192,222) transfers, restarts=8 (free TOF 2.2-52d)
  (E=132,L=135,D=0) v_inf=1510 bank_m=862 -> resolve VALID mass=792 (dv2 1222)  [734s]
  (E=318,L=348,D=378) v_inf=1510 bank_m=806 -> resolve VALID mass=920 (dv2 822) <<WIN +114 [1213s]
  (E=327,L=18,D=268) v_inf=1506 bank_m=777 -> resolve VALID mass=745 (dv2 1192)  [1915s]
  (E=27,L=17,D=30) v_inf=1504 bank_m=720 -> resolve INVALID [2294s]
  (E=304,L=318,D=376) v_inf=1503 bank_m=825 -> resolve VALID mass=732 (dv2 1237)  [2897s]
  (E=90,L=117,D=83) v_inf=1501 bank_m=829 -> resolve INVALID [3180s]
  (E=84,L=126,D=73) v_inf=1501 bank_m=863 -> resolve VALID mass=966 (dv2 935) <<WIN +103 [3784s]
  (E=5,L=192,D=4) v_inf=1497 bank_m=861 -> resolve VALID mass=721 (dv2 1460)  [4397s]
  (E=311,L=121,D=261) v_inf=1496 bank_m=773 -> resolve VALID mass=889 (dv2 886) <<WIN +115 [5055s]
  (E=308,L=319,D=288) v_inf=1492 bank_m=851 -> resolve VALID mass=791 (dv2 1133)  [5551s]
  (E=117,L=12,D=183) v_inf=1491 bank_m=856 -> resolve INVALID [6074s]
  (E=135,L=123,D=174) v_inf=1488 bank_m=844 -> resolve VALID mass=789 (dv2 1221)  [6706s]
  (E=112,L=103,D=175) v_inf=1479 bank_m=819 -> resolve VALID mass=853 (dv2 1161) <<WIN +34 [7352s]
