[E-758] re-solve v_inf-rank [252,282) transfers, restarts=8 (free TOF 2.2-52d)
  (E=396,L=225,D=352) v_inf=1204 bank_m=794 -> resolve VALID mass=700 (dv2 1238)  [633s]
  (E=255,L=190,D=207) v_inf=1203 bank_m=902 -> resolve INVALID [1330s]
  (E=25,L=158,D=113) v_inf=1186 bank_m=849 -> resolve INVALID [1980s]
  (E=26,L=198,D=26) v_inf=1185 bank_m=883 -> resolve VALID mass=901 (dv2 925) <<WIN +18 [2622s]
  (E=252,L=354,D=300) v_inf=1181 bank_m=904 -> resolve VALID mass=778 (dv2 1220)  [3335s]
  (E=370,L=341,D=383) v_inf=1166 bank_m=875 -> resolve VALID mass=699 (dv2 1227)  [4008s]
  (E=335,L=26,D=270) v_inf=1165 bank_m=878 -> resolve VALID mass=736 (dv2 1251)  [4600s]
  (E=157,L=365,D=391) v_inf=1157 bank_m=886 -> resolve VALID mass=746 (dv2 1143)  [5094s]
  (E=78,L=24,D=71) v_inf=1147 bank_m=951 -> resolve VALID mass=905 (dv2 925)  [5713s]
  (E=298,L=299,D=254) v_inf=1146 bank_m=1665 -> resolve VALID mass=2057 (dv2 1303) <<WIN +392 [7770s]
  (E=231,L=210,D=191) v_inf=1142 bank_m=923 -> resolve INVALID [8168s]
  (E=143,L=35,D=250) v_inf=1142 bank_m=924 -> resolve INVALID [8774s]
  (E=137,L=382,D=356) v_inf=1138 bank_m=902 -> resolve VALID mass=738 (dv2 1171)  [9356s]
  (E=292,L=249,D=251) v_inf=1131 bank_m=1104 -> resolve VALID mass=1466 (dv2 1254) <<WIN +362 [10244s]
  (E=194,L=213,D=167) v_inf=1129 bank_m=906 -> resolve VALID mass=959 (dv2 880) <<WIN +53 [11098s]
  (E=399,L=395,D=371) v_inf=1128 bank_m=897 -> resolve VALID mass=800 (dv2 1055)  [11708s]
