error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-726b] loaded 58555 precomputed faithful edges
[E-726e-e] it0: NEW best depth 151/601 makespan 117.2d (d/leg 0.781) [0s]
[E-726e-e] it16: NEW best depth 153/601 makespan 125.6d (d/leg 0.826) [0s]
[E-726e-e] it23: NEW best depth 165/601 makespan 191.1d (d/leg 1.165) [1s]
[E-726e-e] it36: NEW best depth 176/601 makespan 212.0d (d/leg 1.212) [1s]
[E-726e-e] it1859: NEW best depth 178/601 makespan 220.8d (d/leg 1.247) [38s]
[E-726e-e] it2000: best_depth 178 [41s]
[E-726e-e] it2479: NEW best depth 178/601 makespan 216.0d (d/leg 1.220) [51s]
[E-726e-e] it4000: best_depth 178 [82s]
[E-726e-e] it4906: NEW best depth 179/601 makespan 211.7d (d/leg 1.189) [100s]
[E-726e-e] it6000: best_depth 179 [122s]
[E-726e-e] it8000: best_depth 179 [163s]
[E-726e-e] it10000: best_depth 179 [203s]
[E-726e-e] it11363: NEW best depth 191/601 makespan 200.5d (d/leg 1.055) [230s]
[E-726e-e] it12000: best_depth 191 [243s]
[E-726e-e] it14000: best_depth 191 [284s]
[E-726e-e] it16000: best_depth 191 [324s]
[E-726e-e] it18000: best_depth 191 [364s]
[E-726e-e] it20000: best_depth 191 [404s]
[E-726e-e] it22000: best_depth 191 [444s]
[E-726e-e] it24000: best_depth 191 [485s]
[E-726e-e] it26000: best_depth 191 [525s]
[E-726e-e] it28000: best_depth 191 [565s]
[E-726e-e] it29547: NEW best depth 199/601 makespan 152.2d (d/leg 0.768) [596s]
[E-726e-e] it30000: best_depth 199 [605s]
[E-726e-e] it32000: best_depth 199 [645s]
[E-726e-e] it34000: best_depth 199 [685s]
[E-726e-e] it36000: best_depth 199 [725s]
[E-726e-e] it38000: best_depth 199 [765s]
[E-726e-e] it40000: best_depth 199 [805s]
[E-726e-e] it42000: best_depth 199 [845s]
[E-726e-e] it44000: best_depth 199 [886s]
[E-726e-e] it46000: best_depth 199 [926s]
[E-726e-e] it48000: best_depth 199 [967s]
[E-726e-e] it50000: best_depth 199 [1007s]
[E-726e-e] it52000: best_depth 199 [1047s]
[E-726e-e] it54000: best_depth 199 [1087s]
[E-726e-e] it56000: best_depth 199 [1127s]
[E-726e-e] it58000: best_depth 199 [1167s]
[E-726e-e] it60000: best_depth 199 [1207s]
[E-726e-e] it62000: best_depth 199 [1247s]
[E-726e-e] it64000: best_depth 199 [1287s]
[E-726e-e] it66000: best_depth 199 [1328s]
[E-726e-e] it68000: best_depth 199 [1369s]
[E-726e-e] it70000: best_depth 199 [1409s]
[E-726e-e] it72000: best_depth 199 [1450s]
[E-726e-e] it74000: best_depth 199 [1491s]
[E-726e-e] it76000: best_depth 199 [1531s]
[E-726e-e] it78000: best_depth 199 [1571s]
[E-726e-e] it80000: best_depth 199 [1612s]
[E-726e-e] it82000: best_depth 199 [1653s]
[E-726e-e] it84000: best_depth 199 [1692s]
[E-726e-e] it86000: best_depth 199 [1733s]
[E-726e-e] it88000: best_depth 199 [1774s]
[E-726e-e] it90000: best_depth 199 [1814s]
[E-726e-e] it92000: best_depth 199 [1855s]
[E-726e-e] it94000: best_depth 199 [1896s]
[E-726e-e] it96000: best_depth 199 [1938s]
[E-726e-e] it98000: best_depth 199 [1979s]
[E-726e-e] it100000: best_depth 199 [2019s]
[E-726e-e] it102000: best_depth 199 [2058s]
[E-726e-e] it104000: best_depth 199 [2097s]
[E-726e-e] it106000: best_depth 199 [2136s]
[E-726e-e] it108000: best_depth 199 [2176s]
[E-726e-e] it110000: best_depth 199 [2216s]
[E-726e-e] it112000: best_depth 199 [2256s]
[E-726e-e] it114000: best_depth 199 [2295s]
[E-726e-e] it116000: best_depth 199 [2335s]
[E-726e-e] it118000: best_depth 199 [2374s]
[E-726e-e] it120000: best_depth 199 [2413s]
[E-726e-e] it122000: best_depth 199 [2453s]
[E-726e-e] it124000: best_depth 199 [2494s]
[E-726e-e] it126000: best_depth 199 [2533s]
[E-726e-e] it128000: best_depth 199 [2572s]
[E-726e-e] it130000: best_depth 199 [2612s]
[E-726e-e] it132000: best_depth 199 [2651s]
[E-726e-e] it134000: best_depth 199 [2691s]
[E-726e-e] it136000: best_depth 199 [2730s]
[E-726e-e] it138000: best_depth 199 [2770s]
[E-726e-e] it140000: best_depth 199 [2810s]
[E-726e-e] it142000: best_depth 199 [2850s]
[E-726e-e] it144000: best_depth 199 [2890s]
[E-726e-e] it146000: best_depth 199 [2930s]
[E-726e-e] it148000: best_depth 199 [2969s]
[E-726e-e] it150000: best_depth 199 [3008s]
[E-726e-e] it152000: best_depth 199 [3048s]
[E-726e-e] it154000: best_depth 199 [3088s]
[E-726e-e] it156000: best_depth 199 [3127s]
[E-726e-e] it158000: best_depth 199 [3167s]
[E-726e-e] it160000: best_depth 199 [3207s]
[E-726e-e] it162000: best_depth 199 [3247s]
[E-726e-e] it164000: best_depth 199 [3287s]
[E-726e-e] it166000: best_depth 199 [3326s]
[E-726e-e] it168000: best_depth 199 [3365s]
[E-726e-e] it170000: best_depth 199 [3405s]
[E-726e-e] it172000: best_depth 199 [3445s]
[E-726e-e] it174000: best_depth 199 [3485s]
[E-726e-e] it176000: best_depth 199 [3524s]
[E-726e-e] it178000: best_depth 199 [3564s]
[E-726e-e] it180000: best_depth 199 [3604s]
[E-726e-e] it182000: best_depth 199 [3644s]
[E-726e-e] it184000: best_depth 199 [3683s]
[E-726e-e] it186000: best_depth 199 [3723s]
[E-726e-e] it188000: best_depth 199 [3763s]
[E-726e-e] it190000: best_depth 199 [3802s]
[E-726e-e] it192000: best_depth 199 [3842s]
[E-726e-e] it194000: best_depth 199 [3882s]
[E-726e-e] it196000: best_depth 199 [3922s]
[E-726e-e] it198000: best_depth 199 [3963s]
[E-726e-e] it200000: best_depth 199 [4003s]
[E-726e-e] it202000: best_depth 199 [4047s]
[E-726e-e] it203363: NEW best depth 223/601 makespan 267.0d (d/leg 1.203) [4077s]
[E-726e-e] it204000: best_depth 223 [4091s]
[E-726e-e] it206000: best_depth 223 [4133s]
[E-726e-e] it208000: best_depth 223 [4175s]
[E-726e-e] it210000: best_depth 223 [4218s]
[E-726e-e] it212000: best_depth 223 [4260s]
[E-726e-e] it214000: best_depth 223 [4303s]
[E-726e-e] it216000: best_depth 223 [4345s]
[E-726e-e] it218000: best_depth 223 [4388s]
[E-726e-e] it220000: best_depth 223 [4430s]
[E-726e-e] it222000: best_depth 223 [4473s]
[E-726e-e] it224000: best_depth 223 [4514s]
[E-726e-e] it226000: best_depth 223 [4557s]
[E-726e-e] it228000: best_depth 223 [4598s]
[E-726e-e] it230000: best_depth 223 [4642s]
[E-726e-e] it232000: best_depth 223 [4684s]
[E-726e-e] it234000: best_depth 223 [4726s]
[E-726e-e] it236000: best_depth 223 [4769s]
[E-726e-e] it238000: best_depth 223 [4812s]
[E-726e-e] it240000: best_depth 223 [4854s]
[E-726e-e] it242000: best_depth 223 [4897s]
[E-726e-e] it244000: best_depth 223 [4939s]
[E-726e-e] it246000: best_depth 223 [4982s]
[E-726e-e] it248000: best_depth 223 [5024s]
[E-726e-e] it250000: best_depth 223 [5065s]
[E-726e-e] it252000: best_depth 223 [5107s]
[E-726e-e] it254000: best_depth 223 [5149s]
[E-726e-e] it256000: best_depth 223 [5192s]
[E-726e-e] it258000: best_depth 223 [5235s]
[E-726e-e] it260000: best_depth 223 [5277s]
[E-726e-e] it262000: best_depth 223 [5319s]
[E-726e-e] it264000: best_depth 223 [5362s]
[E-726e-e] it266000: best_depth 223 [5404s]
[E-726e-e] it268000: best_depth 223 [5447s]
[E-726e-e] it270000: best_depth 223 [5490s]
[E-726e-e] it272000: best_depth 223 [5532s]
[E-726e-e] it274000: best_depth 223 [5575s]
[E-726e-e] it276000: best_depth 223 [5618s]
[E-726e-e] it278000: best_depth 223 [5661s]
[E-726e-e] it280000: best_depth 223 [5704s]
[E-726e-e] it282000: best_depth 223 [5746s]
[E-726e-e] it284000: best_depth 223 [5788s]
[E-726e-e] it286000: best_depth 223 [5831s]
[E-726e-e] it288000: best_depth 223 [5874s]
[E-726e-e] it290000: best_depth 223 [5916s]
[E-726e-e] it292000: best_depth 223 [5958s]
[E-726e-e] it294000: best_depth 223 [6000s]
[E-726e-e] it296000: best_depth 223 [6042s]
[E-726e-e] it298000: best_depth 223 [6085s]
[E-726e-e] it300000: best_depth 223 [6127s]
[E-726e-e] it302000: best_depth 223 [6169s]
[E-726e-e] it304000: best_depth 223 [6211s]
[E-726e-e] it306000: best_depth 223 [6254s]
[E-726e-e] it308000: best_depth 223 [6296s]
