error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-726b] loaded 58555 precomputed faithful edges
[E-726e-f] it0: NEW best depth 133/601 makespan 102.5d (d/leg 0.777) [0s]
[E-726e-f] it2: NEW best depth 142/601 makespan 111.8d (d/leg 0.793) [0s]
[E-726e-f] it3: NEW best depth 158/601 makespan 126.0d (d/leg 0.803) [0s]
[E-726e-f] it5: NEW best depth 159/601 makespan 137.3d (d/leg 0.869) [0s]
[E-726e-f] it14: NEW best depth 161/601 makespan 193.0d (d/leg 1.206) [0s]
[E-726e-f] it53: NEW best depth 162/601 makespan 244.3d (d/leg 1.518) [0s]
[E-726e-f] it76: NEW best depth 165/601 makespan 139.3d (d/leg 0.849) [0s]
[E-726e-f] it645: NEW best depth 167/601 makespan 249.8d (d/leg 1.505) [4s]
[E-726e-f] it2000: best_depth 167 [12s]
[E-726e-f] it4000: best_depth 167 [24s]
[E-726e-f] it6000: best_depth 167 [36s]
[E-726e-f] it8000: best_depth 167 [48s]
[E-726e-f] it10000: best_depth 167 [60s]
[E-726e-f] it12000: best_depth 167 [71s]
[E-726e-f] it14000: best_depth 167 [82s]
[E-726e-f] it16000: best_depth 167 [94s]
[E-726e-f] it18000: best_depth 167 [105s]
[E-726e-f] it20000: best_depth 167 [116s]
[E-726e-f] it22000: best_depth 167 [127s]
[E-726e-f] it24000: best_depth 167 [139s]
[E-726e-f] it26000: best_depth 167 [150s]
[E-726e-f] it28000: best_depth 167 [161s]
[E-726e-f] it30000: best_depth 167 [172s]
[E-726e-f] it32000: best_depth 167 [183s]
[E-726e-f] it34000: best_depth 167 [195s]
[E-726e-f] it36000: best_depth 167 [206s]
[E-726e-f] it38000: best_depth 167 [217s]
[E-726e-f] it40000: best_depth 167 [228s]
[E-726e-f] it42000: best_depth 167 [240s]
[E-726e-f] it44000: best_depth 167 [251s]
[E-726e-f] it46000: best_depth 167 [262s]
[E-726e-f] it48000: best_depth 167 [273s]
[E-726e-f] it50000: best_depth 167 [285s]
[E-726e-f] it52000: best_depth 167 [296s]
[E-726e-f] it54000: best_depth 167 [307s]
[E-726e-f] it56000: best_depth 167 [318s]
[E-726e-f] it58000: best_depth 167 [330s]
[E-726e-f] it60000: best_depth 167 [341s]
[E-726e-f] it62000: best_depth 167 [352s]
[E-726e-f] it64000: best_depth 167 [364s]
[E-726e-f] it66000: best_depth 167 [375s]
[E-726e-f] it68000: best_depth 167 [386s]
[E-726e-f] it70000: best_depth 167 [398s]
[E-726e-f] it72000: best_depth 167 [409s]
[E-726e-f] it74000: best_depth 167 [420s]
[E-726e-f] it76000: best_depth 167 [432s]
[E-726e-f] it78000: best_depth 167 [443s]
[E-726e-f] it80000: best_depth 167 [454s]
[E-726e-f] it82000: best_depth 167 [466s]
[E-726e-f] it84000: best_depth 167 [477s]
[E-726e-f] it86000: best_depth 167 [489s]
[E-726e-f] it88000: best_depth 167 [500s]
[E-726e-f] it90000: best_depth 167 [511s]
[E-726e-f] it92000: best_depth 167 [522s]
[E-726e-f] it94000: best_depth 167 [533s]
[E-726e-f] it96000: best_depth 167 [544s]
[E-726e-f] it98000: best_depth 167 [556s]
[E-726e-f] it100000: best_depth 167 [567s]
[E-726e-f] it102000: best_depth 167 [578s]
[E-726e-f] it104000: best_depth 167 [590s]
[E-726e-f] it106000: best_depth 167 [601s]
[E-726e-f] it108000: best_depth 167 [612s]
[E-726e-f] it110000: best_depth 167 [623s]
[E-726e-f] it112000: best_depth 167 [635s]
[E-726e-f] it114000: best_depth 167 [646s]
[E-726e-f] it116000: best_depth 167 [657s]
[E-726e-f] it118000: best_depth 167 [668s]
[E-726e-f] it120000: best_depth 167 [680s]
[E-726e-f] it122000: best_depth 167 [691s]
[E-726e-f] it124000: best_depth 167 [702s]
[E-726e-f] it126000: best_depth 167 [713s]
[E-726e-f] it128000: best_depth 167 [725s]
[E-726e-f] it130000: best_depth 167 [736s]
[E-726e-f] it132000: best_depth 167 [747s]
[E-726e-f] it134000: best_depth 167 [759s]
[E-726e-f] it136000: best_depth 167 [770s]
[E-726e-f] it138000: best_depth 167 [781s]
[E-726e-f] it140000: best_depth 167 [793s]
[E-726e-f] it142000: best_depth 167 [804s]
[E-726e-f] it144000: best_depth 167 [815s]
[E-726e-f] it146000: best_depth 167 [826s]
[E-726e-f] it148000: best_depth 167 [838s]
[E-726e-f] it150000: best_depth 167 [849s]
[E-726e-f] it152000: best_depth 167 [860s]
[E-726e-f] it154000: best_depth 167 [871s]
[E-726e-f] it156000: best_depth 167 [883s]
[E-726e-f] it158000: best_depth 167 [894s]
[E-726e-f] it160000: best_depth 167 [905s]
[E-726e-f] it162000: best_depth 167 [916s]
[E-726e-f] it164000: best_depth 167 [927s]
[E-726e-f] it166000: best_depth 167 [939s]
[E-726e-f] it168000: best_depth 167 [950s]
[E-726e-f] it170000: best_depth 167 [961s]
[E-726e-f] it172000: best_depth 167 [972s]
[E-726e-f] it174000: best_depth 167 [984s]
[E-726e-f] it176000: best_depth 167 [995s]
[E-726e-f] it178000: best_depth 167 [1006s]
[E-726e-f] it180000: best_depth 167 [1018s]
[E-726e-f] it182000: best_depth 167 [1029s]
[E-726e-f] it184000: best_depth 167 [1040s]
[E-726e-f] it186000: best_depth 167 [1052s]
[E-726e-f] it188000: best_depth 167 [1063s]
[E-726e-f] it190000: best_depth 167 [1074s]
[E-726e-f] it192000: best_depth 167 [1085s]
[E-726e-f] it194000: best_depth 167 [1096s]
[E-726e-f] it196000: best_depth 167 [1107s]
[E-726e-f] it198000: best_depth 167 [1119s]
[E-726e-f] it200000: best_depth 167 [1130s]
[E-726e-f] it202000: best_depth 167 [1141s]
[E-726e-f] it204000: best_depth 167 [1152s]
[E-726e-f] it206000: best_depth 167 [1164s]
[E-726e-f] it208000: best_depth 167 [1175s]
[E-726e-f] it210000: best_depth 167 [1186s]
[E-726e-f] it212000: best_depth 167 [1198s]
[E-726e-f] it214000: best_depth 167 [1209s]
[E-726e-f] it216000: best_depth 167 [1221s]
[E-726e-f] it218000: best_depth 167 [1232s]
[E-726e-f] it220000: best_depth 167 [1243s]
[E-726e-f] it222000: best_depth 167 [1254s]
[E-726e-f] it224000: best_depth 167 [1266s]
[E-726e-f] it226000: best_depth 167 [1277s]
[E-726e-f] it228000: best_depth 167 [1288s]
[E-726e-f] it230000: best_depth 167 [1299s]
[E-726e-f] it232000: best_depth 167 [1311s]
[E-726e-f] it234000: best_depth 167 [1322s]
[E-726e-f] it236000: best_depth 167 [1333s]
[E-726e-f] it238000: best_depth 167 [1344s]
[E-726e-f] it240000: best_depth 167 [1356s]
[E-726e-f] it242000: best_depth 167 [1367s]
[E-726e-f] it244000: best_depth 167 [1379s]
[E-726e-f] it246000: best_depth 167 [1390s]
[E-726e-f] it248000: best_depth 167 [1401s]
[E-726e-f] it250000: best_depth 167 [1412s]
[E-726e-f] it252000: best_depth 167 [1424s]
[E-726e-f] it254000: best_depth 167 [1435s]
[E-726e-f] it256000: best_depth 167 [1446s]
[E-726e-f] it258000: best_depth 167 [1458s]
[E-726e-f] it260000: best_depth 167 [1469s]
[E-726e-f] it262000: best_depth 167 [1480s]
[E-726e-f] it264000: best_depth 167 [1492s]
[E-726e-f] it266000: best_depth 167 [1503s]
[E-726e-f] it268000: best_depth 167 [1514s]
[E-726e-f] it270000: best_depth 167 [1525s]
[E-726e-f] it272000: best_depth 167 [1536s]
[E-726e-f] it274000: best_depth 167 [1547s]
[E-726e-f] it276000: best_depth 167 [1559s]
[E-726e-f] it278000: best_depth 167 [1570s]
[E-726e-f] it280000: best_depth 167 [1581s]
[E-726e-f] it282000: best_depth 167 [1593s]
[E-726e-f] it284000: best_depth 167 [1604s]
[E-726e-f] it286000: best_depth 167 [1615s]
[E-726e-f] it288000: best_depth 167 [1626s]
[E-726e-f] it290000: best_depth 167 [1638s]
[E-726e-f] it292000: best_depth 167 [1649s]
[E-726e-f] it294000: best_depth 167 [1660s]
[E-726e-f] it296000: best_depth 167 [1671s]
[E-726e-f] it298000: best_depth 167 [1683s]
[E-726e-f] it300000: best_depth 167 [1694s]
[E-726e-f] it302000: best_depth 167 [1705s]
[E-726e-f] it304000: best_depth 167 [1716s]
[E-726e-f] it306000: best_depth 167 [1728s]
[E-726e-f] it308000: best_depth 167 [1739s]
[E-726e-f] it310000: best_depth 167 [1750s]
[E-726e-f] it312000: best_depth 167 [1761s]
[E-726e-f] it314000: best_depth 167 [1772s]
[E-726e-f] it316000: best_depth 167 [1784s]
[E-726e-f] it318000: best_depth 167 [1794s]
[E-726e-f] it320000: best_depth 167 [1806s]
