[E-726d] 58555 edges (top-120 short-tof out-neighbours), dep_step=0.4d tof_step=0.025d
[E-726d] resumed: 25355 edges already done
[E-726d] 26855/58555 edges (10.6/s, ETA 0.8h) [142s]
[E-726d] 28355/58555 edges (10.7/s, ETA 0.8h) [281s]
[E-726d] 29855/58555 edges (10.7/s, ETA 0.7h) [421s]
[E-726d] 31355/58555 edges (10.8/s, ETA 0.7h) [558s]
[E-726d] 32855/58555 edges (10.8/s, ETA 0.7h) [695s]
[E-726d] 34355/58555 edges (10.8/s, ETA 0.6h) [833s]
[E-726d] 35855/58555 edges (10.8/s, ETA 0.6h) [971s]
[E-726d] 37355/58555 edges (10.8/s, ETA 0.5h) [1108s]
[E-726d] 38855/58555 edges (10.8/s, ETA 0.5h) [1246s]
[E-726d] 40355/58555 edges (10.8/s, ETA 0.5h) [1385s]
[E-726d] 41855/58555 edges (10.8/s, ETA 0.4h) [1525s]
[E-726d] 43355/58555 edges (10.8/s, ETA 0.4h) [1662s]
[E-726d] 44855/58555 edges (10.8/s, ETA 0.4h) [1802s]
[E-726d] 46355/58555 edges (10.8/s, ETA 0.3h) [1940s]
[E-726d] 47855/58555 edges (10.8/s, ETA 0.3h) [2079s]
[E-726d] 49355/58555 edges (10.8/s, ETA 0.2h) [2217s]
[E-726d] 50855/58555 edges (10.8/s, ETA 0.2h) [2355s]
[E-726d] 52355/58555 edges (10.8/s, ETA 0.2h) [2493s]
[E-726d] 53855/58555 edges (10.8/s, ETA 0.1h) [2632s]
[E-726d] 55355/58555 edges (10.8/s, ETA 0.1h) [2771s]
[E-726d] 56855/58555 edges (10.8/s, ETA 0.0h) [2913s]
[E-726d] 58355/58555 edges (10.8/s, ETA 0.0h) [3051s]
[E-726d] DONE 58555 edges -> /home/julian/Projects/esa_spoc_26_3/cache/ch2_giant_faithful_windows.npz [3070s]
