[medium-pre] row 0/181  scanned 180  cheap edges 19 [28s]
[medium-pre] row 10/181  scanned 1980  cheap edges 165 [362s]
[medium-pre] row 20/181  scanned 3780  cheap edges 329 [681s]
[medium-pre] row 30/181  scanned 5580  cheap edges 498 [1013s]
[medium-pre] row 40/181  scanned 7380  cheap edges 629 [1296s]
[medium-pre] row 50/181  scanned 9180  cheap edges 811 [1706s]
[medium-pre] row 60/181  scanned 10980  cheap edges 1006 [2068s]
[medium-pre] row 70/181  scanned 12780  cheap edges 1207 [2524s]
[medium-pre] row 80/181  scanned 14580  cheap edges 1405 [2976s]
[medium-pre] row 90/181  scanned 16380  cheap edges 1532 [3281s]
[medium-pre] row 100/181  scanned 18180  cheap edges 1709 [3623s]
[medium-pre] row 110/181  scanned 19980  cheap edges 1915 [3985s]
[medium-pre] row 120/181  scanned 21780  cheap edges 2106 [4382s]
[medium-pre] row 130/181  scanned 23580  cheap edges 2312 [4786s]
[medium-pre] row 140/181  scanned 25380  cheap edges 2477 [5098s]
[medium-pre] row 150/181  scanned 27180  cheap edges 2616 [5353s]
[medium-pre] row 160/181  scanned 28980  cheap edges 2790 [5783s]
[medium-pre] row 170/181  scanned 30780  cheap edges 2955 [6134s]
[medium-pre] row 180/181  scanned 32580  cheap edges 3152 [6459s]
[medium-pre] DONE: 3152 cheap directed edges of 32580 (9.7%) [6460s] -> /home/julian/Projects/esa_spoc_26_3/cache/ch2_medium_windows.npz
