[TDSA-E] seed 601 cities, makespan 11686.8d strands 217; iters=40000 T0=40.0
[TDSA-E] it0: cur 21863 best_mk 11362.8d best_strands 210 T=40.1 acc=1 [3s]
[TDSA-E] it50: cur 20298 best_mk 10597.5d best_strands 194 T=39.7 acc=13 [139s]
[TDSA-E] it100: cur 18826 best_mk 9869.8d best_strands 179 T=39.3 acc=27 [252s]
[TDSA-E] it150: cur 18518 best_mk 9717.8d best_strands 176 T=38.9 acc=36 [368s]
[TDSA-E] it200: cur 17251 best_mk 9100.7d best_strands 163 T=38.5 acc=42 [471s]
[TDSA-E] it250: cur 16564 best_mk 8763.9d best_strands 156 T=38.1 acc=52 [573s]
[TDSA-E] it300: cur 16564 best_mk 8763.8d best_strands 156 T=37.8 acc=53 [679s]
[TDSA-E] it350: cur 16375 best_mk 8654.9d best_strands 154 T=37.4 acc=61 [787s]
[TDSA-E] it400: cur 15982 best_mk 8482.2d best_strands 150 T=37.0 acc=72 [896s]
[TDSA-E] it450: cur 15982 best_mk 8482.2d best_strands 150 T=36.7 acc=73 [996s]
[TDSA-E] it500: cur 15982 best_mk 8482.2d best_strands 150 T=36.3 acc=77 [1105s]
[TDSA-E] it550: cur 15982 best_mk 8482.2d best_strands 150 T=35.9 acc=78 [1222s]
[TDSA-E] it600: cur 15980 best_mk 8480.3d best_strands 150 T=35.6 acc=80 [1332s]
[TDSA-E] it650: cur 15978 best_mk 8478.4d best_strands 150 T=35.2 acc=84 [1446s]
[TDSA-E] it700: cur 15877 best_mk 8426.5d best_strands 149 T=34.9 acc=86 [1554s]
[TDSA-E] it750: cur 15878 best_mk 8426.5d best_strands 149 T=34.5 acc=90 [1658s]
[TDSA-E] it800: cur 15878 best_mk 8426.5d best_strands 149 T=34.2 acc=91 [1771s]
[TDSA-E] it850: cur 15878 best_mk 8426.5d best_strands 149 T=33.8 acc=91 [1886s]
[TDSA-E] it900: cur 15884 best_mk 8426.5d best_strands 149 T=33.5 acc=95 [1993s]
[TDSA-E] it950: cur 15884 best_mk 8426.5d best_strands 149 T=33.2 acc=97 [2107s]
[TDSA-E] it1000: cur 15878 best_mk 8426.5d best_strands 149 T=32.8 acc=98 [2220s]
[TDSA-E] it1050: cur 15878 best_mk 8426.5d best_strands 149 T=32.5 acc=101 [2323s]
[TDSA-E] it1100: cur 15878 best_mk 8426.5d best_strands 149 T=32.2 acc=103 [2428s]
[TDSA-E] it1150: cur 15878 best_mk 8426.5d best_strands 149 T=31.9 acc=104 [2535s]
[TDSA-E] it1200: cur 15878 best_mk 8426.5d best_strands 149 T=31.6 acc=106 [2634s]
[TDSA-E] it1250: cur 15878 best_mk 8426.5d best_strands 149 T=31.3 acc=107 [2744s]
[TDSA-E] it1300: cur 15878 best_mk 8426.5d best_strands 149 T=30.9 acc=110 [2849s]
[TDSA-E] it1350: cur 15878 best_mk 8426.5d best_strands 149 T=30.6 acc=110 [2957s]
[TDSA-E] it1400: cur 15878 best_mk 8426.5d best_strands 149 T=30.3 acc=110 [3066s]
[TDSA-E] it1450: cur 15886 best_mk 8426.5d best_strands 149 T=30.0 acc=112 [3188s]
[TDSA-E] it1500: cur 15886 best_mk 8426.5d best_strands 149 T=29.7 acc=113 [3310s]
[TDSA-E] it1550: cur 15886 best_mk 8426.5d best_strands 149 T=29.4 acc=113 [3425s]
[TDSA-E] it1600: cur 15886 best_mk 8426.5d best_strands 149 T=29.1 acc=113 [3545s]
[TDSA-E] it1650: cur 15882 best_mk 8426.5d best_strands 149 T=28.9 acc=115 [3664s]
[TDSA-E] it1700: cur 15882 best_mk 8426.5d best_strands 149 T=28.6 acc=115 [3773s]
[TDSA-E] it1750: cur 15882 best_mk 8426.5d best_strands 149 T=28.3 acc=115 [3889s]
[TDSA-E] it1800: cur 15882 best_mk 8426.5d best_strands 149 T=28.0 acc=115 [4006s]
[TDSA-E] it1850: cur 15884 best_mk 8426.5d best_strands 149 T=27.7 acc=116 [4120s]
[TDSA-E] it1900: cur 15884 best_mk 8426.5d best_strands 149 T=27.5 acc=118 [4231s]
[TDSA-E] it1950: cur 15884 best_mk 8426.5d best_strands 149 T=27.2 acc=119 [4338s]
[TDSA-E] it2000: cur 15884 best_mk 8426.5d best_strands 149 T=26.9 acc=119 [4439s]
[TDSA-E] it2050: cur 15884 best_mk 8426.5d best_strands 149 T=26.6 acc=120 [4546s]
[TDSA-E] it2100: cur 15884 best_mk 8426.5d best_strands 149 T=26.4 acc=122 [4663s]
[TDSA-E] it2150: cur 15884 best_mk 8426.5d best_strands 149 T=26.1 acc=122 [4766s]
[TDSA-E] it2200: cur 15880 best_mk 8426.5d best_strands 149 T=25.9 acc=124 [4873s]
[TDSA-E] it2250: cur 15886 best_mk 8426.5d best_strands 149 T=25.6 acc=125 [4986s]
[TDSA-E] it2300: cur 15877 best_mk 8426.5d best_strands 149 T=25.4 acc=127 [5094s]
[TDSA-E] it2350: cur 15877 best_mk 8426.5d best_strands 149 T=25.1 acc=127 [5193s]
[TDSA-E] it2400: cur 15886 best_mk 8426.5d best_strands 149 T=24.9 acc=131 [5304s]
[TDSA-E] it2450: cur 15880 best_mk 8426.5d best_strands 149 T=24.6 acc=136 [5407s]
[TDSA-E] it2500: cur 15882 best_mk 8426.5d best_strands 149 T=24.4 acc=142 [5501s]
[TDSA-E] it2550: cur 15884 best_mk 8426.5d best_strands 149 T=24.1 acc=147 [5608s]
[TDSA-E] it2600: cur 15884 best_mk 8426.5d best_strands 149 T=23.9 acc=153 [5720s]
[TDSA-E] it2650: cur 15884 best_mk 8426.5d best_strands 149 T=23.6 acc=157 [5822s]
[TDSA-E] it2700: cur 15884 best_mk 8426.5d best_strands 149 T=23.4 acc=160 [5919s]
[TDSA-E] it2750: cur 15884 best_mk 8426.5d best_strands 149 T=23.2 acc=162 [6018s]
[TDSA-E] it2800: cur 15882 best_mk 8426.5d best_strands 149 T=22.9 acc=165 [6121s]
[TDSA-E] it2850: cur 15884 best_mk 8426.5d best_strands 149 T=22.7 acc=166 [6226s]
[TDSA-E] it2900: cur 15884 best_mk 8426.5d best_strands 149 T=22.5 acc=168 [6331s]
[TDSA-E] it2950: cur 15878 best_mk 8426.5d best_strands 149 T=22.3 acc=172 [6426s]
[TDSA-E] it3000: cur 14933 best_mk 7983.3d best_strands 139 T=22.1 acc=187 [6524s]
[TDSA-E] it3050: cur 14825 best_mk 7925.2d best_strands 138 T=21.8 acc=203 [6630s]
[TDSA-E] it3100: cur 14714 best_mk 7863.7d best_strands 137 T=21.6 acc=216 [6734s]
[TDSA-E] it3150: cur 14524 best_mk 7773.5d best_strands 135 T=21.4 acc=225 [6827s]
[TDSA-E] it3200: cur 13333 best_mk 7183.0d best_strands 123 T=21.2 acc=243 [6938s]
[TDSA-E] it3250: cur 13151 best_mk 7097.3d best_strands 121 T=21.0 acc=251 [7047s]
[TDSA-E] it3300: cur 12650 best_mk 6850.4d best_strands 116 T=20.8 acc=269 [7150s]
[TDSA-E] it3350: cur 12464 best_mk 6764.2d best_strands 114 T=20.6 acc=281 [7253s]
[TDSA-E] it3400: cur 12362 best_mk 6708.4d best_strands 113 T=20.4 acc=289 [7362s]
[TDSA-E] it3450: cur 11761 best_mk 6410.7d best_strands 107 T=20.2 acc=309 [7472s]
[TDSA-E] it3500: cur 11454 best_mk 6254.0d best_strands 104 T=20.0 acc=315 [7585s]
[TDSA-E] it3550: cur 10968 best_mk 6018.3d best_strands 99 T=19.8 acc=327 [7691s]
[TDSA-E] it3600: cur 10679 best_mk 5878.7d best_strands 96 T=19.6 acc=334 [7800s]
[TDSA-E] it3650: cur 10580 best_mk 5829.8d best_strands 95 T=19.4 acc=338 [7905s]
[TDSA-E] it3700: cur 10188 best_mk 5638.1d best_strands 91 T=19.2 acc=343 [8022s]
[TDSA-E] it3750: cur 10196 best_mk 5637.9d best_strands 91 T=19.0 acc=349 [8129s]
[TDSA-E] it3800: cur 10196 best_mk 5637.9d best_strands 91 T=18.8 acc=349 [8245s]
[TDSA-E] it3850: cur 10191 best_mk 5637.9d best_strands 91 T=18.6 acc=351 [8352s]
