[control] compute_transfer(0,1,t=5.00,tof=0.02)->dv=12832.5 (evaluator live); old table floor tof=0.0250, short slice [0.001,0.024] 24pts
[start] augment short-ToF: n=49 pairs=2352 t_starts=4000 evals~225,792,000 est~47min
  100/2352 rate=1.2/s elapsed=81s eta=1820s cheap-cells-shortened=83
  200/2352 rate=1.3/s elapsed=152s eta=1630s cheap-cells-shortened=112
  300/2352 rate=1.4/s elapsed=221s eta=1512s cheap-cells-shortened=112
  400/2352 rate=1.4/s elapsed=288s eta=1408s cheap-cells-shortened=112
  500/2352 rate=1.4/s elapsed=361s eta=1337s cheap-cells-shortened=112
  600/2352 rate=1.4/s elapsed=432s eta=1260s cheap-cells-shortened=172
  700/2352 rate=1.4/s elapsed=499s eta=1177s cheap-cells-shortened=172
  800/2352 rate=1.4/s elapsed=565s eta=1097s cheap-cells-shortened=203
  900/2352 rate=1.4/s elapsed=640s eta=1033s cheap-cells-shortened=283
  1000/2352 rate=1.4/s elapsed=711s eta=961s cheap-cells-shortened=283
  1100/2352 rate=1.4/s elapsed=778s eta=886s cheap-cells-shortened=283
  1200/2352 rate=1.4/s elapsed=849s eta=815s cheap-cells-shortened=301
  1300/2352 rate=1.4/s elapsed=920s eta=745s cheap-cells-shortened=301
  1400/2352 rate=1.4/s elapsed=989s eta=672s cheap-cells-shortened=432
  1500/2352 rate=1.4/s elapsed=1056s eta=600s cheap-cells-shortened=432
  1600/2352 rate=1.4/s elapsed=1124s eta=528s cheap-cells-shortened=475
  1700/2352 rate=1.4/s elapsed=1197s eta=459s cheap-cells-shortened=520
  1800/2352 rate=1.4/s elapsed=1265s eta=388s cheap-cells-shortened=520
  1900/2352 rate=1.4/s elapsed=1333s eta=317s cheap-cells-shortened=521
  2000/2352 rate=1.4/s elapsed=1400s eta=246s cheap-cells-shortened=523
  2100/2352 rate=1.4/s elapsed=1473s eta=177s cheap-cells-shortened=524
  2200/2352 rate=1.4/s elapsed=1542s eta=107s cheap-cells-shortened=524
  2300/2352 rate=1.4/s elapsed=1609s eta=36s cheap-cells-shortened=524

[done] 1643s | cheap cells shortened by short-ToF: 524 | saved /tmp/ch2_small_tcoupled_ultrafine_v2.npz
  (re-point the small order-search at /tmp/ch2_small_tcoupled_ultrafine_v2.npz and re-run to test if the corrected edge set breaks 112.996)
