[E-670] giant=601 dir-pairs=74208 epochs=240 tofs=140 | control compute_transfer=1132 | est~519min
  5/601 rows  eta=300min [3min]
  10/601 rows  eta=295min [5min]
  15/601 rows  eta=285min [7min]
  20/601 rows  eta=281min [10min]
  25/601 rows  eta=275min [12min]
  30/601 rows  eta=272min [14min]
  35/601 rows  eta=269min [17min]
  40/601 rows  eta=273min [19min]
  45/601 rows  eta=280min [23min]
  50/601 rows  eta=267min [24min]
  55/601 rows  eta=268min [27min]
  60/601 rows  eta=272min [30min]
  65/601 rows  eta=268min [32min]
  70/601 rows  eta=263min [35min]
  75/601 rows  eta=259min [37min]
  80/601 rows  eta=256min [39min]
  85/601 rows  eta=253min [42min]
  90/601 rows  eta=250min [44min]
  95/601 rows  eta=246min [46min]
  100/601 rows  eta=243min [49min]
  105/601 rows  eta=240min [51min]
  110/601 rows  eta=237min [53min]
  115/601 rows  eta=234min [55min]
  120/601 rows  eta=233min [58min]
  125/601 rows  eta=230min [60min]
  130/601 rows  eta=229min [63min]
  135/601 rows  eta=225min [65min]
  140/601 rows  eta=223min [68min]
  145/601 rows  eta=220min [70min]
  150/601 rows  eta=217min [72min]
  155/601 rows  eta=214min [74min]
  160/601 rows  eta=212min [77min]
  165/601 rows  eta=209min [79min]
  170/601 rows  eta=206min [81min]
  175/601 rows  eta=204min [84min]
  180/601 rows  eta=202min [86min]
  185/601 rows  eta=201min [89min]
  190/601 rows  eta=196min [91min]
  195/601 rows  eta=194min [93min]
  200/601 rows  eta=191min [95min]
  205/601 rows  eta=188min [97min]
  210/601 rows  eta=186min [100min]
  215/601 rows  eta=183min [102min]
  220/601 rows  eta=181min [104min]
  225/601 rows  eta=178min [107min]
  230/601 rows  eta=176min [109min]
  235/601 rows  eta=173min [111min]
  240/601 rows  eta=171min [113min]
  245/601 rows  eta=168min [116min]
  250/601 rows  eta=165min [118min]
  255/601 rows  eta=164min [121min]
  260/601 rows  eta=161min [123min]
  265/601 rows  eta=160min [126min]
  270/601 rows  eta=157min [128min]
  275/601 rows  eta=155min [130min]
  280/601 rows  eta=151min [132min]
  285/601 rows  eta=149min [134min]
  290/601 rows  eta=146min [136min]
  295/601 rows  eta=143min [138min]
  300/601 rows  eta=140min [140min]
  305/601 rows  eta=138min [142min]
  310/601 rows  eta=135min [144min]
  315/601 rows  eta=131min [145min]
  320/601 rows  eta=129min [147min]
  325/601 rows  eta=127min [150min]
  330/601 rows  eta=125min [152min]
  335/601 rows  eta=123min [154min]
  340/601 rows  eta=120min [157min]
  345/601 rows  eta=118min [158min]
  350/601 rows  eta=115min [161min]
  355/601 rows  eta=113min [163min]
  360/601 rows  eta=111min [166min]
  365/601 rows  eta=109min [169min]
  370/601 rows  eta=107min [171min]
  375/601 rows  eta=105min [174min]
  380/601 rows  eta=103min [176min]
  385/601 rows  eta=100min [179min]
  390/601 rows  eta=98min [181min]
  395/601 rows  eta=96min [183min]
  400/601 rows  eta=93min [186min]
  405/601 rows  eta=90min [187min]
  410/601 rows  eta=88min [190min]
  415/601 rows  eta=86min [192min]
  420/601 rows  eta=84min [194min]
  425/601 rows  eta=81min [196min]
  430/601 rows  eta=79min [198min]
  435/601 rows  eta=76min [200min]
  440/601 rows  eta=74min [202min]
  445/601 rows  eta=72min [204min]
  450/601 rows  eta=70min [207min]
  455/601 rows  eta=67min [209min]
  460/601 rows  eta=65min [211min]
  465/601 rows  eta=63min [214min]
  470/601 rows  eta=60min [216min]
  475/601 rows  eta=58min [220min]
  480/601 rows  eta=56min [222min]
  485/601 rows  eta=53min [223min]
  490/601 rows  eta=51min [225min]
  495/601 rows  eta=49min [227min]
  500/601 rows  eta=46min [230min]
  505/601 rows  eta=44min [232min]
  510/601 rows  eta=42min [235min]
  515/601 rows  eta=40min [237min]
  520/601 rows  eta=37min [239min]
  525/601 rows  eta=35min [241min]
  530/601 rows  eta=33min [243min]
  535/601 rows  eta=30min [244min]
  540/601 rows  eta=28min [247min]
  545/601 rows  eta=26min [249min]
  550/601 rows  eta=23min [252min]
  555/601 rows  eta=21min [254min]
  560/601 rows  eta=19min [257min]
  565/601 rows  eta=17min [260min]
  570/601 rows  eta=14min [262min]
  575/601 rows  eta=12min [265min]
  580/601 rows  eta=10min [267min]
  585/601 rows  eta=7min [269min]
  590/601 rows  eta=5min [272min]
  595/601 rows  eta=3min [274min]
  600/601 rows  eta=0min [276min]
[done] 277min | 74208 pairs x 240 epochs -> /tmp/ch2_giant_dense.npz
