E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c1] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] iter=5 elapsed=0.1min DP_ok=1 DP_fail=4 accepted=1 rate=92.6/min state=118.5255 best=118.5255 kick=3 stale=1
[c0] iter=5 elapsed=0.1min DP_ok=3 DP_fail=2 accepted=3 rate=60.1/min state=116.3755 best=116.3755 kick=3 stale=1
[c1] iter=10 elapsed=0.2min DP_ok=5 DP_fail=5 accepted=5 rate=58.6/min state=119.5755 best=118.5255 kick=3 stale=5
[c0] iter=10 elapsed=0.2min DP_ok=7 DP_fail=3 accepted=7 rate=51.4/min state=118.5255 best=116.3755 kick=3 stale=5
[c3] iter=10 elapsed=0.2min DP_ok=7 DP_fail=3 accepted=7 rate=44.9/min state=119.9255 best=118.5255 kick=3 stale=7
[c2] iter=10 elapsed=0.3min DP_ok=8 DP_fail=2 accepted=8 rate=39.1/min state=118.5255 best=116.3755 kick=3 stale=7
[c1] iter=15 elapsed=0.3min DP_ok=8 DP_fail=7 accepted=8 rate=57.5/min state=120.2774 best=118.5255 kick=3 stale=8
[c0] iter=15 elapsed=0.3min DP_ok=9 DP_fail=6 accepted=9 rate=54.1/min state=119.4255 best=116.3755 kick=3 stale=7
[c3] iter=15 elapsed=0.3min DP_ok=10 DP_fail=5 accepted=10 rate=43.6/min state=120.2755 best=118.5255 kick=3 stale=10
[c2] iter=15 elapsed=0.4min DP_ok=13 DP_fail=2 accepted=13 rate=37.7/min state=119.4255 best=116.3755 kick=3 stale=12
[c1] iter=20 elapsed=0.4min DP_ok=13 DP_fail=7 accepted=13 rate=49.4/min state=120.2774 best=118.5255 kick=3 stale=13
[c3] iter=20 elapsed=0.4min DP_ok=13 DP_fail=7 accepted=13 rate=46.2/min state=119.4255 best=118.5255 kick=3 stale=13
[c0] iter=25 elapsed=0.4min DP_ok=14 DP_fail=11 accepted=14 rate=56.1/min state=119.4255 best=116.3755 kick=3 stale=12
[c1] iter=25 elapsed=0.5min DP_ok=17 DP_fail=8 accepted=17 rate=48.2/min state=120.2774 best=118.5255 kick=3 stale=17
[c0] iter=30 elapsed=0.6min DP_ok=18 DP_fail=12 accepted=18 rate=52.9/min state=119.4255 best=116.3755 kick=3 stale=16
[c2] iter=25 elapsed=0.6min DP_ok=18 DP_fail=7 accepted=18 rate=42.2/min state=119.4255 best=116.3755 kick=3 stale=17
[c1] iter=30 elapsed=0.6min DP_ok=21 DP_fail=9 accepted=21 rate=47.5/min state=120.2774 best=118.5255 kick=3 stale=21
[c0] iter=35 elapsed=0.7min DP_ok=21 DP_fail=14 accepted=21 rate=53.5/min state=119.4255 best=116.3755 kick=3 stale=19
[c3] iter=40 elapsed=0.7min DP_ok=22 DP_fail=18 accepted=22 rate=55.7/min state=119.4255 best=118.5255 kick=3 stale=22
[c0] iter=40 elapsed=0.7min DP_ok=24 DP_fail=16 accepted=24 rate=54.2/min state=119.4255 best=116.3755 kick=3 stale=22
[c1] iter=35 elapsed=0.8min DP_ok=25 DP_fail=10 accepted=25 rate=46.7/min state=120.2774 best=118.5255 kick=3 stale=25
[c3] iter=45 elapsed=0.8min DP_ok=25 DP_fail=20 accepted=25 rate=56.1/min state=119.4255 best=118.5255 kick=3 stale=25
[c2] iter=35 elapsed=0.8min DP_ok=26 DP_fail=9 accepted=26 rate=42.6/min state=119.4255 best=116.3755 kick=3 stale=25
[c3] iter=50 elapsed=0.9min DP_ok=28 DP_fail=22 accepted=28 rate=56.0/min state=119.4255 best=118.5255 kick=3 stale=28
[c2] iter=40 elapsed=0.9min DP_ok=29 DP_fail=11 accepted=29 rate=44.0/min state=119.4255 best=116.3755 kick=3 stale=28
[c1] iter=45 elapsed=0.9min DP_ok=31 DP_fail=14 accepted=31 rate=48.9/min state=120.2774 best=118.5255 kick=3 stale=31
[c0] iter=55 elapsed=1.0min DP_ok=32 DP_fail=23 accepted=32 rate=52.6/min state=119.4255 best=116.3755 kick=3 stale=30
[c2] iter=45 elapsed=1.1min DP_ok=33 DP_fail=12 accepted=33 rate=42.7/min state=119.4255 best=116.3755 kick=3 stale=32
[c1] iter=50 elapsed=1.1min DP_ok=36 DP_fail=14 accepted=36 rate=47.1/min state=120.2774 best=118.5255 kick=3 stale=36
[c0] iter=60 elapsed=1.1min DP_ok=34 DP_fail=26 accepted=34 rate=54.5/min state=119.4255 best=116.3755 kick=3 stale=32
[c3] iter=65 elapsed=1.3min DP_ok=39 DP_fail=26 accepted=39 rate=52.0/min state=118.9255 best=118.5255 kick=3 stale=39
[c2] iter=60 elapsed=1.3min DP_ok=39 DP_fail=21 accepted=39 rate=46.7/min state=119.4255 best=116.3755 kick=3 stale=38
[c0] iter=75 elapsed=1.4min DP_ok=44 DP_fail=31 accepted=44 rate=54.1/min state=119.4255 best=116.3755 kick=3 stale=42
[c3] iter=75 elapsed=1.4min DP_ok=44 DP_fail=31 accepted=44 rate=53.6/min state=122.7253 best=118.5255 kick=3 stale=44
