E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c1] table+rank ready in 0.2s q=0.05d T=4000
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] iter=5 elapsed=0.1min DP_ok=1 DP_fail=4 accepted=1 rate=90.3/min state=118.5255 best=118.5255 kick=3 stale=1
[c0] iter=5 elapsed=0.1min DP_ok=3 DP_fail=2 accepted=3 rate=60.2/min state=116.3755 best=116.3755 kick=3 stale=1
[c1] iter=10 elapsed=0.2min DP_ok=5 DP_fail=5 accepted=5 rate=58.1/min state=119.5755 best=118.5255 kick=3 stale=5
[c0] iter=10 elapsed=0.2min DP_ok=7 DP_fail=3 accepted=7 rate=49.1/min state=118.5255 best=116.3755 kick=3 stale=5
[c3] iter=10 elapsed=0.2min DP_ok=7 DP_fail=3 accepted=7 rate=45.1/min state=119.9255 best=118.5255 kick=3 stale=7
[c1] iter=15 elapsed=0.3min DP_ok=8 DP_fail=7 accepted=8 rate=58.2/min state=120.2774 best=118.5255 kick=3 stale=8
[c2] iter=10 elapsed=0.3min DP_ok=8 DP_fail=2 accepted=8 rate=38.5/min state=118.5255 best=116.3755 kick=3 stale=7
[c0] iter=15 elapsed=0.3min DP_ok=9 DP_fail=6 accepted=9 rate=52.2/min state=119.4255 best=116.3755 kick=3 stale=7
[c3] iter=15 elapsed=0.3min DP_ok=10 DP_fail=5 accepted=10 rate=44.8/min state=120.2755 best=118.5255 kick=3 stale=10
[c1] iter=20 elapsed=0.4min DP_ok=13 DP_fail=7 accepted=13 rate=49.8/min state=120.2774 best=118.5255 kick=3 stale=13
[c2] iter=15 elapsed=0.4min DP_ok=13 DP_fail=2 accepted=13 rate=36.9/min state=119.4255 best=116.3755 kick=3 stale=12
[c3] iter=20 elapsed=0.4min DP_ok=13 DP_fail=7 accepted=13 rate=47.0/min state=119.4255 best=118.5255 kick=3 stale=13
[c0] iter=25 elapsed=0.5min DP_ok=14 DP_fail=11 accepted=14 rate=55.0/min state=119.4255 best=116.3755 kick=3 stale=12
[c1] iter=25 elapsed=0.5min DP_ok=17 DP_fail=8 accepted=17 rate=48.3/min state=120.2774 best=118.5255 kick=3 stale=17
[c0] iter=30 elapsed=0.6min DP_ok=18 DP_fail=12 accepted=18 rate=52.6/min state=119.4255 best=116.3755 kick=3 stale=16
