[LNS-B] seed 601 cities, makespan 2075.3d strands 34 cost 3775 [1s]
[LNS-B] it0: cur_cost 3775 best_cost 3775 best_strands 34 T=6.05 acc=0 [5s]
[LNS-B] it20: cur_cost 3775 best_cost 3775 best_strands 34 T=6.01 acc=0 [197s]
[LNS-B] it40: cur_cost 3775 best_cost 3775 best_strands 34 T=5.98 acc=0 [382s]
[LNS-B] it60: cur_cost 3775 best_cost 3775 best_strands 34 T=5.94 acc=0 [560s]
[LNS-B] it80: cur_cost 3775 best_cost 3775 best_strands 34 T=5.91 acc=0 [751s]
[LNS-B] it100: cur_cost 3775 best_cost 3775 best_strands 34 T=5.87 acc=0 [930s]
[LNS-B] it120: cur_cost 3775 best_cost 3775 best_strands 34 T=5.84 acc=0 [1103s]
[LNS-B] it140: cur_cost 3775 best_cost 3775 best_strands 34 T=5.80 acc=0 [1291s]
[LNS-B] it160: cur_cost 3775 best_cost 3775 best_strands 34 T=5.77 acc=0 [1469s]
[LNS-B] it180: cur_cost 3775 best_cost 3775 best_strands 34 T=5.73 acc=0 [1652s]
[LNS-B] it200: cur_cost 3775 best_cost 3775 best_strands 34 T=5.70 acc=0 [1832s]
[LNS-B] it220: cur_cost 3775 best_cost 3775 best_strands 34 T=5.67 acc=0 [2006s]
[LNS-B] it240: cur_cost 3775 best_cost 3775 best_strands 34 T=5.63 acc=0 [2198s]
[LNS-B] it260: cur_cost 3775 best_cost 3775 best_strands 34 T=5.60 acc=0 [2372s]
[LNS-B] it280: cur_cost 3775 best_cost 3775 best_strands 34 T=5.57 acc=0 [2548s]
[LNS-B] it300: cur_cost 3775 best_cost 3775 best_strands 34 T=5.53 acc=0 [2715s]
[LNS-B] it320: cur_cost 3775 best_cost 3775 best_strands 34 T=5.50 acc=0 [2912s]
[LNS-B] it340: cur_cost 3775 best_cost 3775 best_strands 34 T=5.47 acc=0 [3091s]
[LNS-B] it360: cur_cost 3775 best_cost 3775 best_strands 34 T=5.44 acc=0 [3279s]
[LNS-B] it380: cur_cost 3775 best_cost 3775 best_strands 34 T=5.40 acc=0 [3474s]
[LNS-B] it400: cur_cost 3775 best_cost 3775 best_strands 34 T=5.37 acc=0 [3659s]
