[TDSA-A] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-A] it0: cur 3775 best_mk 2075.3d best_strands 34 T=25.1 acc=0 [3s]
[TDSA-A] it50: cur 3188 best_mk 1788.3d best_strands 28 T=24.9 acc=4 [138s]
[TDSA-A] it100: cur 2891 best_mk 1641.5d best_strands 25 T=24.6 acc=6 [272s]
[TDSA-A] it150: cur 2891 best_mk 1641.5d best_strands 25 T=24.4 acc=6 [424s]
[TDSA-A] it200: cur 2891 best_mk 1641.5d best_strands 25 T=24.1 acc=6 [570s]
[TDSA-A] it250: cur 2891 best_mk 1641.5d best_strands 25 T=23.9 acc=6 [717s]
[TDSA-A] it300: cur 2891 best_mk 1641.5d best_strands 25 T=23.6 acc=6 [868s]
[TDSA-A] it350: cur 2891 best_mk 1641.5d best_strands 25 T=23.4 acc=6 [1012s]
[TDSA-A] it400: cur 2891 best_mk 1641.5d best_strands 25 T=23.2 acc=6 [1148s]
[TDSA-A] it450: cur 2891 best_mk 1641.5d best_strands 25 T=22.9 acc=6 [1275s]
[TDSA-A] it500: cur 2891 best_mk 1641.5d best_strands 25 T=22.7 acc=6 [1415s]
[TDSA-A] it550: cur 2891 best_mk 1641.5d best_strands 25 T=22.5 acc=7 [1547s]
[TDSA-A] it600: cur 2891 best_mk 1641.5d best_strands 25 T=22.3 acc=7 [1687s]
[TDSA-A] it650: cur 2891 best_mk 1641.5d best_strands 25 T=22.1 acc=7 [1889s]
[TDSA-A] it700: cur 2891 best_mk 1641.5d best_strands 25 T=21.8 acc=7 [2014s]
[TDSA-A] it750: cur 2796 best_mk 1596.4d best_strands 24 T=21.6 acc=8 [2156s]
[TDSA-A] it800: cur 2796 best_mk 1596.4d best_strands 24 T=21.4 acc=8 [2286s]
[TDSA-A] it850: cur 2797 best_mk 1596.4d best_strands 24 T=21.2 acc=9 [2418s]
[TDSA-A] it900: cur 2797 best_mk 1596.4d best_strands 24 T=21.0 acc=9 [2557s]
[TDSA-A] it950: cur 2797 best_mk 1596.4d best_strands 24 T=20.8 acc=9 [2719s]
[TDSA-A] it1000: cur 2797 best_mk 1596.4d best_strands 24 T=20.6 acc=9 [2845s]
[TDSA-A] it1050: cur 2797 best_mk 1596.4d best_strands 24 T=20.4 acc=10 [3017s]
[TDSA-A] it1100: cur 2797 best_mk 1596.4d best_strands 24 T=20.2 acc=10 [3148s]
[TDSA-A] it1150: cur 2797 best_mk 1596.4d best_strands 24 T=20.0 acc=10 [3272s]
[TDSA-A] it1200: cur 2797 best_mk 1596.4d best_strands 24 T=19.8 acc=10 [3415s]
[TDSA-A] it1250: cur 2797 best_mk 1596.4d best_strands 24 T=19.6 acc=10 [3556s]
[TDSA-A] it1300: cur 2797 best_mk 1596.4d best_strands 24 T=19.4 acc=10 [3693s]
[TDSA-A] it1350: cur 2797 best_mk 1596.4d best_strands 24 T=19.2 acc=10 [3849s]
[TDSA-A] it1400: cur 2797 best_mk 1596.4d best_strands 24 T=19.0 acc=10 [3972s]
[TDSA-A] it1450: cur 2797 best_mk 1596.4d best_strands 24 T=18.8 acc=10 [4111s]
[TDSA-A] it1500: cur 2797 best_mk 1596.4d best_strands 24 T=18.6 acc=10 [4252s]
[TDSA-A] it1550: cur 2797 best_mk 1596.4d best_strands 24 T=18.4 acc=10 [4401s]
