[TDSA-B] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-B] it0: cur 3775 best_mk 2075.3d best_strands 34 T=25.1 acc=0 [2s]
[TDSA-B] it50: cur 3390 best_mk 1886.8d best_strands 30 T=24.9 acc=6 [134s]
[TDSA-B] it100: cur 3097 best_mk 1747.4d best_strands 27 T=24.6 acc=9 [256s]
[TDSA-B] it150: cur 3097 best_mk 1747.4d best_strands 27 T=24.4 acc=10 [379s]
[TDSA-B] it200: cur 3097 best_mk 1747.4d best_strands 27 T=24.1 acc=11 [496s]
[TDSA-B] it250: cur 3097 best_mk 1747.4d best_strands 27 T=23.9 acc=11 [648s]
[TDSA-B] it300: cur 3097 best_mk 1747.4d best_strands 27 T=23.6 acc=11 [778s]
[TDSA-B] it350: cur 3097 best_mk 1747.4d best_strands 27 T=23.4 acc=11 [914s]
[TDSA-B] it400: cur 3097 best_mk 1747.4d best_strands 27 T=23.2 acc=12 [1052s]
[TDSA-B] it450: cur 3097 best_mk 1747.4d best_strands 27 T=22.9 acc=12 [1182s]
[TDSA-B] it500: cur 3097 best_mk 1747.4d best_strands 27 T=22.7 acc=13 [1321s]
[TDSA-B] it550: cur 3096 best_mk 1745.0d best_strands 27 T=22.5 acc=15 [1446s]
[TDSA-B] it600: cur 3096 best_mk 1745.0d best_strands 27 T=22.3 acc=15 [1593s]
[TDSA-B] it650: cur 2997 best_mk 1697.3d best_strands 26 T=22.1 acc=19 [1738s]
[TDSA-B] it700: cur 3000 best_mk 1697.3d best_strands 26 T=21.8 acc=21 [1888s]
[TDSA-B] it750: cur 3000 best_mk 1697.3d best_strands 26 T=21.6 acc=21 [2020s]
[TDSA-B] it800: cur 2997 best_mk 1697.3d best_strands 26 T=21.4 acc=22 [2149s]
[TDSA-B] it850: cur 2997 best_mk 1697.3d best_strands 26 T=21.2 acc=23 [2298s]
[TDSA-B] it900: cur 3000 best_mk 1697.3d best_strands 26 T=21.0 acc=24 [2449s]
[TDSA-B] it950: cur 2997 best_mk 1697.3d best_strands 26 T=20.8 acc=26 [2583s]
[TDSA-B] it1000: cur 3000 best_mk 1697.3d best_strands 26 T=20.6 acc=27 [2716s]
[TDSA-B] it1050: cur 2997 best_mk 1697.3d best_strands 26 T=20.4 acc=28 [2884s]
[TDSA-B] it1100: cur 2997 best_mk 1697.3d best_strands 26 T=20.2 acc=28 [3027s]
[TDSA-B] it1150: cur 3000 best_mk 1697.3d best_strands 26 T=20.0 acc=30 [3150s]
[TDSA-B] it1200: cur 2900 best_mk 1650.2d best_strands 25 T=19.8 acc=32 [3291s]
[TDSA-B] it1250: cur 2900 best_mk 1650.2d best_strands 25 T=19.6 acc=32 [3423s]
[TDSA-B] it1300: cur 2900 best_mk 1650.2d best_strands 25 T=19.4 acc=32 [3565s]
[TDSA-B] it1350: cur 2805 best_mk 1605.0d best_strands 24 T=19.2 acc=34 [3712s]
[TDSA-B] it1400: cur 2708 best_mk 1557.5d best_strands 23 T=19.0 acc=36 [3850s]
[TDSA-B] it1450: cur 2708 best_mk 1557.5d best_strands 23 T=18.8 acc=37 [3975s]
[TDSA-B] it1500: cur 2708 best_mk 1557.5d best_strands 23 T=18.6 acc=37 [4093s]
[TDSA-B] it1550: cur 2709 best_mk 1557.5d best_strands 23 T=18.4 acc=39 [4221s]
[TDSA-B] it1600: cur 2709 best_mk 1557.5d best_strands 23 T=18.3 acc=41 [4364s]
[TDSA-B] it1650: cur 2709 best_mk 1557.5d best_strands 23 T=18.1 acc=41 [4500s]
[TDSA-B] it1700: cur 2709 best_mk 1557.5d best_strands 23 T=17.9 acc=41 [4622s]
[TDSA-B] it1750: cur 2612 best_mk 1512.3d best_strands 22 T=17.7 acc=42 [4776s]
[TDSA-B] it1800: cur 2612 best_mk 1512.3d best_strands 22 T=17.5 acc=42 [4917s]
[TDSA-B] it1850: cur 2612 best_mk 1512.3d best_strands 22 T=17.4 acc=43 [5024s]
[TDSA-B] it1900: cur 2612 best_mk 1512.3d best_strands 22 T=17.2 acc=43 [5132s]
[TDSA-B] it1950: cur 2612 best_mk 1512.3d best_strands 22 T=17.0 acc=43 [5256s]
[TDSA-B] it2000: cur 2612 best_mk 1512.3d best_strands 22 T=16.9 acc=43 [5403s]
[TDSA-B] it2050: cur 2612 best_mk 1512.3d best_strands 22 T=16.7 acc=43 [5544s]
[TDSA-B] it2100: cur 2612 best_mk 1512.3d best_strands 22 T=16.5 acc=43 [5674s]
[TDSA-B] it2150: cur 2612 best_mk 1512.3d best_strands 22 T=16.4 acc=43 [5795s]
[TDSA-B] it2200: cur 2612 best_mk 1512.3d best_strands 22 T=16.2 acc=43 [5951s]
[TDSA-B] it2250: cur 2612 best_mk 1512.3d best_strands 22 T=16.0 acc=43 [6108s]
[TDSA-B] it2300: cur 2612 best_mk 1512.3d best_strands 22 T=15.9 acc=43 [6238s]
