[TDSA-C] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-C] it0: cur 3775 best_mk 2075.3d best_strands 34 T=25.1 acc=0 [3s]
[TDSA-C] it50: cur 3285 best_mk 1814.9d best_strands 29 T=24.9 acc=6 [117s]
[TDSA-C] it100: cur 2999 best_mk 1699.2d best_strands 26 T=24.6 acc=11 [245s]
[TDSA-C] it150: cur 2999 best_mk 1699.2d best_strands 26 T=24.4 acc=12 [354s]
[TDSA-C] it200: cur 2999 best_mk 1699.2d best_strands 26 T=24.1 acc=13 [480s]
[TDSA-C] it250: cur 2999 best_mk 1699.2d best_strands 26 T=23.9 acc=13 [587s]
[TDSA-C] it300: cur 2999 best_mk 1699.2d best_strands 26 T=23.6 acc=13 [710s]
[TDSA-C] it350: cur 2999 best_mk 1699.2d best_strands 26 T=23.4 acc=13 [841s]
[TDSA-C] it400: cur 2999 best_mk 1699.2d best_strands 26 T=23.2 acc=14 [967s]
[TDSA-C] it450: cur 2999 best_mk 1699.2d best_strands 26 T=22.9 acc=14 [1075s]
[TDSA-C] it500: cur 2999 best_mk 1699.2d best_strands 26 T=22.7 acc=15 [1207s]
[TDSA-C] it550: cur 2999 best_mk 1699.2d best_strands 26 T=22.5 acc=15 [1334s]
[TDSA-C] it600: cur 2999 best_mk 1699.2d best_strands 26 T=22.3 acc=16 [1453s]
[TDSA-C] it650: cur 2999 best_mk 1699.2d best_strands 26 T=22.1 acc=17 [1578s]
[TDSA-C] it700: cur 2999 best_mk 1699.2d best_strands 26 T=21.8 acc=17 [1734s]
[TDSA-C] it750: cur 2999 best_mk 1699.2d best_strands 26 T=21.6 acc=18 [1874s]
[TDSA-C] it800: cur 2999 best_mk 1699.2d best_strands 26 T=21.4 acc=18 [2003s]
[TDSA-C] it850: cur 2999 best_mk 1699.2d best_strands 26 T=21.2 acc=19 [2128s]
[TDSA-C] it900: cur 2999 best_mk 1699.2d best_strands 26 T=21.0 acc=19 [2254s]
[TDSA-C] it950: cur 2999 best_mk 1699.2d best_strands 26 T=20.8 acc=20 [2364s]
[TDSA-C] it1000: cur 2999 best_mk 1699.2d best_strands 26 T=20.6 acc=21 [2504s]
[TDSA-C] it1050: cur 2999 best_mk 1699.2d best_strands 26 T=20.4 acc=22 [2629s]
[TDSA-C] it1100: cur 2999 best_mk 1699.2d best_strands 26 T=20.2 acc=22 [2751s]
[TDSA-C] it1150: cur 2999 best_mk 1699.2d best_strands 26 T=20.0 acc=23 [2868s]
[TDSA-C] it1200: cur 2999 best_mk 1699.2d best_strands 26 T=19.8 acc=23 [3007s]
[TDSA-C] it1250: cur 3002 best_mk 1699.2d best_strands 26 T=19.6 acc=24 [3129s]
[TDSA-C] it1300: cur 3002 best_mk 1699.2d best_strands 26 T=19.4 acc=24 [3245s]
[TDSA-C] it1350: cur 3000 best_mk 1699.2d best_strands 26 T=19.2 acc=25 [3380s]
[TDSA-C] it1400: cur 2907 best_mk 1656.7d best_strands 25 T=19.0 acc=28 [3525s]
[TDSA-C] it1450: cur 2907 best_mk 1656.7d best_strands 25 T=18.8 acc=28 [3662s]
[TDSA-C] it1500: cur 2808 best_mk 1607.9d best_strands 24 T=18.6 acc=29 [3785s]
[TDSA-C] it1550: cur 2808 best_mk 1607.9d best_strands 24 T=18.4 acc=29 [3909s]
[TDSA-C] it1600: cur 2808 best_mk 1607.9d best_strands 24 T=18.3 acc=29 [4046s]
[TDSA-C] it1650: cur 2808 best_mk 1607.9d best_strands 24 T=18.1 acc=29 [4151s]
[TDSA-C] it1700: cur 2808 best_mk 1607.9d best_strands 24 T=17.9 acc=29 [4247s]
[TDSA-C] it1750: cur 2808 best_mk 1607.9d best_strands 24 T=17.7 acc=29 [4390s]
[TDSA-C] it1800: cur 2808 best_mk 1607.9d best_strands 24 T=17.5 acc=29 [4519s]
[TDSA-C] it1850: cur 2808 best_mk 1607.9d best_strands 24 T=17.4 acc=29 [4645s]
