error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it0: cur 3583 best_mk 1983.2d best_strands 32 T=18.1 acc=1 [2s]
[TDSA-D] it50: cur 3380 best_mk 1880.4d best_strands 30 T=17.9 acc=5 [142s]
[TDSA-D] it100: cur 2988 best_mk 1687.7d best_strands 26 T=17.7 acc=10 [290s]
[TDSA-D] it150: cur 2988 best_mk 1687.7d best_strands 26 T=17.6 acc=11 [445s]
[TDSA-D] it200: cur 2775 best_mk 1575.3d best_strands 24 T=17.4 acc=14 [591s]
[TDSA-D] it250: cur 2775 best_mk 1575.3d best_strands 24 T=17.2 acc=14 [760s]
[TDSA-D] it300: cur 2775 best_mk 1575.3d best_strands 24 T=17.1 acc=14 [911s]
[TDSA-D] it350: cur 2775 best_mk 1575.3d best_strands 24 T=16.9 acc=14 [1061s]
[TDSA-D] it400: cur 2775 best_mk 1575.3d best_strands 24 T=16.7 acc=15 [1202s]
[TDSA-D] it450: cur 2775 best_mk 1575.3d best_strands 24 T=16.6 acc=15 [1350s]
[TDSA-D] it500: cur 2775 best_mk 1575.3d best_strands 24 T=16.4 acc=15 [1518s]
[TDSA-D] it550: cur 2775 best_mk 1575.3d best_strands 24 T=16.2 acc=15 [1680s]
[TDSA-D] it600: cur 2775 best_mk 1575.3d best_strands 24 T=16.1 acc=15 [1820s]
[TDSA-D] it650: cur 2775 best_mk 1575.3d best_strands 24 T=15.9 acc=15 [1948s]
[TDSA-D] it700: cur 2775 best_mk 1575.3d best_strands 24 T=15.7 acc=15 [2088s]
[TDSA-D] it750: cur 2775 best_mk 1575.3d best_strands 24 T=15.6 acc=15 [2232s]
[TDSA-D] it800: cur 2786 best_mk 1575.3d best_strands 24 T=15.4 acc=16 [2408s]
[TDSA-D] it850: cur 2783 best_mk 1575.3d best_strands 24 T=15.3 acc=17 [2566s]
[TDSA-D] it900: cur 2779 best_mk 1575.3d best_strands 24 T=15.1 acc=19 [2730s]
[TDSA-D] it950: cur 2782 best_mk 1575.3d best_strands 24 T=15.0 acc=20 [2852s]
[TDSA-D] it1000: cur 2587 best_mk 1486.8d best_strands 22 T=14.8 acc=23 [2986s]
[TDSA-D] it1050: cur 2587 best_mk 1486.8d best_strands 22 T=14.7 acc=23 [3131s]
[TDSA-D] it1100: cur 2587 best_mk 1486.8d best_strands 22 T=14.5 acc=23 [3270s]
[TDSA-D] it1150: cur 2587 best_mk 1486.8d best_strands 22 T=14.4 acc=23 [3443s]
[TDSA-D] it1200: cur 2587 best_mk 1486.8d best_strands 22 T=14.3 acc=23 [3599s]
[TDSA-D] it1250: cur 2587 best_mk 1486.8d best_strands 22 T=14.1 acc=23 [3740s]
[TDSA-D] it1300: cur 2587 best_mk 1486.8d best_strands 22 T=14.0 acc=23 [3869s]
[TDSA-D] it1350: cur 2587 best_mk 1486.8d best_strands 22 T=13.8 acc=23 [3998s]
[TDSA-D] it1400: cur 2587 best_mk 1486.8d best_strands 22 T=13.7 acc=23 [4166s]
[TDSA-D] it1450: cur 2587 best_mk 1486.8d best_strands 22 T=13.6 acc=23 [4315s]
[TDSA-D] it1500: cur 2587 best_mk 1486.8d best_strands 22 T=13.4 acc=23 [4471s]
[TDSA-D] it1550: cur 2587 best_mk 1486.8d best_strands 22 T=13.3 acc=23 [4611s]
[TDSA-D] it1600: cur 2587 best_mk 1486.8d best_strands 22 T=13.2 acc=23 [4761s]
[TDSA-D] it1650: cur 2587 best_mk 1486.8d best_strands 22 T=13.0 acc=23 [4891s]
[TDSA-D] it1700: cur 2587 best_mk 1486.8d best_strands 22 T=12.9 acc=23 [5027s]
[TDSA-D] it1750: cur 2587 best_mk 1486.8d best_strands 22 T=12.8 acc=23 [5179s]
[TDSA-D] it1800: cur 2587 best_mk 1486.8d best_strands 22 T=12.7 acc=23 [5318s]
[TDSA-D] it1850: cur 2587 best_mk 1486.8d best_strands 22 T=12.5 acc=23 [5450s]
[TDSA-D] it1900: cur 2587 best_mk 1486.8d best_strands 22 T=12.4 acc=23 [5587s]
[TDSA-D] it1950: cur 2587 best_mk 1486.8d best_strands 22 T=12.3 acc=23 [5722s]
[TDSA-D] it2000: cur 2587 best_mk 1486.8d best_strands 22 T=12.2 acc=23 [5878s]
[TDSA-D] it2050: cur 2587 best_mk 1486.8d best_strands 22 T=12.0 acc=23 [6006s]
[TDSA-D] it2100: cur 2587 best_mk 1486.8d best_strands 22 T=11.9 acc=23 [6176s]
[TDSA-D] it2150: cur 2587 best_mk 1486.8d best_strands 22 T=11.8 acc=23 [6329s]
[TDSA-D] it2200: cur 2587 best_mk 1486.8d best_strands 22 T=11.7 acc=23 [6513s]
[TDSA-D] it2250: cur 2587 best_mk 1486.8d best_strands 22 T=11.6 acc=23 [6662s]
[TDSA-D] it2300: cur 2587 best_mk 1486.8d best_strands 22 T=11.5 acc=23 [6810s]
[TDSA-D] it2350: cur 2587 best_mk 1486.8d best_strands 22 T=11.3 acc=23 [6965s]
[TDSA-D] it2400: cur 2587 best_mk 1486.8d best_strands 22 T=11.2 acc=23 [7117s]
[TDSA-D] it2450: cur 2587 best_mk 1486.8d best_strands 22 T=11.1 acc=23 [7265s]
[TDSA-D] it2500: cur 2586 best_mk 1485.7d best_strands 22 T=11.0 acc=24 [7442s]
[TDSA-D] it2550: cur 2586 best_mk 1485.7d best_strands 22 T=10.9 acc=24 [7598s]
[TDSA-D] it2600: cur 2588 best_mk 1485.7d best_strands 22 T=10.8 acc=25 [7764s]
[TDSA-D] it2650: cur 2588 best_mk 1485.7d best_strands 22 T=10.7 acc=25 [7908s]
[TDSA-D] it2700: cur 2588 best_mk 1485.7d best_strands 22 T=10.6 acc=25 [8043s]
[TDSA-D] it2750: cur 2588 best_mk 1485.7d best_strands 22 T=10.5 acc=26 [8220s]
[TDSA-D] it2800: cur 2588 best_mk 1485.7d best_strands 22 T=10.4 acc=26 [8360s]
[TDSA-D] it2850: cur 2588 best_mk 1485.7d best_strands 22 T=10.3 acc=26 [8507s]
[TDSA-D] it2900: cur 2588 best_mk 1485.7d best_strands 22 T=10.2 acc=26 [8644s]
[TDSA-D] it2950: cur 2588 best_mk 1485.7d best_strands 22 T=10.1 acc=26 [8805s]
[TDSA-D] it3000: cur 2588 best_mk 1485.7d best_strands 22 T=10.0 acc=26 [9081s]
[TDSA-D] it3050: cur 2588 best_mk 1485.7d best_strands 22 T=9.9 acc=26 [9393s]
[TDSA-D] it3100: cur 2588 best_mk 1485.7d best_strands 22 T=9.8 acc=26 [9673s]
[TDSA-D] it3150: cur 2588 best_mk 1485.7d best_strands 22 T=9.7 acc=26 [9974s]
[TDSA-D] it3200: cur 2588 best_mk 1485.7d best_strands 22 T=9.6 acc=26 [10259s]
[TDSA-D] it3250: cur 2588 best_mk 1485.7d best_strands 22 T=9.5 acc=26 [10577s]
[TDSA-D] it3300: cur 2588 best_mk 1485.7d best_strands 22 T=9.4 acc=26 [10782s]
