Single deterministic run (already optimized via prune)
Loading UDP...
UDP: n_orbits=779 (DRO=188, Lyap=291, Axial=300)
target len=2710, mse_thresh=0.05

Building candidate matrix (n_phases_dro=200, n_phases_other=200)...
  A_cand shape: (2710, 155800), wall=28.1s

Matching pursuit (max_iter=1000)...
  iter 0: ('dro', 179) ph=4.34, score=100.0000, mse=0.42804, n_sel=1
  iter 1: ('dro', 179) ph=3.55, score=80.0000, mse=0.39852, n_sel=2
  iter 2: ('dro', 181) ph=3.46, score=52.0000, mse=0.37934, n_sel=3
  iter 3: ('dro', 168) ph=5.87, score=44.0000, mse=0.36310, n_sel=4
  iter 4: ('dro', 164) ph=1.54, score=38.0000, mse=0.34908, n_sel=5
  iter 5: ('dro', 171) ph=3.30, score=37.0000, mse=0.33542, n_sel=6
  iter 6: ('lyap', 206) ph=5.91, score=34.0000, mse=0.32288, n_sel=7
  iter 7: ('lyap', 237) ph=4.24, score=32.0000, mse=0.31107, n_sel=8
  iter 8: ('lyap', 220) ph=1.01, score=29.0000, mse=0.30037, n_sel=9
  iter 9: ('lyap', 289) ph=2.67, score=29.0000, mse=0.28967, n_sel=10
  iter 10: ('lyap', 202) ph=3.02, score=26.0000, mse=0.28007, n_sel=11
  iter 11: ('lyap', 212) ph=3.08, score=26.0000, mse=0.27048, n_sel=12
  iter 12: ('lyap', 259) ph=2.89, score=23.0000, mse=0.26199, n_sel=13
  iter 13: ('lyap', 232) ph=2.10, score=22.0000, mse=0.25387, n_sel=14
  iter 14: ('lyap', 234) ph=4.74, score=22.0000, mse=0.24576, n_sel=15
  iter 15: ('lyap', 218) ph=2.51, score=19.0000, mse=0.23875, n_sel=16
  iter 16: ('lyap', 233) ph=3.08, score=19.0000, mse=0.23173, n_sel=17
  iter 17: ('lyap', 159) ph=2.48, score=17.0000, mse=0.22546, n_sel=18
  iter 18: ('lyap', 171) ph=3.58, score=17.0000, mse=0.21919, n_sel=19
  iter 19: ('dro', 161) ph=2.07, score=16.0000, mse=0.21328, n_sel=20
  iter 20: ('lyap', 243) ph=4.02, score=16.0000, mse=0.20738, n_sel=21
  iter 21: ('lyap', 206) ph=3.39, score=14.0000, mse=0.20221, n_sel=22
  iter 22: ('lyap', 218) ph=2.01, score=13.0000, mse=0.19742, n_sel=23
  iter 23: ('lyap', 190) ph=5.09, score=10.0000, mse=0.19373, n_sel=24
  iter 24: ('lyap', 236) ph=5.37, score=9.0000, mse=0.19041, n_sel=25
  iter 25: ('lyap', 102) ph=1.41, score=8.0000, mse=0.18745, n_sel=26
  iter 26: ('lyap', 271) ph=0.88, score=8.0000, mse=0.18450, n_sel=27
  iter 27: ('lyap', 155) ph=3.61, score=7.0000, mse=0.18192, n_sel=28
  iter 28: ('lyap', 199) ph=5.97, score=7.0000, mse=0.17934, n_sel=29
  iter 29: ('dro', 151) ph=4.87, score=5.0000, mse=0.17749, n_sel=30
  iter 40: ('axial', 173) ph=3.52, score=2.0000, mse=0.16421, n_sel=41
  iter 44: no improving candidate; stopping
  Wall: 7.6s, n_selected=44, final_mse=0.16310
  Feasible (MSE ≤ 0.05)? False

--- Round 1 ---
  After add: added=1000, n=1044, mse=0.16310
  After swap: n=1044, mse=0.04945, feasible=True

Pruning redundant spacecraft...
  Pre-prune: count=56, mse=0.04945
  prune step: removed 5, remaining=1039, mse=0.04945
  prune step: removed 10, remaining=1034, mse=0.04945
  prune step: removed 15, remaining=1029, mse=0.04945
  prune step: removed 20, remaining=1024, mse=0.04945
  prune step: removed 25, remaining=1019, mse=0.04945
  prune step: removed 30, remaining=1014, mse=0.04945
  prune step: removed 35, remaining=1009, mse=0.04945
  prune step: removed 40, remaining=1004, mse=0.04945
  prune step: removed 45, remaining=999, mse=0.04945
  prune step: removed 50, remaining=994, mse=0.04945
  prune step: removed 55, remaining=989, mse=0.04945
  prune step: removed 60, remaining=984, mse=0.04945
  prune step: removed 65, remaining=979, mse=0.04945
  prune step: removed 70, remaining=974, mse=0.04945
  prune step: removed 75, remaining=969, mse=0.04945
  prune step: removed 80, remaining=964, mse=0.04945
  prune step: removed 85, remaining=959, mse=0.04945
  prune step: removed 90, remaining=954, mse=0.04945
  prune step: removed 95, remaining=949, mse=0.04945
  prune step: removed 100, remaining=944, mse=0.04945
  prune step: removed 105, remaining=939, mse=0.04945
  prune step: removed 110, remaining=934, mse=0.04945
  prune step: removed 115, remaining=929, mse=0.04945
  prune step: removed 120, remaining=924, mse=0.04945
  prune step: removed 125, remaining=919, mse=0.04945
  prune step: removed 130, remaining=914, mse=0.04945
  prune step: removed 135, remaining=909, mse=0.04945
  prune step: removed 140, remaining=904, mse=0.04945
  prune step: removed 145, remaining=899, mse=0.04945
  prune step: removed 150, remaining=894, mse=0.04945
  prune step: removed 155, remaining=889, mse=0.04945
  prune step: removed 160, remaining=884, mse=0.04945
  prune step: removed 165, remaining=879, mse=0.04945
  prune step: removed 170, remaining=874, mse=0.04945
  prune step: removed 175, remaining=869, mse=0.04945
  prune step: removed 180, remaining=864, mse=0.04945
  prune step: removed 185, remaining=859, mse=0.04945
  prune step: removed 190, remaining=854, mse=0.04945
  prune step: removed 195, remaining=849, mse=0.04945
  prune step: removed 200, remaining=844, mse=0.04945
  prune step: removed 205, remaining=839, mse=0.04945
  prune step: removed 210, remaining=834, mse=0.04945
  prune step: removed 215, remaining=829, mse=0.04945
  prune step: removed 220, remaining=824, mse=0.04945
  prune step: removed 225, remaining=819, mse=0.04945
  prune step: removed 230, remaining=814, mse=0.04945
  prune step: removed 235, remaining=809, mse=0.04945
  prune step: removed 240, remaining=804, mse=0.04945
  prune step: removed 245, remaining=799, mse=0.04945
  prune step: removed 250, remaining=794, mse=0.04945
  prune step: removed 255, remaining=789, mse=0.04945
  prune step: removed 260, remaining=784, mse=0.04945
  prune step: removed 265, remaining=779, mse=0.04945
  prune step: removed 270, remaining=774, mse=0.04945
  prune step: removed 275, remaining=769, mse=0.04945
  prune step: removed 280, remaining=764, mse=0.04945
  prune step: removed 285, remaining=759, mse=0.04945
